target,iqr_mean,iqr_median,pearson_iqr_vs_absres,spearman_iqr_vs_absres,frac_abs_res_le_halfiqr,n,source,sigma_mean,sigma_median,sigma_p90,n_mc
T_C,136.8053644945944,132.91666666666674,0.2082958824790099,0.2776247688905206,0.6781609195402298,174,tree_IQR,,,,
P_kbar,8.953894450356296,9.037864004987435,0.4084308856504531,0.3882972081905276,0.6551724137931034,174,tree_IQR,,,,
T_C,,,,,,174,analytical_noise,13.4251416106225,11.39044724901036,29.86859501933248,200.0
P_kbar,,,,,,174,analytical_noise,1.525271442516553,1.097547352486968,3.3411496102728644,200.0
