Citation,T_C,T_pred,T_resid,P_kbar,P_pred,P_resid,liq_SiO2,liq_MgO,H2O_Liq,Mg_num,sign
Sisson2005_notinLEPR,825.0000000000001,1009.94709435313,184.94709435312984,7.0,9.606036215573017,2.606036215573017,75.3,0.41,6.799999999999997,0.7016011800865661,T_over
Sisson2005_notinLEPR,825.0000000000001,987.9471594546958,162.94715945469568,7.0,8.491374465616026,1.4913744656160262,73.1,0.49,8.700000000000003,0.6829739485728534,T_over
Cadoux2014_notinLEPR,850.0000000000001,991.0220188377548,141.02201883775467,0.972,3.517419545765705,2.545419545765705,74.13336343573074,0.3508464010194853,3.4,0.7299769766462175,T_over
Cadoux2014_notinLEPR,850.0000000000001,984.5676160997232,134.56761609972307,0.972,5.268700612390275,4.296700612390275,74.47726253805673,0.3514877255076492,3.6,0.7319597124871923,T_over
Cadoux2014_notinLEPR,850.0000000000001,981.78234876087,131.78234876086992,0.972,3.7501120762550944,2.7781120762550944,75.07690416907765,0.3741939038785021,3.3,0.728649888737387,T_over
Blatter2023_notinLEPR,1100.0,1003.4751848891846,-96.52481511081544,14.6,7.683526879521874,-6.916473120478126,63.12,2.96,4.6,0.8280183456158241,T_under
Blatter2023_notinLEPR,1100.0,1008.12383300149,-91.87616699851003,14.0,8.90492333658541,-5.09507666341459,62.74,2.85,4.28,0.8274858703914434,T_under
Blatter2023_notinLEPR,1100.0,1025.5669290676913,-74.43307093230874,16.0,7.965980438461274,-8.034019561538727,62.13,3.36,4.72,0.8394980437491247,T_under
Blatter2023_notinLEPR,1100.0,1028.898714822793,-71.10128517720705,13.1,11.887487932742758,-1.2125120672572418,56.71,2.08,0.0,0.7474384736872609,T_under
Blatter2017_notinLEPR,1050.0,981.6106134749226,-68.38938652507738,9.0,8.318875956093969,-0.6811240439060313,67.2,2.03,2.96,0.8011477245268597,T_under
Almeev2013_notinLEPR,975.0,1024.153731121936,49.15373112193606,1.02,7.572426185924603,6.5524261859246025,65.31,2.31,2.9,0.8459920738278794,P_over
Marxer2022_notinLEPR,900.0000000000001,987.9299953402748,87.92999534027467,2.0,8.49382188332575,6.493821883325751,66.801831386771,1.310162718389849,0.0,0.7248917505930258,P_over
Parat2014_notinLEPR,1000.0,1055.3498695412711,55.34986954127112,2.0,7.291314188533006,5.291314188533006,59.87621385124318,3.660228364102016,5.43,0.8256775841026814,P_over
Blatter2013_notinLEPR,1000.0,1058.6885768434886,58.68857684348859,4.0,9.092980459650269,5.092980459650269,58.5,3.08,4.0,0.8013272498957734,P_over
Solaro2019_notinLEPR,825.0000000000001,927.0007208659885,102.00072086598834,1.95,6.725470311965172,4.775470311965172,76.41,0.38,5.9,0.5969226125157936,P_over
Blatter2023_notinLEPR,1100.0,1025.5669290676913,-74.43307093230874,16.0,7.965980438461274,-8.034019561538727,62.13,3.36,4.72,0.8394980437491247,P_under
Blatter2023_notinLEPR,1100.0,1003.4751848891846,-96.52481511081544,14.6,7.683526879521874,-6.916473120478126,63.12,2.96,4.6,0.8280183456158241,P_under
Blatter2023_notinLEPR,1050.0,1005.7750924122176,-44.224907587782354,14.6,8.18465351268917,-6.4153464873108295,63.48,2.43,5.19,0.8119047076736008,P_under
Blatter2023_notinLEPR,975.0,971.9930376930662,-3.006962306933815,14.6,9.228103380295217,-5.371896619704783,66.51,1.3,5.9,0.6926574630446821,P_under
Blatter2023_notinLEPR,1100.0,1008.12383300149,-91.87616699851003,14.0,8.90492333658541,-5.09507666341459,62.74,2.85,4.28,0.8274858703914434,P_under
