method,target,spearman_r,spearman_p,pearson_r,pearson_p,n
isoforest,T_C,0.06250417056018766,0.21573786991352725,0.05611803771136762,0.26646162562925474,394
isoforest,P_kbar,-0.2910866217345394,3.920370239072165e-09,-0.29167818289859754,3.6343309433484567e-09,394
mahalanobis,T_C,-0.03360332089076106,0.5060022107225046,-0.07987952879048435,0.11340865686226138,394
mahalanobis,P_kbar,-0.12869320766783243,0.010557552263628709,-0.23306110826347304,2.925538388789873e-06,394
qrf_sigma,T_C,0.32647303601931166,3.0820977163708994e-11,0.34659435012098355,1.4578872360469143e-12,394
qrf_sigma,P_kbar,0.32473584648630843,3.969891753935703e-11,0.3576972100884045,2.4584770850773253e-13,394
