family,target,rmse,rmse_ci_lo,rmse_ci_hi,n
forest,T_C,64.57993887275695,59.40715969918731,69.76581791660445,197
forest,P_kbar,2.628031331462957,2.3836326038039526,2.86776643073227,197
boosted,T_C,68.04096830213189,62.39045634864977,73.38679849192002,197
boosted,P_kbar,2.6929084534246663,2.3664808287790358,3.0068798839010906,197
