obs_T_C,obs_P_kbar,putirka_pred_T_C,putirka_pred_P_kbar,ml_pred_T_C,ml_pred_P_kbar
1100.0,5.0199997425079,1124.3712823281562,7.601691361130901,1187.0771261738703,9.579489528511925
1100.0,5.0199997425079,1129.6016283178592,7.820186026389791,1190.762818869769,9.297590729375719
1130.0,5.0169998407364,1154.0001430012126,7.8427168668177485,1209.5706305227454,10.6480542958614
1220.0,10.0,1271.4686773993926,12.040041515593082,1217.4843641361326,12.656094508760205
1160.0,15.0,1318.2568338539563,10.663115521552973,1207.4023486246244,12.438241686246961
1180.0,17.5,1326.4872118770768,13.12829146523804,1309.392728708791,15.236152377167448
1750.0,46.9999990463255,1811.8634974794481,30.97339660609126,1553.4173112599215,28.235245885275774
1300.0,10.0,1316.3374288121427,9.87617035125441,1309.2021516278865,10.320915655274428
1200.0,17.5,1345.563438869499,9.493326610456002,1220.3824161499604,11.90787866427863
1453.125,27.75024994039535,1605.7487672841921,24.246481709359337,1497.5217904020576,24.593169959560623
1210.0,12.5,1264.1121534812555,13.326067540615536,1293.54519787851,14.575805475223838
1065.0,15.0,1363.7885901141813,4.054250174622771,1344.802347041847,10.16072010271933
1775.0,50.0,,32.10081958932489,1580.5904702487192,33.05778405399265
1230.0,12.999999523163,1319.7380414391937,13.750667460060878,1264.339049875493,13.90098510749779
1325.0,10.0,1330.8044010449735,8.545880343802041,1340.9668055104617,10.187567712278371
1240.0,15.0,1322.4197343336673,14.634020905914374,1295.2559877920319,13.88643030176461
1830.0,50.0,,34.89988137992694,1578.955642134993,35.292370225974885
1260.0,15.0,1328.9346940803866,14.40204198963564,1332.838389747406,15.353297152866267
1325.0,10.0,1349.5502320289183,9.257029489955478,1353.4180224116162,10.383832417448025
1240.0,17.5,1306.4908306394905,15.679328630079235,1280.6018888793499,14.56475068599339
987.5,10.0,1352.4755109839539,3.5173707116145843,1353.6338808922558,9.975580350949905
970.0,10.0,1317.172930875211,4.438597743124044,1315.061504193723,10.423345085303747
1045.0,10.0,1316.1879534339546,6.187411569237124,1309.8011520562766,10.658129930470306
1260.0,12.000000476837,1260.666343971287,13.222596872605733,1210.7764592482897,12.757622274039177
1275.0,22.999999523163,1199.0369938023073,6.380487652944009,1093.1518804680827,8.762161918385901
1085.0,15.0,1323.3976477025317,4.624212014288341,1304.479066475769,10.332984158874131
1200.0,18.999999761580998,1370.205313081764,14.107700416918904,1326.2450448110917,14.935745475205158
1200.0,0.00099999997473788,1168.4252439510274,,1190.8407353328716,4.029368415319454
