seed,model,target,track,feature_set,regime,n,rmse
61,ERT,T_C,opx_liq,pwlr,shallow_crustal,47,22.505940615489905
42,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
42,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
42,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
42,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
43,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
43,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
43,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
43,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
44,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
44,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
44,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
44,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
45,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
45,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
45,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
45,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
46,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
46,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
46,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
46,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
47,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
47,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
47,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
47,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
48,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
48,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
48,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
48,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
49,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
49,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
49,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
49,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
50,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
50,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
50,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
50,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
51,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
51,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
51,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
51,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
52,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
52,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
52,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
52,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
53,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
53,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
53,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
53,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
54,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
54,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
54,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
54,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
55,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
55,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
55,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
55,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
56,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
56,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
56,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
56,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
57,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
57,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
57,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
57,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
58,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
58,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
58,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
58,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
59,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
59,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
59,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
59,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
60,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
60,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
60,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
60,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
61,ElasticNet,T_C,opx_liq,raw,deep_crustal_MASH,61,78.46430905099997
61,ElasticNet,T_C,opx_liq,raw,deeper_mantle,8,105.99641300315001
61,ElasticNet,T_C,opx_liq,raw,lithospheric_mantle,58,93.6982941619437
61,ElasticNet,T_C,opx_liq,raw,shallow_crustal,47,35.32950089738492
42,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
42,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
42,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
42,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
43,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
43,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
43,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
43,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
44,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
44,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
44,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
44,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
45,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
45,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
45,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
45,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
46,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
46,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
46,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
46,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
47,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
47,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
47,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
47,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
48,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
48,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
48,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
48,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
49,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
49,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
49,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
49,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
50,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
50,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
50,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
50,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
51,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
51,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
51,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
51,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
52,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
52,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
52,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
52,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
53,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
53,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
53,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
53,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
54,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
54,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
54,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
54,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
55,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
55,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
55,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
55,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
56,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
56,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
56,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
56,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
57,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
57,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
57,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
57,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
58,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
58,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
58,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
58,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
59,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
59,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
59,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
59,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
60,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
60,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
60,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
60,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
61,ElasticNet,T_C,opx_liq,pwlr,deep_crustal_MASH,61,85.5209143696247
61,ElasticNet,T_C,opx_liq,pwlr,deeper_mantle,8,105.60448966787888
61,ElasticNet,T_C,opx_liq,pwlr,lithospheric_mantle,58,97.54060910157183
61,ElasticNet,T_C,opx_liq,pwlr,shallow_crustal,47,73.64088693569565
42,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
42,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
42,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
42,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
43,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
43,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
43,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
43,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
44,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
44,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
44,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
44,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
45,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
45,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
45,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
45,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
46,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
46,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
46,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
46,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
47,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
47,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
47,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
47,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
48,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
48,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
48,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
48,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
49,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
49,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
49,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
49,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
50,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
50,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
50,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
50,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
51,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
51,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
51,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
51,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
52,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
52,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
52,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
52,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
53,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
53,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
53,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
53,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
54,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
54,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
54,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
54,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
55,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
55,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
55,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
55,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
56,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
56,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
56,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
56,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
57,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
57,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
57,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
