seed,model,target,track,feature_set,n,rmse
60,MLP,P_kbar,opx_liq,raw,174,3.736765313523079
61,MLP,P_kbar,opx_liq,raw,174,4.235201939824936
42,CatBoost,P_kbar,opx_liq,raw,174,5.484648241870014
43,CatBoost,P_kbar,opx_liq,raw,174,5.352203637938403
44,CatBoost,P_kbar,opx_liq,raw,174,5.55996640261489
45,CatBoost,P_kbar,opx_liq,raw,174,5.516315227873832
46,CatBoost,P_kbar,opx_liq,raw,174,5.735571261380319
47,CatBoost,P_kbar,opx_liq,raw,174,5.67260410998676
48,CatBoost,P_kbar,opx_liq,raw,174,5.641618519505188
49,CatBoost,P_kbar,opx_liq,raw,174,5.904654460140454
50,CatBoost,P_kbar,opx_liq,raw,174,5.538701670539583
51,CatBoost,P_kbar,opx_liq,raw,174,5.4520024569702015
52,CatBoost,P_kbar,opx_liq,raw,174,5.614333868667766
53,CatBoost,P_kbar,opx_liq,raw,174,5.6884264830837274
54,CatBoost,P_kbar,opx_liq,raw,174,5.387040417350844
55,CatBoost,P_kbar,opx_liq,raw,174,5.485558642289887
56,CatBoost,P_kbar,opx_liq,raw,174,5.469720914272016
57,CatBoost,P_kbar,opx_liq,raw,174,5.506508228992247
58,CatBoost,P_kbar,opx_liq,raw,174,5.52977629979019
59,CatBoost,P_kbar,opx_liq,raw,174,5.47124503865471
60,CatBoost,P_kbar,opx_liq,raw,174,5.632328874738275
61,CatBoost,P_kbar,opx_liq,raw,174,5.578800116636446
42,MLP,P_kbar,opx_liq,alr,174,5.491743896088443
43,MLP,P_kbar,opx_liq,alr,174,4.899015170054659
44,MLP,P_kbar,opx_liq,alr,174,5.624242721692718
45,MLP,P_kbar,opx_liq,alr,174,5.209359599635934
46,MLP,P_kbar,opx_liq,alr,174,3.9636171687158326
47,MLP,P_kbar,opx_liq,alr,174,5.633249623863969
48,MLP,P_kbar,opx_liq,alr,174,7.278470533934945
49,MLP,P_kbar,opx_liq,alr,174,5.215261710242273
50,MLP,P_kbar,opx_liq,alr,174,5.297828577886628
51,MLP,P_kbar,opx_liq,alr,174,6.022742466267221
52,MLP,P_kbar,opx_liq,alr,174,5.366872920378133
53,MLP,P_kbar,opx_liq,alr,174,5.226726313991797
54,MLP,P_kbar,opx_liq,alr,174,7.223332012692131
55,MLP,P_kbar,opx_liq,alr,174,4.945334655965389
56,MLP,P_kbar,opx_liq,alr,174,6.54771845488079
57,MLP,P_kbar,opx_liq,alr,174,4.744525745017521
58,MLP,P_kbar,opx_liq,alr,174,5.466454565801955
59,MLP,P_kbar,opx_liq,alr,174,5.78937053292919
60,MLP,P_kbar,opx_liq,alr,174,5.817738029679414
61,MLP,P_kbar,opx_liq,alr,174,7.001309649755973
