pipeline,track,target,A_delta_base,A_delta_edge_max_swing,B_alpha_L_mean,B_alpha_L_std,B_alpha_R_mean,B_alpha_R_std,B_s_L_mean,B_s_L_std,B_s_R_mean,B_s_R_std,B_n_seeds
cpx,cpx_liq,P_kbar,0.809291065755521,0.28011373766870573,0.45,0.0,0.95,0.0,-0.06369474070647108,0.009724875791312503,0.1857649630021354,0.08387820487649107,5
cpx,cpx_only,P_kbar,2.411190717113806,0.4049468387817772,0.13799999999999998,0.01599999999999996,0.95,0.0,1.4530227780104228,0.24150213025054926,0.24472555019274062,0.07505184047660764,5
opx,opx_liq,P_kbar,1.2330538165542193,0.2514628461232864,0.20199999999999996,0.12496399481450647,0.6299999999999999,0.15999999999999998,0.41841776483148807,0.14483635369534736,-0.002802675777275737,0.2543697512140944,5
opx,opx_only,P_kbar,4.296315302892414,0.8778752455765586,0.306,0.04079215610874228,0.8540000000000001,0.047999999999999994,-0.12594595652622337,0.027295983573949627,0.6105292825248884,0.07611017860209389,5
cpx,cpx_liq,T_C,3.549028337643336,1.4094742479309867,0.45,0.0,0.806,0.059866518188383074,-0.07176705023217361,0.01099539404497314,-0.14914025730809763,0.0552187466747835,5
cpx,cpx_only,T_C,-12.022671209705422,5.915744996356381,0.258,0.10552724766618336,0.5660000000000001,0.01959591794226544,0.008260001183747718,0.08854087966404725,0.41796327725349675,0.048623234289645954,5
opx,opx_liq,T_C,-0.1070701600877441,0.2514299608805571,0.05,0.0,0.8460000000000001,0.019595917942265388,0.47512623159488865,0.09326454132129278,-0.2037403054838352,0.02491219495172924,5
opx,opx_only,T_C,24.56391354772647,3.788906241586517,0.13,0.0,0.55,0.0,-0.0995338327967773,0.011387719256441354,0.12210374653258786,0.012597213874815615,5
