track,target,regime,n,v10_pre_rmse,v10_pre_rmse_lo,v10_pre_rmse_hi,v10_pre_method,v10_post_rmse,v10_post_rmse_lo,v10_post_rmse_hi,v10_post_method,correction_form,best_external_rmse,best_external_rmse_lo,best_external_rmse_hi,best_external_method,winner,tabpfn_rmse,tabpfn_rmse_lo,tabpfn_rmse_hi,tabpfn_post_rmse,tabpfn_post_rmse_lo,tabpfn_post_rmse_hi,tabpfn_correction_form,winner_v1,winner_v2,flip_reason,winner_v3,flip_reason_v3
opx_liq,T_C,shallow_crustal,47,23.469506338812007,15.891418807076654,30.39923877421685,ERT/pwlr,35.32950089738492,28.10151476095918,44.22777033916298,ElasticNet/raw,B,25.52386491004583,16.322299801938634,33.87126520329394,Putirka 28a,v10_pre,41.05022546052704,32.42677665259273,48.41002656824699,41.05022546052704,32.42677665259273,48.41002656824699,none,v10_pre,v10_pre,,v10_pre,"v3_promoted_B: degradation within tolerance max(10, 0.1*pre)"
opx_liq,T_C,deep_crustal_MASH,61,78.46430905099997,29.84621120696413,113.07245600455008,ElasticNet/raw,78.46430905099997,29.674505530030476,112.71129285803136,ElasticNet/raw,B,87.478244585471,34.61176623241711,120.82591085642228,Putirka 28a,v10_corrected,90.16120219698338,53.58816347183931,120.80564889719984,90.16120219698338,53.58816347183931,120.80564889719984,none,v10_corrected,v10_corrected,,v10_pre,"v3_promoted_B: degradation within tolerance max(10, 0.1*pre)"
opx_liq,T_C,lithospheric_mantle,58,93.6982941619437,77.3082758020947,111.1697136465202,ElasticNet/raw,95.31199848869872,79.4822417397799,112.47170822261327,ElasticNet/raw,B,79.65209323346028,54.88681970960786,107.4102978196712,Putirka 28a,external,99.7526193902201,82.10927923737127,117.45624584174384,99.7526193902201,82.10927923737127,117.45624584174384,none,external,external,,external,"v3_promoted_B: degradation within tolerance max(10, 0.1*pre)"
opx_liq,T_C,deeper_mantle,8,105.60448966787888,75.14059808384383,127.72885380107336,ElasticNet/pwlr,82.88783875319308,65.73720674856007,98.27135757697909,ElasticNet/raw,B,85.50088439343597,14.779992112598048,123.49854522264356,Putirka 28a,external,108.48118054813696,66.11180725535964,150.2448851075386,108.48118054813696,66.11180725535964,150.2448851075386,none,external,external,,v10_corrected,"v3_promoted_B: degradation within tolerance max(10, 0.1*pre)"
opx_liq,T_C,ALL,174,77.06189003628756,62.5596545488733,91.65291211264,ElasticNet/raw,76.41676021313197,61.23632050486062,91.59370785056788,ElasticNet/raw,B,71.67099988574215,53.75200941121946,88.73601447822817,Putirka 28a,external,84.63415316267469,69.9512038483089,99.8642949069464,84.63415316267469,69.9512038483089,99.8642949069464,none,external,external,,external,"v3_promoted_B: degradation within tolerance max(10, 0.1*pre)"
opx_liq,P_kbar,shallow_crustal,47,2.6629062653698017,2.245034651820509,3.134369485614376,ElasticNet/raw,0.7975907952116822,0.664354609963175,0.9311104235738408,MLP/raw,A,3.886363899698184,3.2362767013242566,4.472373397759273,Putirka 29a,v10_pre,7.973385648606502,7.076766145515752,8.821840334549448,7.973385648606502,7.076766145515752,8.821840334549448,none,v10_pre,v10_corrected,v2_promoted_A:deeper_mantle_n<20,v10_corrected,
opx_liq,P_kbar,deep_crustal_MASH,61,2.078945257682617,1.6244064535190756,2.5386432223967983,MLP/raw,1.9532534354856927,1.574108172958896,2.3027469942033187,MLP/raw,A,2.3144340490953392,1.7219393601426578,2.853335460477984,Putirka 29a,tabpfn,2.00716415793654,1.5527342169734497,2.399620299950496,2.00716415793654,1.5527342169734497,2.399620299950496,none,tabpfn,v10_corrected,v2_promoted_A:deeper_mantle_n<20,v10_corrected,
opx_liq,P_kbar,lithospheric_mantle,58,4.538469782286738,3.4873240531148664,5.561096079489953,CatBoost/raw,2.635698757775873,2.0047625999779584,3.187250764602697,MLP/raw,A,4.659726169083871,3.2499625420326343,5.961467064571667,Putirka 29a,v10_pre,5.2128763551665065,3.634344749537238,6.86235360746027,5.2128763551665065,3.634344749537238,6.86235360746027,none,v10_pre,v10_corrected,v2_promoted_A:deeper_mantle_n<20,v10_corrected,
opx_liq,P_kbar,deeper_mantle,8,4.555771723826939,3.1942269969101567,5.745953368987946,MLP/alr,7.865753836698824,4.238952353998267,10.723778154857198,MLP/raw,A,8.51948552579252,4.437579382491557,11.13701342992704,Putirka 29b,v10_pre,6.857738322847277,4.433947298557743,9.401617019482776,6.857738322847277,4.433947298557743,9.401617019482776,none,v10_pre,v10_pre,v2_promoted_A:deeper_mantle_n<20,v10_pre,
opx_liq,P_kbar,ALL,174,3.8156075924116495,3.095868179159089,4.491098147444123,MLP/raw,2.582553719835249,2.0152993556639087,3.186942560452143,MLP/raw,A,4.750309233457235,3.813504194268678,5.748618806510647,Putirka 29a,v10_corrected,5.459409107347221,4.763473297634743,6.153485699899999,5.459409107347221,4.763473297634743,6.153485699899999,none,v10_corrected,v10_corrected,v2_promoted_A:deeper_mantle_n<20,v10_corrected,
