check_name,n_samples,metric_name,metric_value,expected_range,kd_median,kd_p25,kd_p75,interpretation
Fe-Mg exchange Kd (opx-liq test set),174,"pass_rate in [0.23, 0.35]",1.0,"[0.23, 0.35] Roeder-Emslie 1970",0.2914727673956037,0.2773375230337279,0.31592090748362217,"Observed Kd_Fe-Mg on the opx-liq test set has median 0.29 (IQR 0.28-0.32). 100.0% of the 174 samples fall inside the equilibrium window [0.23, 0.35]; the test corpus is substantially in equilibrium and consistent with the Fe-Mg exchange thermometer assumption."
"Al-P Spearman (opx-only winner vs raw_Al2O3, test set)",190,spearman_rho,0.5176934850187465,rho > 0.5 (Gasparik 1987),,,,Spearman rho between raw_Al2O3 (opx) and predicted P is 0.518 (n=190). Gasparik (1987) predicts a monotonic positive trend (rho > 0.5) for a functional aluminum-solubility barometer; the ML passes this physics check.
