pipeline,track,target,family_a,family_b,n_common_features,spearman_rho
opx,opx_only,T_C,LightGBM,MLP,7,-0.42857142857142866
opx,opx_only,T_C,ElasticNet,MLP,16,0.08529411764705883
opx,opx_only,P_kbar,RF,ERT,43,0.5616128057988523
opx,opx_only,P_kbar,RF,XGB,43,0.4589247961340984
opx,opx_only,P_kbar,RF,GB,43,0.5347327091513138
opx,opx_only,P_kbar,RF,CatBoost,43,0.4524312896405919
opx,opx_only,P_kbar,RF,LightGBM,43,0.7006946541830262
opx,opx_only,P_kbar,RF,ElasticNet,43,0.22485653881002718
opx,opx_only,P_kbar,RF,MLP,43,0.27348233162186647
opx,opx_only,P_kbar,ERT,XGB,43,0.18468740561763816
opx,opx_only,P_kbar,ERT,GB,43,0.5566294170945334
opx,opx_only,P_kbar,ERT,CatBoost,43,0.6754756871035941
opx,opx_only,P_kbar,ERT,LightGBM,43,0.7023557837511325
opx,opx_only,P_kbar,ERT,ElasticNet,43,0.2437330111748716
opx,opx_only,P_kbar,ERT,MLP,43,0.493808517064331
opx,opx_only,P_kbar,XGB,GB,43,0.37466022349743283
opx,opx_only,P_kbar,XGB,CatBoost,43,0.27695560253699786
opx,opx_only,P_kbar,XGB,LightGBM,43,0.3033826638477801
opx,opx_only,P_kbar,XGB,ElasticNet,43,-0.12413168227121715
opx,opx_only,P_kbar,XGB,MLP,43,-0.014799154334038054
opx,opx_only,P_kbar,GB,CatBoost,43,0.42298399275143467
opx,opx_only,P_kbar,GB,LightGBM,43,0.7617034128662036
opx,opx_only,P_kbar,GB,ElasticNet,43,0.0028692237994563576
opx,opx_only,P_kbar,GB,MLP,43,0.3668076109936575
opx,opx_only,P_kbar,CatBoost,LightGBM,43,0.5644820295983087
opx,opx_only,P_kbar,CatBoost,ElasticNet,43,0.21896707943219568
opx,opx_only,P_kbar,CatBoost,MLP,43,0.339927514346119
opx,opx_only,P_kbar,LightGBM,ElasticNet,43,0.07308970099667773
opx,opx_only,P_kbar,LightGBM,MLP,43,0.4521292660827544
opx,opx_only,P_kbar,ElasticNet,MLP,43,0.2497734823316219
cpx,cpx_liq,T_C,RF,ERT,72,0.9409286770853432
cpx,cpx_liq,T_C,RF,XGB,72,0.8519518940124767
cpx,cpx_liq,T_C,RF,GB,8,0.6666666666666669
cpx,cpx_liq,T_C,RF,CatBoost,72,0.9022123609235322
cpx,cpx_liq,T_C,RF,LightGBM,72,0.751656055051772
cpx,cpx_liq,T_C,RF,ElasticNet,8,0.8333333333333335
cpx,cpx_liq,T_C,RF,MLP,8,0.2142857142857143
cpx,cpx_liq,T_C,ERT,XGB,72,0.785452440671426
cpx,cpx_liq,T_C,ERT,GB,8,0.5952380952380953
cpx,cpx_liq,T_C,ERT,CatBoost,72,0.8974532124252365
cpx,cpx_liq,T_C,ERT,LightGBM,72,0.7490192295324459
cpx,cpx_liq,T_C,ERT,ElasticNet,8,0.9285714285714287
cpx,cpx_liq,T_C,ERT,MLP,8,0.4285714285714286
cpx,cpx_liq,T_C,XGB,GB,8,0.9047619047619048
cpx,cpx_liq,T_C,XGB,CatBoost,72,0.7749694514116664
cpx,cpx_liq,T_C,XGB,LightGBM,72,0.8114991317769633
cpx,cpx_liq,T_C,XGB,ElasticNet,8,0.6428571428571429
cpx,cpx_liq,T_C,XGB,MLP,8,-0.023809523809523815
cpx,cpx_liq,T_C,GB,CatBoost,8,0.6904761904761906
cpx,cpx_liq,T_C,GB,LightGBM,8,0.9047619047619048
cpx,cpx_liq,T_C,GB,ElasticNet,8,0.5000000000000001
cpx,cpx_liq,T_C,GB,MLP,25,0.12615384615384617
cpx,cpx_liq,T_C,CatBoost,LightGBM,72,0.7355456942568656
cpx,cpx_liq,T_C,CatBoost,ElasticNet,8,0.880952380952381
cpx,cpx_liq,T_C,CatBoost,MLP,8,0.3571428571428572
cpx,cpx_liq,T_C,LightGBM,ElasticNet,8,0.7619047619047621
cpx,cpx_liq,T_C,LightGBM,MLP,8,0.1666666666666667
cpx,cpx_liq,T_C,ElasticNet,MLP,8,0.4761904761904762
cpx,cpx_liq,P_kbar,RF,ERT,8,0.8333333333333335
cpx,cpx_liq,P_kbar,RF,XGB,72,0.6631616181104896
cpx,cpx_liq,P_kbar,RF,GB,72,0.5539906103286386
cpx,cpx_liq,P_kbar,RF,CatBoost,72,0.4425686539327289
cpx,cpx_liq,P_kbar,RF,LightGBM,72,0.7950672068943342
cpx,cpx_liq,P_kbar,RF,ElasticNet,8,0.04761904761904763
cpx,cpx_liq,P_kbar,RF,MLP,72,0.36121293973889
cpx,cpx_liq,P_kbar,ERT,XGB,8,0.28571428571428575
cpx,cpx_liq,P_kbar,ERT,GB,8,0.3571428571428572
cpx,cpx_liq,P_kbar,ERT,CatBoost,8,0.7142857142857144
cpx,cpx_liq,P_kbar,ERT,LightGBM,8,0.523809523809524
cpx,cpx_liq,P_kbar,ERT,ElasticNet,8,0.3571428571428572
cpx,cpx_liq,P_kbar,ERT,MLP,8,0.4047619047619048
cpx,cpx_liq,P_kbar,XGB,GB,72,0.6810405813878707
cpx,cpx_liq,P_kbar,XGB,CatBoost,72,0.39468776127082134
cpx,cpx_liq,P_kbar,XGB,LightGBM,72,0.6423564216348319
cpx,cpx_liq,P_kbar,XGB,ElasticNet,8,0.11904761904761905
cpx,cpx_liq,P_kbar,XGB,MLP,72,0.2361245096147663
cpx,cpx_liq,P_kbar,GB,CatBoost,72,0.31764100585246646
cpx,cpx_liq,P_kbar,GB,LightGBM,72,0.5807125860183936
cpx,cpx_liq,P_kbar,GB,ElasticNet,8,0.19047619047619052
cpx,cpx_liq,P_kbar,GB,MLP,72,0.31207794713486403
cpx,cpx_liq,P_kbar,CatBoost,LightGBM,72,0.3569039809634061
cpx,cpx_liq,P_kbar,CatBoost,ElasticNet,8,0.11904761904761905
cpx,cpx_liq,P_kbar,CatBoost,MLP,72,0.4917679593542994
cpx,cpx_liq,P_kbar,LightGBM,ElasticNet,8,0.2142857142857143
cpx,cpx_liq,P_kbar,LightGBM,MLP,72,0.22474114090938327
cpx,cpx_liq,P_kbar,ElasticNet,MLP,8,0.07142857142857144
cpx,cpx_only,T_C,RF,ERT,43,0.5678042887345213
cpx,cpx_only,T_C,RF,XGB,43,0.4657203261854425
cpx,cpx_only,T_C,RF,GB,43,0.504379341588644
cpx,cpx_only,T_C,RF,CatBoost,43,0.595741467834491
cpx,cpx_only,T_C,RF,LightGBM,43,0.6978254303835699
cpx,cpx_only,T_C,RF,ElasticNet,43,0.48172757475083056
cpx,cpx_only,T_C,RF,MLP,43,0.2680459075807913
cpx,cpx_only,T_C,ERT,XGB,43,0.5386590154032015
cpx,cpx_only,T_C,ERT,GB,43,0.6327393536695862
cpx,cpx_only,T_C,ERT,CatBoost,43,0.7006946541830262
cpx,cpx_only,T_C,ERT,LightGBM,43,0.7763515554213228
cpx,cpx_only,T_C,ERT,ElasticNet,43,0.6599214738749622
cpx,cpx_only,T_C,ERT,MLP,43,0.44699486559951673
cpx,cpx_only,T_C,XGB,GB,43,0.5443974630021142
cpx,cpx_only,T_C,XGB,CatBoost,43,0.6926910299003323
cpx,cpx_only,T_C,XGB,LightGBM,43,0.6917849592268197
cpx,cpx_only,T_C,XGB,ElasticNet,43,0.4125641800060405
cpx,cpx_only,T_C,XGB,MLP,43,0.1914829356689822
cpx,cpx_only,T_C,GB,CatBoost,43,0.5179704016913319
cpx,cpx_only,T_C,GB,LightGBM,43,0.7506795530051343
cpx,cpx_only,T_C,GB,ElasticNet,43,0.38719420114768954
cpx,cpx_only,T_C,GB,MLP,43,0.29839927514346115
cpx,cpx_only,T_C,CatBoost,LightGBM,43,0.6691331923890064
cpx,cpx_only,T_C,CatBoost,ElasticNet,43,0.4719118091211114
cpx,cpx_only,T_C,CatBoost,MLP,43,0.34068257324071277
cpx,cpx_only,T_C,LightGBM,ElasticNet,43,0.49622470552703113
cpx,cpx_only,T_C,LightGBM,MLP,43,0.38976140138930837
cpx,cpx_only,T_C,ElasticNet,MLP,43,-0.04756871035940803
cpx,cpx_only,P_kbar,RF,ERT,7,0.8214285714285715
cpx,cpx_only,P_kbar,RF,XGB,16,0.7147058823529412
cpx,cpx_only,P_kbar,RF,GB,16,0.5617647058823529
cpx,cpx_only,P_kbar,RF,CatBoost,16,0.7176470588235294
cpx,cpx_only,P_kbar,RF,LightGBM,16,0.7441176470588236
cpx,cpx_only,P_kbar,RF,ElasticNet,7,0.07142857142857144
cpx,cpx_only,P_kbar,RF,MLP,7,0.3214285714285715
cpx,cpx_only,P_kbar,ERT,XGB,7,0.6071428571428572
cpx,cpx_only,P_kbar,ERT,GB,7,0.07142857142857144
cpx,cpx_only,P_kbar,ERT,CatBoost,7,0.5357142857142858
cpx,cpx_only,P_kbar,ERT,LightGBM,7,-0.28571428571428575
cpx,cpx_only,P_kbar,ERT,ElasticNet,43,0.19284204167925095
cpx,cpx_only,P_kbar,ERT,MLP,7,0.25
cpx,cpx_only,P_kbar,XGB,GB,16,0.2764705882352941
cpx,cpx_only,P_kbar,XGB,CatBoost,16,0.4323529411764706
cpx,cpx_only,P_kbar,XGB,LightGBM,16,0.4205882352941176
cpx,cpx_only,P_kbar,XGB,ElasticNet,7,0.42857142857142866
cpx,cpx_only,P_kbar,XGB,MLP,7,0.03571428571428572
cpx,cpx_only,P_kbar,GB,CatBoost,16,0.7941176470588236
cpx,cpx_only,P_kbar,GB,LightGBM,16,0.7411764705882353
cpx,cpx_only,P_kbar,GB,ElasticNet,7,0.14285714285714288
cpx,cpx_only,P_kbar,GB,MLP,7,0.14285714285714288
cpx,cpx_only,P_kbar,CatBoost,LightGBM,16,0.6
cpx,cpx_only,P_kbar,CatBoost,ElasticNet,7,0.42857142857142866
cpx,cpx_only,P_kbar,CatBoost,MLP,7,0.3214285714285715
cpx,cpx_only,P_kbar,LightGBM,ElasticNet,7,-0.42857142857142866
cpx,cpx_only,P_kbar,LightGBM,MLP,7,-0.6071428571428572
cpx,cpx_only,P_kbar,ElasticNet,MLP,7,0.642857142857143
