track,target,feature_set,model_name,rmse_test_mean,rmse_test_std,r2_test_mean,r2_test_std,overfit_ratio_mean
opx_liq,P_kbar,alr,ERT,7.180331865981098,1.5500031075188891,0.41712240576141235,0.235245936457001,0.22520757104269182
opx_liq,P_kbar,alr,GB,5.565606069551456,1.0852823907948328,0.6528466785296343,0.11598099736652705,0.39034486234768323
opx_liq,P_kbar,alr,RF,5.961391634598352,1.1946662255614873,0.6092421444949204,0.0940194120895971,0.04830354263078253
opx_liq,P_kbar,alr,XGB,5.426326863270438,0.9202929587462882,0.6658122603608163,0.12355482460004262,0.0608375964455485
opx_liq,P_kbar,pwlr,ERT,7.190857224540991,1.5376226765777807,0.4121947985758993,0.24314189566412409,0.15733945629941146
opx_liq,P_kbar,pwlr,GB,6.308570877851502,1.5265087407427773,0.5530413154614725,0.17516140798748575,0.2704847523176416
opx_liq,P_kbar,pwlr,RF,6.970745643263399,1.4861760304680383,0.4544205790504733,0.19831039173839546,0.16896812666724517
opx_liq,P_kbar,pwlr,XGB,5.945654585405144,1.4549197069169493,0.6059213643450824,0.1502474613405207,0.21403391784258802
opx_liq,P_kbar,raw,ERT,6.730592333493443,1.3887808333289153,0.4936467690423759,0.18055663395866672,0.34500774026990044
opx_liq,P_kbar,raw,GB,5.143547505266913,0.735915166916107,0.7014688965645326,0.09310065952138885,0.34339181238444844
opx_liq,P_kbar,raw,RF,5.740731131161128,1.2221458175267548,0.6315745861090953,0.13194780926689237,0.20228458355657467
opx_liq,P_kbar,raw,XGB,5.0953855497384755,0.932488138852041,0.7096848585310667,0.08914607712622927,0.12158114975328412
opx_liq,T_C,alr,ERT,83.64327083809964,11.470467094025711,0.7274948901873801,0.11502451362044538,0.2739116310081994
opx_liq,T_C,alr,GB,81.65305236252172,11.55066836804325,0.7403762739269107,0.11247474852020628,0.3684085653208969
opx_liq,T_C,alr,RF,80.389607737485,12.017716012604488,0.7485514503858727,0.10875120936357514,0.2088716404875873
opx_liq,T_C,alr,XGB,84.53913801950651,12.781811242610152,0.7248652027513593,0.11414582517896547,0.006817651336798733
opx_liq,T_C,pwlr,ERT,82.70241089445838,10.561983498646711,0.730147131825062,0.12215920724997092,0.0
opx_liq,T_C,pwlr,GB,87.22990819462188,10.197078201119151,0.7017843403690396,0.1387082511884418,0.28793411715297257
opx_liq,T_C,pwlr,RF,80.40866202984378,11.510962257832107,0.7441964669644444,0.12236816973450503,0.0
opx_liq,T_C,pwlr,XGB,85.40232329548705,11.931869714429864,0.7202050164286897,0.10957156693516823,0.12102288116220128
opx_liq,T_C,raw,ERT,81.75197992477868,10.904108522015806,0.7384447206642607,0.11213521459824163,0.21459742339096533
opx_liq,T_C,raw,GB,82.70106807815688,10.384094001013521,0.7313947514645568,0.11684519029607314,0.5602655666216908
opx_liq,T_C,raw,RF,81.78711653930411,11.40665836477781,0.7367004949986263,0.11774546644902228,0.059791011683177145
