pipeline,model,target,track,feature_set,mean,std,min,max,count
twopx,CatBoost,P_kbar,twopx,alr,4.771169287723696,0.11934418685464523,4.612803407301415,5.0599549417955325,20
twopx,CatBoost,P_kbar,twopx,pwlr,4.517464349678553,0.0484780506492402,4.407108024639991,4.631299960355051,20
twopx,CatBoost,P_kbar,twopx,raw,4.867728264645114,0.10724809444463608,4.626908627111376,5.03039758940222,20
twopx,CatBoost,P_kbar,twopx,twopx_components,5.782520475103869,0.23818626479128963,5.444132617531196,6.206641275704831,20
twopx,CatBoost,T_C,twopx,alr,87.55480208389096,2.0056633301413997,83.5560034214552,91.33959161695527,20
twopx,CatBoost,T_C,twopx,pwlr,82.11954786297397,2.5094280513290395,77.95852956989,87.192643591612,20
twopx,CatBoost,T_C,twopx,raw,92.98794157592668,1.6782508279799673,90.11258860986597,95.80876758367329,20
twopx,CatBoost,T_C,twopx,twopx_components,94.81715166462216,1.2366124444166977,91.45330551482408,97.0147581299325,20
twopx,ERT,P_kbar,twopx,alr,4.680747527737575,0.028464114864443685,4.627925881181016,4.722637132904529,20
twopx,ERT,P_kbar,twopx,pwlr,4.469035566395158,0.04283103959428964,4.4063951733014175,4.5448090869745945,20
twopx,ERT,P_kbar,twopx,raw,4.519516345100304,0.029898930079872908,4.456084443714847,4.566402042669907,20
twopx,ERT,P_kbar,twopx,twopx_components,5.5165783288655055,0.04159763577002256,5.434639872782984,5.596181507765109,20
twopx,ERT,T_C,twopx,alr,90.60506622825568,0.46057648483414876,89.97579221978815,91.93516588300808,20
twopx,ERT,T_C,twopx,pwlr,88.38280266395167,0.46808884466747896,87.15304286257724,89.06092021678113,20
twopx,ERT,T_C,twopx,raw,88.13638024754691,0.5073585987681845,87.42852194676418,89.00362445864258,20
twopx,ERT,T_C,twopx,twopx_components,96.97648298007798,1.043708633168209,95.12654866673734,99.5141387836386,20
twopx,ElasticNet,P_kbar,twopx,alr,4.868615116820685,0.0,4.868615116820685,4.868615116820685,20
twopx,ElasticNet,P_kbar,twopx,pwlr,5.580191717705463,0.0,5.580191717705463,5.580191717705463,20
twopx,ElasticNet,P_kbar,twopx,raw,4.778917845463868,0.0,4.778917845463868,4.778917845463868,20
twopx,ElasticNet,P_kbar,twopx,twopx_components,5.749398553037476,0.0,5.749398553037476,5.749398553037476,20
twopx,ElasticNet,T_C,twopx,alr,79.72635175235887,0.0,79.72635175235887,79.72635175235887,20
twopx,ElasticNet,T_C,twopx,pwlr,85.31248810954717,0.0,85.31248810954717,85.31248810954717,20
twopx,ElasticNet,T_C,twopx,raw,79.53579684431216,0.0,79.53579684431216,79.53579684431216,20
twopx,ElasticNet,T_C,twopx,twopx_components,110.95589284701296,0.0,110.95589284701296,110.95589284701296,20
twopx,GB,P_kbar,twopx,alr,4.60791567995762,0.0,4.60791567995762,4.60791567995762,20
twopx,GB,P_kbar,twopx,pwlr,4.599867880724804,0.0,4.599867880724804,4.599867880724804,20
twopx,GB,P_kbar,twopx,raw,4.521411256934363,0.0,4.521411256934363,4.521411256934363,20
twopx,GB,P_kbar,twopx,twopx_components,5.253778233545142,0.0,5.253778233545142,5.253778233545142,20
twopx,GB,T_C,twopx,alr,111.62597129832224,0.0,111.62597129832226,111.62597129832226,20
twopx,GB,T_C,twopx,pwlr,89.41468640733983,0.0,89.41468640733983,89.41468640733983,20
twopx,GB,T_C,twopx,raw,105.73267634979796,0.0,105.73267634979796,105.73267634979796,20
twopx,GB,T_C,twopx,twopx_components,99.19896028466412,0.0,99.19896028466412,99.19896028466412,20
twopx,LightGBM,P_kbar,twopx,alr,4.5900623130339655,0.007902211057263908,4.577203960380342,4.60631286206156,20
twopx,LightGBM,P_kbar,twopx,pwlr,4.560190920225979,0.011358107819846721,4.539887049783534,4.584402255258671,20
twopx,LightGBM,P_kbar,twopx,raw,4.69690344124965,0.029861509557133487,4.646587882546855,4.756396027484817,20
twopx,LightGBM,P_kbar,twopx,twopx_components,5.428651693925682,0.00839719712087965,5.418848149957549,5.452288575430048,20
twopx,LightGBM,T_C,twopx,alr,106.92361826311806,1.153536640586837,104.93043773496044,108.52061723744715,20
twopx,LightGBM,T_C,twopx,pwlr,97.77320225685554,1.1509179113777894,95.5104512741718,100.71429379462133,20
twopx,LightGBM,T_C,twopx,raw,107.28011811973954,1.9714035054358041,104.49138482013602,110.84983505321507,20
twopx,LightGBM,T_C,twopx,twopx_components,100.16930277601838,1.0900610729158864,98.70191065269697,102.49524549902613,20
twopx,MLP,P_kbar,twopx,alr,6.330657656150255,0.3682781640731125,5.63253325548232,7.4065273263665885,20
twopx,MLP,P_kbar,twopx,pwlr,6.650822469387693,1.2499780652621837,4.989956469529471,9.035519260573206,20
twopx,MLP,P_kbar,twopx,raw,5.422013064201735,0.3205320333331884,4.802717715191741,5.995705370097673,20
twopx,MLP,P_kbar,twopx,twopx_components,5.6363188591731,0.4858951987577249,5.220014515502474,7.488293099518153,20
twopx,MLP,T_C,twopx,alr,326.3007819172932,81.16949087167792,256.0535806869831,560.837961310513,20
twopx,MLP,T_C,twopx,pwlr,318.21171040129013,109.09034356726511,235.7818976782405,701.1123597921198,20
