pipeline,model,feature_set,track,target,n_seeds,rmse_std_8dp,is_exactly_zero,is_rounded_zero,inferred_source
opx,MLP,raw,opx_only,T_C,20,3.08437905,False,False,stochastic_fit_ok
opx,RF,alr,opx_liq,P_kbar,20,0.05545106,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_liq,P_kbar,20,0.05820802,False,False,stochastic_fit_ok
opx,RF,raw,opx_liq,P_kbar,20,0.04229390,False,False,stochastic_fit_ok
opx,RF,alr,opx_only,P_kbar,20,0.08754452,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_only,P_kbar,20,0.04286130,False,False,stochastic_fit_ok
opx,RF,raw,opx_only,P_kbar,20,0.07823394,False,False,stochastic_fit_ok
opx,RF,alr,opx_liq,T_C,20,0.33539318,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_liq,T_C,20,0.24793389,False,False,stochastic_fit_ok
opx,RF,raw,opx_liq,T_C,20,0.33105053,False,False,stochastic_fit_ok
opx,RF,alr,opx_only,T_C,20,0.59507860,False,False,stochastic_fit_ok
opx,RF,pwlr,opx_only,T_C,20,0.92940972,False,False,stochastic_fit_ok
opx,RF,raw,opx_only,T_C,20,0.70298672,False,False,stochastic_fit_ok
opx,XGB,alr,opx_liq,P_kbar,20,0.11754374,False,False,stochastic_fit_ok
opx,XGB,pwlr,opx_liq,P_kbar,20,0.07636803,False,False,stochastic_fit_ok
opx,XGB,raw,opx_liq,P_kbar,20,0.07325629,False,False,stochastic_fit_ok
opx,XGB,alr,opx_only,P_kbar,20,0.12920424,False,False,stochastic_fit_ok
opx,XGB,pwlr,opx_only,P_kbar,20,0.27998211,False,False,stochastic_fit_ok
opx,XGB,raw,opx_only,P_kbar,20,0.07015307,False,False,stochastic_fit_ok
opx,XGB,alr,opx_liq,T_C,20,1.44691249,False,False,stochastic_fit_ok
opx,XGB,pwlr,opx_liq,T_C,20,0.91177157,False,False,stochastic_fit_ok
opx,XGB,raw,opx_liq,T_C,20,0.44614956,False,False,stochastic_fit_ok
opx,XGB,alr,opx_only,T_C,20,1.35939737,False,False,stochastic_fit_ok
opx,XGB,pwlr,opx_only,T_C,20,1.74092147,False,False,stochastic_fit_ok
opx,XGB,raw,opx_only,T_C,20,1.71528993,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_liq,P_kbar,20,0.13249169,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_only,P_kbar,20,0.11385162,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_liq,T_C,20,1.12357914,False,False,stochastic_fit_ok
opx,TabPFN,raw,opx_only,T_C,20,1.36613803,False,False,stochastic_fit_ok
cpx,CatBoost,alr,cpx_liq,P_kbar,20,0.15245774,False,False,stochastic_fit_ok
cpx,CatBoost,pwlr,cpx_liq,P_kbar,20,0.18184740,False,False,stochastic_fit_ok
cpx,CatBoost,raw,cpx_liq,P_kbar,20,0.15204006,False,False,stochastic_fit_ok
cpx,CatBoost,alr,cpx_only,P_kbar,20,0.31251865,False,False,stochastic_fit_ok
cpx,CatBoost,pwlr,cpx_only,P_kbar,20,0.65212112,False,False,stochastic_fit_ok
cpx,CatBoost,raw,cpx_only,P_kbar,20,0.09812669,False,False,stochastic_fit_ok
cpx,CatBoost,alr,cpx_liq,T_C,20,1.03312430,False,False,stochastic_fit_ok
cpx,CatBoost,pwlr,cpx_liq,T_C,20,0.79294342,False,False,stochastic_fit_ok
cpx,CatBoost,raw,cpx_liq,T_C,20,0.83884517,False,False,stochastic_fit_ok
cpx,CatBoost,alr,cpx_only,T_C,20,0.77064769,False,False,stochastic_fit_ok
cpx,CatBoost,pwlr,cpx_only,T_C,20,1.06157130,False,False,stochastic_fit_ok
cpx,CatBoost,raw,cpx_only,T_C,20,1.20099227,False,False,stochastic_fit_ok
cpx,ERT,alr,cpx_liq,P_kbar,20,0.05295769,False,False,stochastic_fit_ok
cpx,ERT,pwlr,cpx_liq,P_kbar,20,0.04648983,False,False,stochastic_fit_ok
cpx,ERT,raw,cpx_liq,P_kbar,20,0.03512393,False,False,stochastic_fit_ok
cpx,ERT,alr,cpx_only,P_kbar,20,0.09574104,False,False,stochastic_fit_ok
cpx,ERT,pwlr,cpx_only,P_kbar,20,0.07959437,False,False,stochastic_fit_ok
cpx,ERT,raw,cpx_only,P_kbar,20,0.07324548,False,False,stochastic_fit_ok
cpx,ERT,alr,cpx_liq,T_C,20,0.31020995,False,False,stochastic_fit_ok
cpx,ERT,pwlr,cpx_liq,T_C,20,0.20865485,False,False,stochastic_fit_ok
cpx,ERT,raw,cpx_liq,T_C,20,0.15463179,False,False,stochastic_fit_ok
cpx,ERT,alr,cpx_only,T_C,20,0.55614655,False,False,stochastic_fit_ok
cpx,ERT,pwlr,cpx_only,T_C,20,0.30455354,False,False,stochastic_fit_ok
cpx,ERT,raw,cpx_only,T_C,20,0.46397647,False,False,stochastic_fit_ok
cpx,ElasticNet,alr,cpx_liq,P_kbar,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,pwlr,cpx_liq,P_kbar,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,raw,cpx_liq,P_kbar,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,alr,cpx_only,P_kbar,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,pwlr,cpx_only,P_kbar,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,raw,cpx_only,P_kbar,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,alr,cpx_liq,T_C,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,pwlr,cpx_liq,T_C,20,0.00000000,True,False,deterministic_fit
