pipeline,track,target,regime_type,regime,regime_lo,regime_hi,n,method_family,method,method_label,rmse,rmse_lo,rmse_hi,mae,mae_lo,mae_hi,n_used
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,RF/raw,v10 RF raw,30.139433441747197,22.435093484107757,38.66708595129871,22.70390940415096,17.890307511517296,29.135228981927014,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,RF/alr,v10 RF alr,36.87975954454925,28.121029180169117,44.68123712840318,28.160487119596674,21.829608627698008,35.03135116305171,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,RF/pwlr,v10 RF pwlr,30.512201406188645,21.64420985828449,39.930350699298295,23.13186167360599,17.90703983649515,29.27234615942984,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,RF/raw,v10 RF raw,6.539512506833378,5.399347913652251,7.683740772200355,5.430726198518971,4.38817117736056,6.55170473991173,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,RF/alr,v10 RF alr,5.65958087369086,4.671516233697239,6.583745798044783,4.740617813129335,3.8386686388672646,5.665985464416957,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,RF/pwlr,v10 RF pwlr,6.567140798526467,5.835550795991226,7.200218188900999,5.972728257379455,5.160388779974584,6.686354488771215,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,ERT/raw,v10 ERT raw,29.530167791911058,21.72998669154211,36.98709263064726,22.84302413653994,17.74961431724064,28.58523700413678,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,ERT/alr,v10 ERT alr,34.055704326312764,25.78493025675488,42.04385365445729,25.80198839216505,19.72747548341559,32.37993476428708,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,ERT/pwlr,v10 ERT pwlr,23.46950633881204,15.89141880707666,30.399238774216897,17.407858631398863,13.371735347349109,22.343692758327858,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,ERT/raw,v10 ERT raw,6.268384214683367,5.353016093173296,7.152986724068364,5.522690902160631,4.628025894424056,6.417620936815576,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,ERT/alr,v10 ERT alr,7.384038608918657,6.618853182297782,8.068085396532686,6.822887045255956,5.8912009676917645,7.587943752234961,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,ERT/pwlr,v10 ERT pwlr,8.276006077343347,7.422776623033219,8.993240297559069,7.651820045027682,6.618627874364539,8.473357437788158,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,XGB/raw,v10 XGB raw,34.4110331985493,26.861186169783007,43.03845190091089,28.181782174617688,22.52982038132688,35.030439693369765,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,XGB/alr,v10 XGB alr,33.93864902680431,23.926962657801898,43.68779150075774,24.836973799035903,18.210538856019365,32.22926190964719,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,XGB/pwlr,v10 XGB pwlr,38.635294697168554,26.592862902630774,50.705762309378436,28.33080145653258,20.766068608710107,36.459715465789145,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,XGB/raw,v10 XGB raw,5.19502094073719,4.362665487280833,6.0312149206031735,4.3937112600232275,3.554113910132519,5.226848165213764,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,XGB/alr,v10 XGB alr,5.087022039014063,4.249757345783944,5.832380955420354,4.381882567353662,3.6104995842526777,5.122812011656465,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,XGB/pwlr,v10 XGB pwlr,5.5729503862321,5.028802209788087,6.075088837819947,5.129329098030565,4.499975198625769,5.687168602780385,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,GB/raw,v10 GB raw,31.351564886884056,23.31161338715424,39.20563438124017,23.63009160038312,18.37794447124459,29.587789694433692,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,GB/alr,v10 GB alr,43.16665002310241,34.08343749514122,52.76455651962001,35.29263678514496,28.669167109526008,42.65190027264739,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,GB/pwlr,v10 GB pwlr,37.87149862555039,27.46790086482544,46.97344621110568,28.96387743018414,20.858558429104097,36.7817955383048,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,GB/raw,v10 GB raw,5.314969005852104,4.384336719122652,6.160893619850519,4.499502733125931,3.6481718741079763,5.356842808677522,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,GB/alr,v10 GB alr,5.094552114380756,4.381260052868638,5.73032530957603,4.447384142480069,3.735518653068702,5.076393604738036,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,GB/pwlr,v10 GB pwlr,5.304329042104653,4.612048959925334,5.961056205956666,4.685009061141795,3.9892386137874007,5.320327414071573,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,CatBoost/raw,v10 CatBoost raw,50.70078496827285,42.293021659269236,60.11446186664268,44.00695303590421,37.102379681872854,51.766589385574015,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,CatBoost/alr,v10 CatBoost alr,52.522380920225096,42.638451719402454,63.054861607703074,44.22342486954651,36.738638321857145,53.15753082933808,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,CatBoost/pwlr,v10 CatBoost pwlr,36.565324716332086,29.291850000670397,45.542732576147976,29.807104270850598,23.891089888244572,36.753381039840534,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,CatBoost/raw,v10 CatBoost raw,6.180537028274246,5.530331526450612,6.744408958063198,5.685252827891032,4.945781554726518,6.344787637759208,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,CatBoost/alr,v10 CatBoost alr,5.380914199175214,4.775543967108045,5.905474715536748,4.933778531714808,4.286199546125132,5.496980492026731,47
opx,opx_liq,P_kbar,P,shallow_crustal,0.0,5.0,47,v10,CatBoost/pwlr,v10 CatBoost pwlr,4.8977287980986315,4.3557196624085375,5.4071630608714045,4.450129466625876,3.8727972365751473,5.027075299413243,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,LightGBM/raw,v10 LightGBM raw,36.14726639171625,26.86004172944436,46.49646664427156,27.814525374554293,21.547268327054333,35.44137695677208,47
opx,opx_liq,T_C,P,shallow_crustal,0.0,5.0,47,v10,LightGBM/alr,v10 LightGBM alr,37.47415288757808,28.681347864552624,46.043395434690595,27.80111308660776,20.89076776326466,35.8540234803399,47
