scope,n,ML_T_rmse_C,ML_P_rmse_kbar,Putirka_T_rmse_C,Putirka_P_rmse_kbar
full,197,64.57993887275695,2.628031331462957,,
eq_pass,178,63.861638376562674,2.707773649777617,50.32565968917441,3.7324456249828057
converged,185,63.62591132901132,2.6501830881786086,50.081972589470816,3.5986556285935913
eq_and_conv,166,62.73219281477289,2.737352871117319,50.32565968917441,3.7324456249828057
