perturbation,regime,n,edges,a,b,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,pipeline,track,target,model,feature_set,seed,ships,overall_delta,max_regime_degradation
base,shallow_crustal,268,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.02410572586665982,0.5731064404633704,4.967672527093632,4.222191254948568,5.733448191698546,0.9944594754070443,0.8689401264463028,1.1258301174887286,3.973213051686588,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.809291065755521,0.9167957128084261
base,deep_crustal_MASH,187,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.25571567256295263,7.3143537885435,2.7845593876476973,2.3316100343998913,3.2415961493250895,1.719356400270938,1.50522960423074,1.94717147609267,1.0652029873767592,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.809291065755521,0.9167957128084261
base,lithospheric_mantle,143,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.31513163382965476,13.277803443025494,4.3704262449048334,3.7458028961357637,4.983098793175897,3.3883075457357936,3.1088238779781747,3.645595513167606,0.9821186991690398,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.809291065755521,0.9167957128084261
base,deeper_mantle,56,"[0.0, 5.0, 15.0, 30.0, 100.0]",0.5542238592227583,23.409926715151933,17.50071941989121,6.399497215124323,27.75027499675645,18.417515132699638,8.663689866220718,28.805267986707612,-0.9167957128084261,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.809291065755521,0.9167957128084261
base,ALL,654,"[0.0, 5.0, 15.0, 30.0, 100.0]",,,6.536933084091076,4.447623757609691,8.982185160261755,5.727642018335555,3.135266380614805,8.499728381911048,0.809291065755521,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.809291065755521,0.9167957128084261
inner_m1,shallow_crustal,259,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.013168575656213832,0.41726928329731894,5.0232007281004485,4.336828862280627,5.747613785577857,0.7058384327451256,0.6026084222973251,0.8105168196266883,4.317362295355323,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.8089764899569385,0.8823007740025481
inner_m1,deep_crustal_MASH,195,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.3117505521505083,6.499551337899779,2.783783455855263,2.3024004891520917,3.260781564210738,1.9415901627052354,1.714418004122497,2.179564901939389,0.8421932931500276,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.8089764899569385,0.8823007740025481
inner_m1,lithospheric_mantle,144,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.3125362082105465,13.269142283988087,4.368936247480038,3.7424943487660296,5.024704581552746,3.4043260010710363,3.134790900242193,3.6734536170830174,0.9646102464090016,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.8089764899569385,0.8823007740025481
inner_m1,deeper_mantle,56,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.558103287040984,23.173404173840307,17.50071941989121,6.399497215124323,27.75027499675645,18.38302019389376,8.568497398260924,28.78716309649652,-0.8823007740025481,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.8089764899569385,0.8823007740025481
inner_m1,ALL,654,"[0.0, 4.0, 14.0, 29.0, 100.0]",,,6.536933084091076,4.447623757609691,8.982185160261755,5.727956594134137,3.1262241584427093,8.496608097561719,0.8089764899569385,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,False,0.8089764899569385,0.8823007740025481
inner_p1,shallow_crustal,281,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.05768217186382582,0.6969010899657375,4.977920723493553,4.30907390628856,5.715956818736346,1.365293100691952,1.2304934193561097,1.5191757318964205,3.612627622801601,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,True,1.0894048034242267,-0.12338517177792241
inner_p1,deep_crustal_MASH,230,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.30774743668398097,8.162911765991531,2.695078727107693,2.376113054673524,2.989075029412512,1.8499086382349048,1.70031843205628,1.9887047171873395,0.845170088872788,cpx,cpx_liq,P_kbar,LightGBM,pwlr,42,True,1.0894048034242267,-0.12338517177792241
