pipeline,track,target,feature_set,model,seed,aug_n_copies,aug_rel_noise,test_rmse,elapsed_s
opx,opx_liq,T_C,raw,GB,44,15,0.03,90.92385336015766,0.9175286293029785
opx,opx_liq,T_C,raw,GB,45,15,0.03,90.82187447523087,1.2123353481292725
opx,opx_liq,T_C,raw,GB,46,15,0.03,89.77905924749507,0.9703969955444336
opx,opx_liq,T_C,raw,GB,47,15,0.03,90.16597976688575,1.3660719394683838
opx,opx_liq,T_C,raw,GB,48,15,0.03,90.60875595401873,1.1186151504516602
opx,opx_liq,T_C,raw,GB,49,15,0.03,90.03787051961663,1.0873539447784424
opx,opx_liq,T_C,raw,GB,50,15,0.03,89.83513769918589,1.0738089084625244
opx,opx_liq,T_C,raw,GB,51,15,0.03,89.70555410609379,1.1996095180511475
opx,opx_liq,T_C,raw,GB,52,15,0.03,91.16285010316312,1.063979148864746
opx,opx_liq,T_C,raw,GB,53,15,0.03,89.13188739551263,0.9131205081939697
opx,opx_liq,T_C,raw,GB,54,15,0.03,88.49300678125404,0.9710297584533691
opx,opx_liq,T_C,raw,GB,55,15,0.03,89.24242159218485,0.8548195362091064
opx,opx_liq,T_C,raw,GB,56,15,0.03,89.58234123788179,1.256330966949463
opx,opx_liq,T_C,raw,GB,57,15,0.03,89.29004451616622,0.9532475471496582
opx,opx_liq,T_C,raw,GB,58,15,0.03,89.59234931788902,0.9434378147125244
opx,opx_liq,T_C,raw,GB,59,15,0.03,90.65970090790465,0.817610502243042
opx,opx_liq,T_C,raw,GB,60,15,0.03,88.45739896113497,0.985882043838501
opx,opx_liq,T_C,raw,GB,61,15,0.03,91.71822763753013,0.9956803321838379
opx,opx_liq,T_C,raw,CatBoost,42,15,0.03,89.50563802423397,1.2990334033966064
opx,opx_liq,T_C,raw,CatBoost,43,15,0.03,90.41541955256463,1.3658199310302734
opx,opx_liq,T_C,raw,CatBoost,44,15,0.03,91.16032069693898,1.4589829444885254
opx,opx_liq,T_C,raw,CatBoost,45,15,0.03,91.4839186491598,1.4771177768707275
opx,opx_liq,T_C,raw,CatBoost,46,15,0.03,88.98109724951138,1.1256213188171387
opx,opx_liq,T_C,raw,CatBoost,47,15,0.03,91.49596215687197,0.9572763442993164
opx,opx_liq,T_C,raw,CatBoost,48,15,0.03,90.33501877187636,1.03879714012146
opx,opx_liq,T_C,raw,CatBoost,49,15,0.03,89.74524922539909,1.0819392204284668
opx,opx_liq,T_C,raw,CatBoost,50,15,0.03,88.97550231642809,1.1584951877593994
opx,opx_liq,T_C,raw,CatBoost,51,15,0.03,89.51183519039762,1.179715633392334
opx,opx_liq,T_C,raw,CatBoost,52,15,0.03,91.79139242314639,1.0034546852111816
opx,opx_liq,T_C,raw,CatBoost,53,15,0.03,90.6463366427306,1.1420903205871582
opx,opx_liq,T_C,raw,CatBoost,54,15,0.03,89.59735881135947,1.0867664813995361
opx,opx_liq,T_C,raw,CatBoost,55,15,0.03,89.14744840871386,1.1973745822906494
opx,opx_liq,T_C,raw,CatBoost,56,15,0.03,90.72414085249902,1.0942256450653076
opx,opx_liq,T_C,raw,CatBoost,57,15,0.03,90.44668846897841,1.0126948356628418
opx,opx_liq,T_C,raw,CatBoost,58,15,0.03,89.74938086984903,1.0344693660736084
opx,opx_liq,T_C,raw,CatBoost,59,15,0.03,90.26885313509645,1.085979700088501
opx,opx_liq,T_C,raw,CatBoost,60,15,0.03,90.69635577841277,1.1809120178222656
opx,opx_liq,T_C,raw,CatBoost,61,15,0.03,89.57625004963336,1.0369713306427002
opx,opx_liq,T_C,raw,LightGBM,42,15,0.03,90.61749089734934,0.5588319301605225
opx,opx_liq,T_C,raw,LightGBM,43,15,0.03,90.63720113763439,0.4740009307861328
opx,opx_liq,T_C,raw,LightGBM,44,15,0.03,90.53730532135862,0.7425472736358643
opx,opx_liq,T_C,raw,LightGBM,45,15,0.03,91.22299397698156,0.6318933963775635
opx,opx_liq,T_C,raw,LightGBM,46,15,0.03,91.23338181484357,0.5107038021087646
opx,opx_liq,T_C,raw,LightGBM,47,15,0.03,91.65955438375912,0.5386288166046143
opx,opx_liq,T_C,raw,LightGBM,48,15,0.03,92.17863026693014,0.6935560703277588
opx,opx_liq,T_C,raw,LightGBM,49,15,0.03,91.67173122689242,0.6095716953277588
opx,opx_liq,T_C,raw,LightGBM,50,15,0.03,88.87269000479478,0.6579403877258301
opx,opx_liq,T_C,raw,LightGBM,51,15,0.03,90.8249795415041,0.6523876190185547
opx,opx_liq,T_C,raw,LightGBM,52,15,0.03,93.34272661005862,0.6745080947875977
opx,opx_liq,T_C,raw,LightGBM,53,15,0.03,90.00027910473442,1.0353765487670898
opx,opx_liq,T_C,raw,LightGBM,54,15,0.03,90.53220444312807,0.9233052730560303
opx,opx_liq,T_C,raw,LightGBM,55,15,0.03,90.48901960184668,0.9958400726318359
opx,opx_liq,T_C,raw,LightGBM,56,15,0.03,91.14724997918495,0.9327347278594971
opx,opx_liq,T_C,raw,LightGBM,57,15,0.03,90.73469176285103,1.5399792194366455
opx,opx_liq,T_C,raw,LightGBM,58,15,0.03,90.80995198227592,0.806865930557251
opx,opx_liq,T_C,raw,LightGBM,59,15,0.03,91.31496175224808,0.7104141712188721
opx,opx_liq,T_C,raw,LightGBM,60,15,0.03,89.8870069554839,0.6864855289459229
opx,opx_liq,T_C,raw,LightGBM,61,15,0.03,93.79425285975222,0.7170600891113281
opx,opx_liq,T_C,raw,ElasticNet,42,15,0.03,77.08604361246275,0.025109529495239258
opx,opx_liq,T_C,raw,ElasticNet,43,15,0.03,77.18827223788848,0.016504526138305664
opx,opx_liq,T_C,raw,ElasticNet,44,15,0.03,77.24636056157284,0.025278091430664062
opx,opx_liq,T_C,raw,ElasticNet,45,15,0.03,77.1869250150112,0.020566701889038086
opx,opx_liq,T_C,raw,ElasticNet,46,15,0.03,77.08497887423863,0.021962642669677734
opx,opx_liq,T_C,raw,ElasticNet,47,15,0.03,77.41575783671563,0.014769315719604492
opx,opx_liq,T_C,raw,ElasticNet,48,15,0.03,77.12147075890722,0.02025318145751953
opx,opx_liq,T_C,raw,ElasticNet,49,15,0.03,77.19633259544965,0.017675399780273438
opx,opx_liq,T_C,raw,ElasticNet,50,15,0.03,77.18014920182061,0.013397932052612305
opx,opx_liq,T_C,raw,ElasticNet,51,15,0.03,77.09575443106374,0.014236688613891602
opx,opx_liq,T_C,raw,ElasticNet,52,15,0.03,77.2739437976022,0.012943744659423828
opx,opx_liq,T_C,raw,ElasticNet,53,15,0.03,77.36954432879037,0.018980026245117188
opx,opx_liq,T_C,raw,ElasticNet,54,15,0.03,77.06110474637427,0.019739866256713867
opx,opx_liq,T_C,raw,ElasticNet,55,15,0.03,77.14860615614215,0.01155543327331543
opx,opx_liq,T_C,raw,ElasticNet,56,15,0.03,77.21281458200184,0.01255035400390625
opx,opx_liq,T_C,raw,ElasticNet,57,15,0.03,77.36745647126935,0.013566732406616211
opx,opx_liq,T_C,raw,ElasticNet,58,15,0.03,77.02025989102903,0.015912532806396484
opx,opx_liq,T_C,raw,ElasticNet,59,15,0.03,77.10339599794501,0.018711328506469727
opx,opx_liq,T_C,raw,ElasticNet,60,15,0.03,77.23416885063,0.015987634658813477
opx,opx_liq,T_C,raw,ElasticNet,61,15,0.03,77.20867018070642,0.018398046493530273
opx,opx_liq,T_C,raw,MLP,42,15,0.03,103.86676789152081,5.619807958602905
opx,opx_liq,T_C,raw,MLP,43,15,0.03,104.90102418535936,4.805923700332642
