pipeline,model,target,track,feature_set,mean,std,min,max,count
opx,CatBoost,P_kbar,opx_liq,alr,5.042063545060971,0.08898719151307065,4.895933367481316,5.24548418242916,20
opx,CatBoost,P_kbar,opx_liq,pwlr,5.241995825903415,0.11340107740692788,4.9871733315845015,5.40738262584059,20
opx,CatBoost,P_kbar,opx_liq,raw,5.561101243664788,0.1281654388955784,5.352203637938403,5.904654460140454,20
opx,CatBoost,P_kbar,opx_only,alr,11.80532805209953,0.2508006729936765,11.24568435658288,12.241593813834635,20
opx,CatBoost,P_kbar,opx_only,pwlr,11.006955534100396,0.16841233472947073,10.624233835929614,11.318961804886683,20
opx,CatBoost,P_kbar,opx_only,raw,11.446908632984838,0.16213486071847327,11.130683902847784,11.678307833490944,20
opx,CatBoost,T_C,opx_liq,alr,96.61882835669769,1.4620405592243377,94.51463198246392,99.76652561238264,20
opx,CatBoost,T_C,opx_liq,pwlr,88.71900849961024,0.6881344058719664,86.8282901504662,89.73717900756866,20
opx,CatBoost,T_C,opx_liq,raw,90.2961954956744,1.1686499061166329,87.38006445353213,92.55732053981994,20
opx,CatBoost,T_C,opx_only,alr,154.6630113635914,1.9635763475473689,151.41056138902718,158.60180651043217,20
opx,CatBoost,T_C,opx_only,pwlr,154.9619365947945,2.516050416038401,150.71418831047964,158.69264182712982,20
opx,CatBoost,T_C,opx_only,raw,156.42809064641102,2.0765672415099083,153.54763933542867,159.9525300465263,20
opx,ERT,P_kbar,opx_liq,alr,6.636192860311445,0.04515843569713229,6.563474345886057,6.718596519747317,20
opx,ERT,P_kbar,opx_liq,pwlr,6.445255786877803,0.10192862257696383,6.298549625330447,6.6338216051795325,20
opx,ERT,P_kbar,opx_liq,raw,5.738605925685208,0.04682680041268777,5.63432190162713,5.8296363661724655,20
opx,ERT,P_kbar,opx_only,alr,10.975914484547145,0.10595047106550942,10.76193801898776,11.153436723024877,20
opx,ERT,P_kbar,opx_only,pwlr,10.879154512682378,0.1059428702709813,10.64634371240447,11.091481419528188,20
opx,ERT,P_kbar,opx_only,raw,12.13712305917634,0.07286908146013553,11.985445984850776,12.243105469008633,20
opx,ERT,T_C,opx_liq,alr,92.12073122568913,0.9175433222038143,90.5572861017596,94.08602923044576,20
opx,ERT,T_C,opx_liq,pwlr,86.86966233896638,0.3657395151794074,86.16657912755598,87.4842482947924,20
opx,ERT,T_C,opx_liq,raw,90.50301309990152,0.30045029867156464,89.82019894109578,90.91379911216924,20
opx,ERT,T_C,opx_only,alr,169.21693018912634,0.787001417518533,167.35321744757437,170.5039574667692,20
opx,ERT,T_C,opx_only,pwlr,159.3470034456107,0.9503550446545821,157.24805181670533,161.07959629188903,20
opx,ERT,T_C,opx_only,raw,162.65564346279376,0.8354822453067281,161.1833266200491,164.2213786146663,20
opx,ElasticNet,P_kbar,opx_liq,alr,6.482865762630683,0.0,6.482865762630683,6.482865762630683,20
opx,ElasticNet,P_kbar,opx_liq,pwlr,6.638145442783236,0.0,6.638145442783235,6.638145442783235,20
