pipeline,track,target,model,feature_set,feature,mean_abs_shap,rank
opx,opx_only,P_kbar,RF,pwlr,pwlr_FeO_total_MnO,0.2894134521484375,12
opx,opx_only,P_kbar,RF,pwlr,Al_IV,0.2685624063014984,13
opx,opx_only,P_kbar,RF,pwlr,pwlr_SiO2_Al2O3,0.26121437549591064,14
opx,opx_only,P_kbar,RF,pwlr,En_frac,0.25696030259132385,15
opx,opx_only,P_kbar,RF,pwlr,pwlr_SiO2_Na2O,0.2321988344192505,16
opx,opx_only,P_kbar,RF,pwlr,pwlr_Al2O3_CaO,0.22280311584472656,17
opx,opx_only,P_kbar,RF,pwlr,Al_VI,0.22214515507221222,18
opx,opx_only,P_kbar,RF,pwlr,pwlr_Al2O3_MnO,0.18794003129005432,19
opx,opx_only,P_kbar,RF,pwlr,pwlr_Al2O3_Cr2O3,0.17780610918998718,20
opx,opx_only,P_kbar,RF,pwlr,pwlr_SiO2_MgO,0.16894425451755524,21
opx,opx_only,P_kbar,RF,pwlr,pwlr_Cr2O3_MnO,0.1670595407485962,22
opx,opx_only,P_kbar,RF,pwlr,pwlr_TiO2_CaO,0.16142098605632782,23
opx,opx_only,P_kbar,RF,pwlr,pwlr_TiO2_Cr2O3,0.1588360071182251,24
opx,opx_only,P_kbar,RF,pwlr,MgTs,0.1565728336572647,25
opx,opx_only,P_kbar,RF,pwlr,pwlr_Cr2O3_FeO_total,0.15157832205295563,26
opx,opx_only,P_kbar,RF,pwlr,Mg_num,0.1490406095981598,27
opx,opx_only,P_kbar,RF,pwlr,pwlr_MnO_CaO,0.13623908162117004,28
opx,opx_only,P_kbar,RF,pwlr,pwlr_FeO_total_MgO,0.13385918736457825,29
opx,opx_only,P_kbar,RF,pwlr,pwlr_TiO2_Al2O3,0.1280917078256607,30
opx,opx_only,P_kbar,RF,pwlr,pwlr_MnO_Na2O,0.11864910274744034,31
opx,opx_only,P_kbar,RF,pwlr,pwlr_TiO2_FeO_total,0.1168317124247551,32
opx,opx_only,P_kbar,RF,pwlr,pwlr_TiO2_MnO,0.11463142186403275,33
opx,opx_only,P_kbar,RF,pwlr,pwlr_Cr2O3_CaO,0.11193320900201797,34
opx,opx_only,P_kbar,RF,pwlr,pwlr_MgO_CaO,0.11120139807462692,35
opx,opx_only,P_kbar,RF,pwlr,pwlr_Al2O3_MgO,0.1059798076748848,36
opx,opx_only,P_kbar,RF,pwlr,pwlr_Cr2O3_MgO,0.09019780158996582,37
opx,opx_only,P_kbar,RF,pwlr,pwlr_Cr2O3_Na2O,0.08481736481189728,38
opx,opx_only,P_kbar,RF,pwlr,pwlr_SiO2_CaO,0.08247677981853485,39
opx,opx_only,P_kbar,RF,pwlr,pwlr_SiO2_Cr2O3,0.07825467735528946,40
opx,opx_only,P_kbar,RF,pwlr,Wo_frac,0.07180088758468628,41
opx,opx_only,P_kbar,RF,pwlr,pwlr_FeO_total_CaO,0.06596953421831131,42
opx,opx_only,P_kbar,RF,pwlr,pwlr_MgO_Na2O,0.05548977479338646,43
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_MgO,23.162912368774414,1
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_Al2O3_MgO,22.45901870727539,2
cpx,cpx_liq,T_C,ERT,pwlr,Di,15.019464492797852,3
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_Al2O3,10.440539360046387,4
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_MgO_CaO,8.719444274902344,5
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_Na2O,7.88546085357666,6
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_MgO_K2O,6.7758402824401855,7
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_MgO_Na2O,6.690576553344727,8
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Al2O3_CaO,6.606587886810303,9
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_CaO_Na2O,5.708610534667969,10
cpx,cpx_liq,T_C,ERT,pwlr,En_cpx,5.687842845916748,11
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_CaO,5.104074478149414,12
cpx,cpx_liq,T_C,ERT,pwlr,CaTs,4.891823768615723,13
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_FeO_total_Na2O,4.752401828765869,14
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Al2O3_FeO_total,4.608814239501953,15
cpx,cpx_liq,T_C,ERT,pwlr,liq_Mg_num,4.290955543518066,16
cpx,cpx_liq,T_C,ERT,pwlr,Jd,4.27303409576416,17
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_CaO,4.240492343902588,18
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_Na2O,2.898082733154297,19
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_TiO2_Al2O3,2.8266777992248535,20
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_TiO2,2.6617062091827393,21
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_MgO_CaO,2.6229074001312256,22
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_Al2O3_FeO,2.505596876144409,23
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_Al2O3_CaO,2.4990224838256836,24
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_Al2O3,2.163443088531494,25
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_CaO_K2O,2.0329301357269287,26
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_FeO,1.9432346820831299,27
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_TiO2_Na2O,1.940401554107666,28
cpx,cpx_liq,T_C,ERT,pwlr,Fs_cpx,1.8824535608291626,29
cpx,cpx_liq,T_C,ERT,pwlr,Mg_num_cpx,1.8619210720062256,30
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_FeO_MgO,1.7215473651885986,31
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_Al2O3,1.5889073610305786,32
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_MgO_Na2O,1.5276581048965454,33
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Al2O3_MnO,1.5095230340957642,34
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Al2O3_Na2O,1.4386816024780273,35
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_K2O,1.4247194528579712,36
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_FeO_total_MgO,1.304571509361267,37
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_MnO_Na2O,1.2383240461349487,38
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_MgO,1.1526788473129272,39
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_TiO2_K2O,1.150253176689148,40
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_FeO_Na2O,1.0839240550994873,41
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_TiO2_MgO,1.0578837394714355,42
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_FeO_total,1.0057398080825806,43
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Cr2O3_Na2O,0.9886689186096191,44
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_TiO2_CaO,0.8688036203384399,45
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_CaO_Na2O,0.8644193410873413,46
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_FeO_CaO,0.8367215394973755,47
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Al2O3_MgO,0.8017497658729553,48
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_Al2O3_K2O,0.7457581758499146,49
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_FeO_K2O,0.7405065894126892,50
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_MgO,0.6597194671630859,51
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_Na2O_K2O,0.6475583910942078,52
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_TiO2,0.647111713886261,53
