track,target,winner_family,winner_feature_set,top_n,n_al_bearing,al_bearing_features,top_n_features,al_importance_share,pass_gasparik,interpretation
opx_only,P_kbar,RF,pwlr,10,2,pwlr_Al2O3_FeO_total;pwlr_Al2O3_Na2O,pwlr_FeO_total_Na2O;pwlr_Al2O3_FeO_total;pwlr_CaO_Na2O;pwlr_SiO2_TiO2;pwlr_TiO2_Na2O;pwlr_TiO2_MgO;pwlr_Al2O3_Na2O;pwlr_MnO_MgO;pwlr_SiO2_MnO;pwlr_SiO2_FeO_total,0.2359144424669251,False,Only 2/10 of the top SHAP features of the opx_only/P_kbar winner are Al-bearing; the ML extracts pressure information from features beyond Gasparik's Al-solubility mechanism.
opx_liq,P_kbar,MLP,raw,10,4,raw_liq_Al2O3;Al_VI;raw_Al2O3;MgTs,raw_liq_SiO2;raw_liq_Al2O3;Al_VI;raw_liq_FeO;raw_Al2O3;raw_TiO2;raw_liq_MgO;raw_liq_CaO;liq_Mg_num;MgTs,0.45334285596598056,True,"4/10 of the top-ranked SHAP features of the opx_liq/P_kbar winner (MLP/raw) are Al-bearing, carrying 45% of the aggregated top-10 importance; the ML agrees with Gasparik (1987) that opx Al-solubility is a functional pressure proxy."
