Method,Target,RMSE,MAE,R2,n_test,failure_pct
ML-RF opx-liq (all test),T,87.54508606616842,60.01441611371537,0.6016963727819613,174,0.0
ML-RF opx-liq (all test),P,5.393819409181495,3.9932521697516568,0.686837901879028,174,0.0
Putirka failure rate,T,,,,50,28.735632183908045
Putirka failure rate,P,,,,67,38.50574712643678
