pipeline,model,feature_set,track,target,rmse_point,rmse_seed42,rmse_seed_std,rmse_ci_lo,rmse_ci_hi,ci_half_width,n_test,ci_source
opx,RF,raw,opx_liq,T_C,88.20647679686076,88.00002150509984,0.3310505250023826,70.49907880657567,104.36511293406869,16.93301706374651,174,bootstrap_n500_seed42
opx,ERT,raw,opx_liq,T_C,90.50301309990152,90.91379911216922,0.3004502986715646,74.08101514610797,107.90871657848523,16.913850716188627,174,bootstrap_n500_seed42
opx,XGB,raw,opx_liq,T_C,87.36493080910822,87.27021358840244,0.4461495589344174,70.67549155936963,103.33400760352102,16.32925802207569,174,bootstrap_n500_seed42
opx,GB,raw,opx_liq,T_C,86.18018609793371,86.18018609793371,0.0,69.37022888586596,101.91197205611364,16.270871585123842,174,bootstrap_n500_seed42
opx,CatBoost,raw,opx_liq,T_C,90.2961954956744,92.455109330282,1.1686499061166329,75.75376108516319,108.72996743318123,16.48810317400902,174,bootstrap_n500_seed42
opx,LightGBM,raw,opx_liq,T_C,87.28491678992012,87.02433037856319,0.2812851621319154,70.90734886916294,103.42079071340018,16.256720922118618,174,bootstrap_n500_seed42
opx,ElasticNet,raw,opx_liq,T_C,77.06189003628756,77.06189003628756,0.0,61.81278203941751,92.72640736069742,15.456812660639955,174,bootstrap_n500_seed42
opx,MLP,raw,opx_liq,T_C,148.20904989301428,150.81248180205156,10.219198672306822,119.57390558842077,185.95617137406862,33.19113289282392,174,bootstrap_n500_seed42
opx,RF,alr,opx_liq,T_C,86.89054142414835,87.06672081186456,0.3353931789131685,71.27358610825952,102.86111482522963,15.793764358485056,174,bootstrap_n500_seed42
opx,ERT,alr,opx_liq,T_C,92.12073122568913,91.8425960074649,0.9175433222038144,74.43066445486137,108.76791257653598,17.168624060837303,174,bootstrap_n500_seed42
opx,XGB,alr,opx_liq,T_C,91.18430699731096,89.51538033555532,1.446912488814043,73.83605838762438,105.12039803350208,15.642169822938854,174,bootstrap_n500_seed42
opx,GB,alr,opx_liq,T_C,93.42528308903331,93.42528308903331,0.0,78.33001853058242,108.48408076618065,15.077031117799116,174,bootstrap_n500_seed42
opx,CatBoost,alr,opx_liq,T_C,96.61882835669768,97.04027575648364,1.4620405592243375,81.10767926862268,111.76317064155171,15.327745686464517,174,bootstrap_n500_seed42
opx,LightGBM,alr,opx_liq,T_C,95.43630668684328,93.67288280454915,1.826049816155905,79.19349619974528,108.46746586787506,14.63698483406489,174,bootstrap_n500_seed42
opx,ElasticNet,alr,opx_liq,T_C,86.30549546200969,86.30549546200969,0.0,69.8386785338545,101.58393586494226,15.872628665543878,174,bootstrap_n500_seed42
opx,MLP,alr,opx_liq,T_C,112.83068636619043,118.45182210362069,6.272504203655741,106.06560145417116,130.6254597730509,12.279929159439867,174,bootstrap_n500_seed42
opx,RF,pwlr,opx_liq,T_C,84.88324605980044,84.89279850533424,0.2479338893628926,69.65175145846467,99.70886041993417,15.028554480734748,174,bootstrap_n500_seed42
opx,ERT,pwlr,opx_liq,T_C,86.86966233896638,86.62753117460502,0.3657395151794074,70.04159945413782,103.18767056190413,16.57303555388315,174,bootstrap_n500_seed42
opx,XGB,pwlr,opx_liq,T_C,88.83714538185737,87.81703053564898,0.9117715691417638,72.63522363950524,103.23208733855608,15.298431849525421,174,bootstrap_n500_seed42
opx,GB,pwlr,opx_liq,T_C,88.06798441640005,88.06798441640005,0.0,73.77418039122809,102.3835880654652,14.30470383711856,174,bootstrap_n500_seed42
opx,CatBoost,pwlr,opx_liq,T_C,88.71900849961024,87.78784269451208,0.6881344058719664,71.64587685485694,103.4125474088575,15.883335277000285,174,bootstrap_n500_seed42
