cell,model,target,feature_set,feature,mean_abs_shap
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_CaO,0.3591212586998646
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_Na2O,0.18791778814777388
MLP/raw/P_kbar,MLP,P_kbar,raw,raw_liq_K2O,0.5001304868157905
MLP/raw/P_kbar,MLP,P_kbar,raw,liq_Mg_num,0.7673569911429539
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_SiO2,0.09523628590073614
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_TiO2,0.29535681813883524
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_Al2O3,0.5604553523036139
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_Cr2O3,0.1619471776243337
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_FeO_total,0.1642184764441418
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_MnO,0.11515956476647503
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_MgO,0.10746716214052988
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_CaO,0.33635934916308374
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_Na2O,0.9727786327166843
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Mg_num,0.45512475722391155
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Al_IV,0.4178210710572181
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Al_VI,0.7099085606366312
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,En_frac,0.2178407649478888
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Fs_frac,0.3129578779716687
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,Wo_frac,0.23556532325245622
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,MgTs,0.7111808671562092
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_SiO2,1.491455057666521
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_TiO2,0.29777667954843745
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_Al2O3,0.8938163577301678
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_FeO,0.3448728163582863
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_MgO,1.023968888744943
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_CaO,0.6383647090517897
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_Na2O,0.14732554742530288
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,raw_liq_K2O,0.5042217100203434
CatBoost/raw/P_kbar,CatBoost,P_kbar,raw,liq_Mg_num,0.30786449797074256
XGB/alr/T_C,XGB,T_C,alr,alr_TiO2,4.774579048156738
XGB/alr/T_C,XGB,T_C,alr,alr_Al2O3,1.874293327331543
XGB/alr/T_C,XGB,T_C,alr,alr_Cr2O3,8.83431339263916
XGB/alr/T_C,XGB,T_C,alr,alr_FeO_total,4.479813575744629
XGB/alr/T_C,XGB,T_C,alr,alr_MnO,3.8006210327148438
XGB/alr/T_C,XGB,T_C,alr,alr_MgO,2.7334439754486084
XGB/alr/T_C,XGB,T_C,alr,alr_CaO,3.5750834941864014
XGB/alr/T_C,XGB,T_C,alr,alr_Na2O,16.346359252929688
XGB/alr/T_C,XGB,T_C,alr,Mg_num,2.125230073928833
XGB/alr/T_C,XGB,T_C,alr,Al_IV,3.856781244277954
XGB/alr/T_C,XGB,T_C,alr,Al_VI,3.6585872173309326
XGB/alr/T_C,XGB,T_C,alr,En_frac,1.5458322763442993
XGB/alr/T_C,XGB,T_C,alr,Fs_frac,0.9426892995834351
XGB/alr/T_C,XGB,T_C,alr,Wo_frac,6.551479339599609
XGB/alr/T_C,XGB,T_C,alr,MgTs,1.8277673721313477
XGB/alr/T_C,XGB,T_C,alr,alr_liq_TiO2,3.4279770851135254
XGB/alr/T_C,XGB,T_C,alr,alr_liq_Al2O3,5.711958408355713
XGB/alr/T_C,XGB,T_C,alr,alr_liq_FeO,6.23476505279541
XGB/alr/T_C,XGB,T_C,alr,alr_liq_MgO,69.1232681274414
XGB/alr/T_C,XGB,T_C,alr,alr_liq_CaO,5.726198196411133
XGB/alr/T_C,XGB,T_C,alr,alr_liq_Na2O,5.048960208892822
XGB/alr/T_C,XGB,T_C,alr,alr_liq_K2O,2.7988662719726562
XGB/alr/T_C,XGB,T_C,alr,liq_Mg_num,3.4173390865325928
