regime,T_obs,T_pred,T_residual,P_obs,P_pred,P_residual
deep_crustal_MASH,1130.0,1109.7939787379091,-20.20602126209087,12.999999523163,9.902377851876013,-3.097621671286987
deep_crustal_MASH,1160.0,1178.5323197396713,18.532319739671266,10.0,8.141343255397185,-1.8586567446028148
shallow_crustal,1071.0,954.3353946454649,-116.66460535453507,0.00099999997473788,1.7021426088624423,1.7011426088877044
deep_crustal_MASH,1155.0,1120.8565609408936,-34.14343905910641,6.999999880790701,7.530395903987881,0.5303960231971807
deep_crustal_MASH,1130.0,1140.088472936956,10.088472936955895,10.0,9.715857895145703,-0.2841421048542969
deep_crustal_MASH,1100.0,1120.793921372108,20.79392137210789,10.0,9.11344048845495,-0.88655951154505
deep_crustal_MASH,1145.0,1144.0341562015094,-0.9658437984905959,6.999999880790701,8.195260230010955,1.1952603492202547
lithospheric_mantle,1570.0,1449.6053625732288,-120.39463742677117,27.999999523163,25.408801629553885,-2.5911978936091167
lithospheric_mantle,1547.5,1454.4930006687055,-93.00699933129454,27.999999523163,24.86336774430088,-3.136631778862121
lithospheric_mantle,1565.0,1476.142717663234,-88.85728233676605,27.999999523163,26.731090880546493,-1.268908642616509
lithospheric_mantle,1175.0,1274.4678139289838,99.46781392898379,15.0,7.1155747112267,-7.8844252887733
lithospheric_mantle,1175.0,1253.6005357299746,78.60053572997458,15.0,8.941566663409855,-6.058433336590145
lithospheric_mantle,1200.0,1302.643832669831,102.643832669831,20.0,9.273102904531386,-10.726897095468614
lithospheric_mantle,1300.0,1390.6857811819539,90.68578118195387,20.0,13.942818096840314,-6.057181903159686
lithospheric_mantle,1400.0,1358.5694305322363,-41.43056946776369,15.0,12.448867443559983,-2.5511325564400167
lithospheric_mantle,1450.0,1386.5246142835879,-63.47538571641212,20.0,19.02940379089354,-0.9705962091064606
lithospheric_mantle,1250.0,1350.7601851034399,100.76018510343988,20.0,12.582014641306314,-7.417985358693686
lithospheric_mantle,1200.0,1283.2776602849553,83.27766028495535,15.0,9.431813060497612,-5.568186939502388
lithospheric_mantle,1300.0,1391.8495700763604,91.84957007636035,20.0,13.318772120796313,-6.681227879203687
lithospheric_mantle,1450.0,1423.505621020819,-26.494378979180965,20.0,19.827949290382623,-0.1720507096173769
lithospheric_mantle,1275.0,1364.7264743122898,89.72647431228984,20.0,13.629114066280222,-6.370885933719778
lithospheric_mantle,1425.0,1411.1767895842204,-13.823210415779613,20.0,21.20271093098378,1.2027109309837805
lithospheric_mantle,1450.0,1413.8196992756125,-36.18030072438751,15.0,19.263732076042714,4.263732076042714
lithospheric_mantle,1475.0,1441.7689428597632,-33.23105714023677,20.0,22.065486972601736,2.065486972601736
shallow_crustal,1300.0,1274.808382101341,-25.191617898658933,0.001,10.35609126423275,10.355091264232751
shallow_crustal,1300.0,1268.7847106197785,-31.21528938022152,0.001,11.204830330249365,11.203830330249366
shallow_crustal,1300.0,1259.7922520580164,-40.2077479419836,0.001,9.213814067531686,9.212814067531687
