,,mae_test,mae_test,mae_test,mae_test,r2_test,r2_test,r2_test,r2_test,rmse_test,rmse_test,rmse_test,rmse_test
model,,ERT,GB,RF,XGB,ERT,GB,RF,XGB,ERT,GB,RF,XGB
target,model_type,,,,,,,,,,,,
P_kbar,opx_liq,4.310640138354478,3.8770760543211735,4.281080791282267,4.421683652487575,0.5577506991295098,0.6889396109501671,0.6208361854085728,0.5852416607050259,6.636293972501154,5.565630802601167,6.144767858407106,6.426723300143681
P_kbar,opx_only,10.405657829482095,10.676154530792008,10.2131460600831,10.162760920428775,0.1393697515734466,0.1231019656520789,0.1675651390852626,0.1629587951513267,15.703194206345716,15.850911712501455,15.443823457371314,15.486494315533172
T_C,opx_liq,69.10019362745096,70.06017067067488,67.92490652729632,68.44154878504136,0.4270138581832634,0.4389122953029007,0.442348662415771,0.4468880104194508,125.7113059077838,124.39921928049544,124.01769432539336,123.51190355522073
T_C,opx_only,142.46036411423503,141.34153324771955,148.3851751356156,149.52108523142422,0.259418385333829,0.2729417129141838,0.2021731658069805,0.1967483862011895,186.7248590379902,185.01216769915555,193.8072399825695,194.46501457685025
