pipeline,track,target,feature_set,model,seed,winner,form,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
opx,opx_liq,T_C,raw,ElasticNet,42,none,A,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,54.00663281282519,46.98978891437586,63.210761385517635,-18.67713191544027,-21.47531099746312,-15.233203136698698
opx,opx_liq,T_C,raw,ElasticNet,42,none,A,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,76.91907589844185,33.418510414322235,109.1337885186876,1.5452331525581258,-3.616765318865207,4.010595208520222
opx,opx_liq,T_C,raw,ElasticNet,42,none,A,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,93.57682751076115,78.10716248210504,110.5749186713538,0.1214666511825584,-2.811533980257926,3.211823208574879
opx,opx_liq,T_C,raw,ElasticNet,42,none,A,deeper_mantle,8,105.99641300315001,79.17747404206752,130.67979903926252,61.54209075358005,51.83920296676068,69.95073668203449,44.45432224956996,24.643157594223865,62.29505721126612
opx,opx_liq,T_C,raw,ElasticNet,42,none,A,ALL,174,77.06189003628756,61.989006718019475,91.99366628609333,77.16895978642394,63.506299484941394,91.28781224034653,-0.10706975013637532,-3.1347492102333065,2.9021366973430744
opx,opx_liq,T_C,raw,ElasticNet,42,none,B,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,35.32950089738492,28.10151476095918,44.22777033916298,0.0,0.0,0.0
opx,opx_liq,T_C,raw,ElasticNet,42,none,B,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,78.46430905099997,29.674505530030473,112.71129285803137,0.0,0.0,0.0
opx,opx_liq,T_C,raw,ElasticNet,42,none,B,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,95.31199848869873,79.4822417397799,112.47170822261327,-1.6137043267550268,-4.372280924382752,0.31395554454470004
opx,opx_liq,T_C,raw,ElasticNet,42,none,B,deeper_mantle,8,105.99641300315001,79.17747404206752,130.67979903926252,82.88783875319308,65.73720674856007,98.27135757697909,23.10857424995693,12.038832304989407,32.61830368201099
opx,opx_liq,T_C,raw,ElasticNet,42,none,B,ALL,174,77.06189003628756,61.989006718019475,91.99366628609333,76.41676021313197,61.23632050486062,91.59370785056788,0.6451298231555995,-0.889938450945473,2.3297541241313997
opx,opx_liq,T_C,raw,ElasticNet,43,none,A,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,55.891999370757745,49.08924249472809,64.8044974686496,-20.562498473372827,-23.44937183128344,-17.053766929654536
opx,opx_liq,T_C,raw,ElasticNet,43,none,A,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,77.01188274744685,33.34044399883533,109.27209101644871,1.4524263035531249,-3.504488770177156,3.8240675004686495
opx,opx_liq,T_C,raw,ElasticNet,43,none,A,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,93.48838744832204,78.07658408490366,110.45175405268064,0.20990671362166324,-2.731041768989731,3.3411442200691037
opx,opx_liq,T_C,raw,ElasticNet,43,none,A,deeper_mantle,8,105.99641300315001,79.17747404206752,130.67979903926252,63.10314193496224,51.8496250830144,73.00750281752772,42.89327106818777,25.256191915142196,58.61474006568316
opx,opx_liq,T_C,raw,ElasticNet,43,none,A,ALL,174,77.06189003628756,61.989006718019475,91.99366628609333,77.585150785797,64.01692694421781,91.67392645285223,-0.5232607495094328,-3.532914452554671,2.471555545812811
opx,opx_liq,T_C,raw,ElasticNet,43,none,B,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,35.32950089738492,28.10151476095918,44.22777033916298,0.0,0.0,0.0
opx,opx_liq,T_C,raw,ElasticNet,43,none,B,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,78.46430905099997,29.674505530030473,112.71129285803137,0.0,0.0,0.0
opx,opx_liq,T_C,raw,ElasticNet,43,none,B,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,95.41897048290323,79.62767861193215,112.6965641836528,-1.7206763209595266,-4.416759486621628,0.05232085629762784
opx,opx_liq,T_C,raw,ElasticNet,43,none,B,deeper_mantle,8,105.99641300315001,79.17747404206752,130.67979903926252,83.74345841135333,69.23333826368483,97.05378909735722,22.25295459179668,8.262136178863084,34.30065670258023
opx,opx_liq,T_C,raw,ElasticNet,43,none,B,ALL,174,77.06189003628756,61.989006718019475,91.99366628609333,76.50409975891344,61.263756008726034,91.60033513166681,0.5577902773741243,-0.9874360853461421,2.2731563147879945
opx,opx_liq,T_C,raw,ElasticNet,44,none,A,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,57.62165437776491,50.74851117929131,66.53232276909856,-22.292153480379994,-25.3234181399971,-18.595132262048303
opx,opx_liq,T_C,raw,ElasticNet,44,none,A,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,77.20116878384778,33.251249279393015,109.55430628014275,1.2631402671521954,-3.3905210506130214,3.4767801043436712
opx,opx_liq,T_C,raw,ElasticNet,44,none,A,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,93.69236810063867,78.18196978028003,110.77846775639414,0.005926061305032704,-3.1587564400407033,3.3511771037581384
opx,opx_liq,T_C,raw,ElasticNet,44,none,A,deeper_mantle,8,105.99641300315001,79.17747404206752,130.67979903926252,60.17615014319196,50.48930138050595,68.5469716310229,45.82026285995805,25.99470960729193,63.688914586225806
opx,opx_liq,T_C,raw,ElasticNet,44,none,A,ALL,174,77.06189003628756,61.989006718019475,91.99366628609333,77.96704501163026,64.37646049188275,92.11166759051483,-0.9051549753426968,-4.021690238619074,2.2512652839120104
opx,opx_liq,T_C,raw,ElasticNet,44,none,B,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,35.32950089738492,28.10151476095918,44.22777033916298,0.0,0.0,0.0
opx,opx_liq,T_C,raw,ElasticNet,44,none,B,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,78.46430905099997,29.674505530030473,112.71129285803137,0.0,0.0,0.0
opx,opx_liq,T_C,raw,ElasticNet,44,none,B,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,95.58447851384935,79.7772125068446,112.93415345766259,-1.8861843519056407,-4.83854526387405,0.05989263424692258
opx,opx_liq,T_C,raw,ElasticNet,44,none,B,deeper_mantle,8,105.99641300315001,79.17747404206752,130.67979903926252,81.81893493196611,68.28542855996758,94.14073833707175,24.1774780711839,9.128587710703492,37.213611862340535
opx,opx_liq,T_C,raw,ElasticNet,44,none,B,ALL,174,77.06189003628756,61.989006718019475,91.99366628609333,76.47722026083395,61.137829552378356,91.64487338591537,0.5846697754536194,-1.0849992532817592,2.4384395980111564
opx,opx_liq,T_C,raw,ElasticNet,45,none,A,shallow_crustal,47,35.32950089738492,28.10151476095918,44.22777033916298,58.644099506310354,51.55269808456402,67.77145493876118,-23.314598608925436,-26.446105460792282,-19.424579629922636
opx,opx_liq,T_C,raw,ElasticNet,45,none,A,deep_crustal_MASH,61,78.46430905099997,29.674505530030473,112.71129285803137,76.98237662063154,33.83069804405592,109.07824388635196,1.4819324303684311,-3.9718084176554367,4.054857213178054
opx,opx_liq,T_C,raw,ElasticNet,45,none,A,lithospheric_mantle,58,93.6982941619437,78.34991099271328,110.33710027483338,93.80027383622897,78.2541281579859,110.9352381723711,-0.10197967428526056,-3.2828057578314267,3.2612017675067624
