pipeline,track,target,n_seeds,ship_a_count,ship_b_count,winner_A,winner_B,winner_none,pre_rmse_mean,post_rmse_a_mean,post_rmse_b_mean,form_a_overall_delta_mean,form_b_overall_delta_mean
opx,opx_liq,T_C,5,0,0,0,0,5,84.5455726340318,84.63264520186684,85.27280728445047,-0.08707256783505102,-0.7272346504186658
opx,opx_liq,P_kbar,5,2,0,2,0,3,5.464871165061661,2.6707518636823644,5.948670049076299,2.794119301379297,-0.4837988840146382
opx,opx_only,T_C,5,3,0,3,0,2,150.64844258860802,123.95564000643617,149.44697592774878,26.69280258217185,1.2014666608592335
opx,opx_only,P_kbar,5,5,0,5,0,0,12.524387651990292,5.935367510015579,12.517571996701076,6.589020141974714,0.006815655289217659
