pipeline,model,target,track,feature_set,seed,test_rmse,rmse,mae,r2,n_train,n_test
opx,TabPFN,T_C,opx_liq,raw,42,84.09436584153448,84.09436584153448,57.345806253367456,0.6324770082534352,426,174
opx,TabPFN,T_C,opx_liq,raw,43,83.64759268132596,83.64759268132596,57.77344662019576,0.6363717574635818,426,174
opx,TabPFN,T_C,opx_liq,raw,44,85.33966697089922,85.33966697089922,58.84725005051185,0.6215115763245808,426,174
opx,TabPFN,T_C,opx_liq,raw,45,85.54586099123426,85.54586099123426,59.48083285627694,0.6196803919898493,426,174
opx,TabPFN,T_C,opx_liq,raw,46,84.10037668516505,84.10037668516505,58.969922295932115,0.6324244672261483,426,174
opx,TabPFN,T_C,opx_liq,raw,47,85.29733355200679,85.29733355200679,59.07622449151401,0.6218869875596608,426,174
opx,TabPFN,T_C,opx_liq,raw,48,87.08870265139221,87.08870265139221,60.78704833984375,0.6058383608466793,426,174
opx,TabPFN,T_C,opx_liq,raw,49,83.87462783425843,83.87462783425843,57.22928382610453,0.634395169071194,426,174
opx,TabPFN,T_C,opx_liq,raw,50,84.22180498533447,84.22180498533447,58.42731239055765,0.6313622533257108,426,174
opx,TabPFN,T_C,opx_liq,raw,51,84.11385299194778,84.11385299194778,57.67658242411997,0.632306656635474,426,174
opx,TabPFN,T_C,opx_liq,raw,52,83.31060754692348,83.31060754692348,56.704073149582435,0.6392957025423739,426,174
opx,TabPFN,T_C,opx_liq,raw,53,84.93800436447574,84.93800436447574,58.27921830100575,0.6250660051131407,426,174
opx,TabPFN,T_C,opx_liq,raw,54,86.34571075598159,86.34571075598159,60.070073270249644,0.612535203046845,426,174
opx,TabPFN,T_C,opx_liq,raw,55,84.39293774466846,84.39293774466846,58.49572894216954,0.6298626395870378,426,174
opx,TabPFN,T_C,opx_liq,raw,56,84.5877531094384,84.5877531094384,59.41661931180406,0.6281517932641871,426,174
opx,TabPFN,T_C,opx_liq,raw,57,83.80546642944701,83.80546642944701,58.924341311399964,0.6349978619068362,426,174
opx,TabPFN,T_C,opx_liq,raw,58,84.58714714392242,84.58714714392242,59.302524961274244,0.628157120900283,426,174
opx,TabPFN,T_C,opx_liq,raw,59,84.96683199869948,84.96683199869948,59.4335972577676,0.6248114595932981,426,174
opx,TabPFN,T_C,opx_liq,raw,60,87.24548956341437,87.24548956341437,61.21187477550287,0.6044178547770649,426,174
opx,TabPFN,T_C,opx_liq,raw,61,86.19295021980085,86.19295021980085,58.354896983881105,0.6139049751298178,426,174
opx,TabPFN,P_kbar,opx_liq,raw,42,5.286354038108626,5.286354038108626,3.8356744155270577,0.6991923468419713,426,174
opx,TabPFN,P_kbar,opx_liq,raw,43,5.445959375441108,5.445959375441108,3.8756407220370526,0.6807542051593336,426,174
opx,TabPFN,P_kbar,opx_liq,raw,44,5.452433714166131,5.452433714166131,3.910619325119015,0.6799946937958004,426,174
opx,TabPFN,P_kbar,opx_liq,raw,45,5.470987681163319,5.470987681163319,3.9535408867334683,0.6778131102052598,426,174
opx,TabPFN,P_kbar,opx_liq,raw,46,5.66862086377509,5.66862086377509,4.107028157099569,0.6541154108894187,426,174
opx,TabPFN,P_kbar,opx_liq,raw,47,5.479873267378078,5.479873267378078,3.9716209103004387,0.6767657146172676,426,174
opx,TabPFN,P_kbar,opx_liq,raw,48,5.441810866376023,5.441810866376023,3.912336065490013,0.6812403966815266,426,174
opx,TabPFN,P_kbar,opx_liq,raw,49,5.492024813882267,5.492024813882267,3.9741565942062103,0.6753305896875257,426,174
opx,TabPFN,P_kbar,opx_liq,raw,50,5.422146641732918,5.422146641732918,3.9106123754245044,0.6835399383093811,426,174
opx,TabPFN,P_kbar,opx_liq,raw,51,5.28699941718658,5.28699941718658,3.8208057624522915,0.6991188947746975,426,174
opx,TabPFN,P_kbar,opx_liq,raw,52,5.331522335443661,5.331522335443661,3.8350793002921586,0.6940299929308572,426,174
opx,TabPFN,P_kbar,opx_liq,raw,53,5.506433327219098,5.506433327219098,3.934648588452191,0.6736247925952934,426,174
opx,TabPFN,P_kbar,opx_liq,raw,54,5.6978030715423165,5.6978030715423165,4.145577302675694,0.6505449984595355,426,174
opx,TabPFN,P_kbar,opx_liq,raw,55,5.38262010616513,5.38262010616513,3.8945408425180417,0.6881370021750775,426,174
opx,TabPFN,P_kbar,opx_liq,raw,56,5.555422235486693,5.555422235486693,4.001637078117711,0.6677916561499444,426,174
opx,TabPFN,P_kbar,opx_liq,raw,57,5.4411174586210675,5.4411174586210675,3.9502198031760525,0.6813216256342561,426,174
opx,TabPFN,P_kbar,opx_liq,raw,58,5.326232269624664,5.326232269624664,3.899334892825837,0.6946368734300539,426,174
opx,TabPFN,P_kbar,opx_liq,raw,59,5.759622908802818,5.759622908802818,4.131211746547697,0.6429208506338135,426,174
opx,TabPFN,P_kbar,opx_liq,raw,60,5.474631191699651,5.474631191699651,3.9672241956663554,0.6773838340730738,426,174
opx,TabPFN,P_kbar,opx_liq,raw,61,5.646048873500455,5.646048873500455,4.042912862362539,0.656864495628994,426,174
opx,TabPFN,T_C,opx_only,raw,42,152.68144360535047,152.68144360535047,111.67395282716885,0.24519914532812903,845,190
opx,TabPFN,T_C,opx_only,raw,43,148.69466423859328,148.69466423859328,107.3593535390315,0.2841028437455746,845,190
opx,TabPFN,T_C,opx_only,raw,44,150.25159727537084,150.25159727537084,110.22172472272806,0.26903250796363487,845,190
opx,TabPFN,T_C,opx_only,raw,45,150.0959265274324,150.0959265274324,108.15936799472641,0.2705463861664854,845,190
opx,TabPFN,T_C,opx_only,raw,46,151.51858809161251,151.51858809161251,109.11365748126012,0.25665282095524533,845,190
opx,TabPFN,T_C,opx_only,raw,47,151.2894522566358,151.2894522566358,110.35256193232921,0.2588993926635562,845,190
opx,TabPFN,T_C,opx_only,raw,48,149.2253287760001,149.2253287760001,108.71818050757592,0.27898390911773785,845,190
opx,TabPFN,T_C,opx_only,raw,49,150.04203567820576,150.04203567820576,108.26814838380947,0.27107010214584126,845,190
opx,TabPFN,T_C,opx_only,raw,50,149.25828526997395,149.25828526997395,109.23061304766638,0.2786654003686898,845,190
opx,TabPFN,T_C,opx_only,raw,51,150.5907848483512,150.5907848483512,108.60288252751835,0.2657285172397702,845,190
opx,TabPFN,T_C,opx_only,raw,52,151.57147015907717,151.57147015907717,110.39266138751013,0.2561338536656762,845,190
opx,TabPFN,T_C,opx_only,raw,53,149.64571826301537,149.64571826301537,108.36674907254302,0.2749157722113116,845,190
opx,TabPFN,T_C,opx_only,raw,54,148.05284568792257,148.05284568792257,107.03848658282263,0.2902696345622501,845,190
opx,TabPFN,T_C,opx_only,raw,55,150.92103644512036,150.92103644512036,109.18091244116967,0.26250441252770684,845,190
opx,TabPFN,T_C,opx_only,raw,56,150.34418771964098,150.34418771964098,108.84119590128479,0.26813133340475925,845,190
opx,TabPFN,T_C,opx_only,raw,57,150.13074434546908,150.13074434546908,107.84499228800355,0.27020792356365564,845,190
opx,TabPFN,T_C,opx_only,raw,58,147.9604956885968,147.9604956885968,107.26734850202493,0.29115476657851724,845,190
opx,TabPFN,T_C,opx_only,raw,59,149.40119205468667,149.40119205468667,108.50641164450026,0.27728346091178613,845,190
opx,TabPFN,T_C,opx_only,raw,60,148.77509838581176,148.77509838581176,108.34367778348052,0.2833281266194433,845,190
opx,TabPFN,T_C,opx_only,raw,61,152.86066706060998,152.86066706060998,109.95329660286785,0.24342607570909847,845,190
opx,TabPFN,P_kbar,opx_only,raw,42,12.687095040113233,12.687095040113233,8.157575615401162,0.1703979905579276,845,190
opx,TabPFN,P_kbar,opx_only,raw,43,12.382802589830867,12.382802589830867,7.860649470224023,0.20971578490791232,845,190
opx,TabPFN,P_kbar,opx_only,raw,44,12.68840153894654,12.68840153894654,7.975393159710879,0.17022711931247458,845,190
opx,TabPFN,P_kbar,opx_only,raw,45,12.485870246640664,12.485870246640664,7.840954334163595,0.1965052494665368,845,190
opx,TabPFN,P_kbar,opx_only,raw,46,12.377768728896966,12.377768728896966,7.897561324842493,0.21035818749852053,845,190
opx,TabPFN,P_kbar,opx_only,raw,47,12.52782335160859,12.52782335160859,7.962964371937132,0.19109661858781324,845,190
opx,TabPFN,P_kbar,opx_only,raw,48,12.533857009456758,12.533857009456758,7.896425605340786,0.19031726188576736,845,190
opx,TabPFN,P_kbar,opx_only,raw,49,12.49857223365852,12.49857223365852,7.9310194077694,0.19486961318238372,845,190
opx,TabPFN,P_kbar,opx_only,raw,50,12.48817670232023,12.48817670232023,7.904554821836102,0.19620837048845985,845,190
opx,TabPFN,P_kbar,opx_only,raw,51,12.700834147710331,12.700834147710331,8.044372471903277,0.16860023263301616,845,190
opx,TabPFN,P_kbar,opx_only,raw,52,12.649366755958813,12.649366755958813,7.988737926250789,0.17532471678168093,845,190
opx,TabPFN,P_kbar,opx_only,raw,53,12.531519078723598,12.531519078723598,7.994469213430643,0.1906192927144046,845,190
opx,TabPFN,P_kbar,opx_only,raw,54,12.394654101578459,12.394654101578459,7.886283543971779,0.2082023076971664,845,190
opx,TabPFN,P_kbar,opx_only,raw,55,12.536301441946849,12.536301441946849,7.9214075577335805,0.19000141213740274,845,190
opx,TabPFN,P_kbar,opx_only,raw,56,12.388081240427061,12.388081240427061,7.8508993945073025,0.2090418626074545,845,190
opx,TabPFN,P_kbar,opx_only,raw,57,12.474286757053685,12.474286757053685,7.92850789265396,0.19799540683386463,845,190
opx,TabPFN,P_kbar,opx_only,raw,58,12.424771347898128,12.424771347898128,7.905546432364759,0.20434972124118223,845,190
opx,TabPFN,P_kbar,opx_only,raw,59,12.67304760836592,12.67304760836592,7.951801220097337,0.17223408083837577,845,190
opx,TabPFN,P_kbar,opx_only,raw,60,12.344270568931739,12.344270568931739,7.878219741714965,0.21462644540488074,845,190
opx,TabPFN,P_kbar,opx_only,raw,61,12.525258283585574,12.525258283585574,7.949811428416544,0.19142783011951647,845,190
cpx,TabPFN,T_C,cpx_liq,raw,42,68.78487447623733,68.78487447623733,41.97733803845327,0.8458581775273253,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,43,69.58155476204031,69.58155476204031,41.68530049455275,0.8422668964660736,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,44,70.94907985184814,70.94907985184814,42.91620003703173,0.8360059368603913,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,45,69.68964404655559,69.68964404655559,42.84556210952432,0.8417764647508992,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,46,71.3140052900291,71.3140052900291,42.85238040842412,0.8343145967352077,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,47,69.09175796546924,69.09175796546924,41.70236038068019,0.8444797028826803,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,48,69.13140779045335,69.13140779045335,41.90098175142154,0.8443011541789758,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,49,69.1583638057073,69.1583638057073,40.950376084820576,0.8441797089818575,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,50,70.97782402191716,70.97782402191716,42.10196417478976,0.8358730294813052,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,51,69.30922415625457,69.30922415625457,42.233847801838444,0.8434991624408814,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,52,68.37893953612098,68.37893953612098,40.86442785233897,0.8476721495230009,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,53,71.83723285559766,71.83723285559766,42.843179685260175,0.8318744254279298,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,54,70.02711986447633,70.02711986447633,42.75566311057555,0.8402403425425712,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,55,69.655529001959,69.655529001959,41.8260204070205,0.841931336592957,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,56,70.36967696874933,70.36967696874933,42.59741752227877,0.838673502111935,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,57,70.23840069640708,70.23840069640708,42.27643083578221,0.8392748573501456,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,58,70.17579702013177,70.17579702013177,42.05857032519233,0.839561239174416,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,59,69.70235785412784,69.70235785412784,41.283712964539134,0.8417187285663332,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,60,71.7267124051621,71.7267124051621,42.85479419019973,0.8323913445787336,1731,654
cpx,TabPFN,T_C,cpx_liq,raw,61,69.09203062366633,69.09203062366633,40.997102883248516,0.844478475414492,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,42,7.303225068206751,7.303225068206751,3.301682888458669,0.7056326410389202,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,43,7.640550961893151,7.640550961893151,3.529777135374409,0.677811796373068,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,44,7.503040933577674,7.503040933577674,3.367959600959131,0.6893045355499314,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,45,7.58705960725199,7.58705960725199,3.4873442443622813,0.6823072719215408,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,46,7.5332598268501405,7.5332598268501405,3.4604718153310494,0.6867968109474356,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,47,7.483393034201211,7.483393034201211,3.4243573834757575,0.6909296154234184,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,48,7.420929909520635,7.420929909520635,3.4294069104010196,0.696067640739735,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,49,7.303690189176735,7.303690189176735,3.318494131252002,0.7055951450586769,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,50,7.4660728007508474,7.4660728007508474,3.431392356577152,0.6923586400009468,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,51,7.427088230930761,7.427088230930761,3.301480725479911,0.6955629897575579,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,52,7.527630086613407,7.527630086613407,3.5411180182391107,0.6872647607543039,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,53,7.30992234022055,7.30992234022055,3.3105262283824404,0.7050925064547842,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,54,7.341005972488192,7.341005972488192,3.4278001433238092,0.7025791320525664,1731,654
