track,feature_set,model_name,target,best_rmse_cv,best_trial,n_trials_completed,n_trials_pruned,n_trials_failed,best_params,elapsed_s
opx_liq,raw,RF,P_kbar,5.616023288251974,47,50,0,0,"{'n_estimators': 700, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.6340065654844887}",155.9
opx_liq,raw,ERT,T_C,77.8407979778566,45,50,0,0,"{'n_estimators': 800, 'max_depth': 28, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.9762799285983367}",98.8
opx_liq,raw,ERT,P_kbar,5.4686331827367995,28,50,0,0,"{'n_estimators': 800, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.9667280361382236}",104.9
opx_liq,raw,XGB,T_C,75.43590235968857,21,50,0,0,"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.011006700027444857, 'subsample': 0.7610866841567874, 'colsample_bytree': 0.8940662480571784, 'reg_alpha': 0.0012475769766455479, 'reg_lambda': 0.04330019631637472, 'min_child_weight': 3}",63.7
opx_liq,raw,XGB,P_kbar,4.841931971213271,41,50,0,0,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.01863482860663478, 'subsample': 0.656715645474182, 'colsample_bytree': 0.9409679707458907, 'reg_alpha': 0.0006782290125591015, 'reg_lambda': 2.520106803290839, 'min_child_weight': 3}",77.0
opx_liq,raw,GB,T_C,78.12363036087874,27,50,0,0,"{'max_iter': 400, 'max_depth': 4, 'learning_rate': 0.01001391429235529, 'min_samples_leaf': 10, 'l2_regularization': 0.0004305608289370158, 'max_leaf_nodes': 81}",278.6
opx_liq,raw,GB,P_kbar,4.988686765848182,40,50,0,0,"{'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.05466586286870985, 'min_samples_leaf': 22, 'l2_regularization': 0.0008290237734273495, 'max_leaf_nodes': 39}",160.7
opx_liq,alr,RF,T_C,77.86280044610027,49,50,0,0,"{'n_estimators': 700, 'max_depth': 16, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.9617027856430507}",135.6
opx_liq,alr,RF,P_kbar,5.499321896828266,30,50,0,0,"{'n_estimators': 400, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.9913821292378133}",114.7
opx_liq,alr,ERT,T_C,81.1943724789196,44,50,0,0,"{'n_estimators': 200, 'max_depth': 24, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.9370355482731967}",77.0
opx_liq,alr,ERT,P_kbar,5.721203356059256,27,50,0,0,"{'n_estimators': 800, 'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.9207149490479796}",101.4
