pipeline,model,target,track,feature_set,mean,std,min,max,count
cpx,CatBoost,P_kbar,cpx_liq,alr,7.3849075146508865,0.15245773537659574,7.122130299384746,7.647469703138692,20
cpx,CatBoost,P_kbar,cpx_liq,pwlr,7.278176005117845,0.18184740330434596,6.937370127615255,7.576383616531658,20
cpx,CatBoost,P_kbar,cpx_liq,raw,7.8442110926234605,0.15204006081690496,7.584733580929088,8.140962813521377,20
cpx,CatBoost,P_kbar,cpx_only,alr,15.635169254128517,0.3125186528310083,15.214179993049903,16.220910241378217,20
cpx,CatBoost,P_kbar,cpx_only,pwlr,15.726494167201926,0.6521211215482612,14.487035561510634,16.875164130402144,20
cpx,CatBoost,P_kbar,cpx_only,raw,14.318432839357925,0.09812668589339685,14.138098929544714,14.56135840787119,20
cpx,CatBoost,T_C,cpx_liq,alr,76.69886764096535,1.0331242950976007,74.33290127430752,78.11768641548642,20
cpx,CatBoost,T_C,cpx_liq,pwlr,72.77521182753057,0.7929434179513893,71.33050490161042,74.18183346859539,20
cpx,CatBoost,T_C,cpx_liq,raw,75.54266746349518,0.8388451684344607,73.28995132885835,76.72002332657844,20
cpx,CatBoost,T_C,cpx_only,alr,136.9047278281201,0.7706476853523081,135.55643231451248,138.1527196759428,20
cpx,CatBoost,T_C,cpx_only,pwlr,134.7297758228191,1.061571302762461,133.39152124486665,137.02158378842944,20
cpx,CatBoost,T_C,cpx_only,raw,140.74310566078634,1.2009922674398932,138.51777505397249,143.67574127483644,20
cpx,ERT,P_kbar,cpx_liq,alr,7.607998394917121,0.05295769110768471,7.526802699122357,7.712332411803629,20
cpx,ERT,P_kbar,cpx_liq,pwlr,7.383734530444032,0.04648982995410652,7.302536885176809,7.452791256907339,20
cpx,ERT,P_kbar,cpx_liq,raw,7.3336463445358175,0.035123934365759904,7.287388382076632,7.3957876759131,20
cpx,ERT,P_kbar,cpx_only,alr,14.392609008907502,0.09574103850011594,14.19441191454021,14.575046782831858,20
cpx,ERT,P_kbar,cpx_only,pwlr,14.083206426342638,0.07959437106446225,13.926461816245162,14.222650238238382,20
cpx,ERT,P_kbar,cpx_only,raw,14.197797825638839,0.07324548056279705,14.069154493011393,14.30678209854982,20
cpx,ERT,T_C,cpx_liq,alr,76.0399258545084,0.3102099542711431,75.44892143294008,76.53970792547702,20
cpx,ERT,T_C,cpx_liq,pwlr,72.47571867909348,0.20865485165529185,72.14537757307843,72.78829348938739,20
cpx,ERT,T_C,cpx_liq,raw,76.0050838266871,0.15463179289471365,75.74010315343786,76.29736767007329,20
cpx,ERT,T_C,cpx_only,alr,133.13216732420642,0.5561465475506145,132.05443949220307,133.97050986798257,20
cpx,ERT,T_C,cpx_only,pwlr,127.0219367725089,0.30455353696616777,126.25711072451298,127.5142855677837,20
cpx,ERT,T_C,cpx_only,raw,142.5213015525695,0.463976465724457,141.64229306304287,143.48690224205825,20
cpx,ElasticNet,P_kbar,cpx_liq,alr,7.712227991981382,0.0,7.712227991981382,7.712227991981382,20
cpx,ElasticNet,P_kbar,cpx_liq,pwlr,7.775659541363487,0.0,7.775659541363487,7.775659541363487,20
cpx,ElasticNet,P_kbar,cpx_liq,raw,9.225202737028804,0.0,9.225202737028804,9.225202737028804,20
cpx,ElasticNet,P_kbar,cpx_only,alr,15.984798370955644,0.0,15.984798370955644,15.984798370955644,20
cpx,ElasticNet,P_kbar,cpx_only,pwlr,15.781491226139186,0.0,15.781491226139186,15.781491226139186,20
cpx,ElasticNet,P_kbar,cpx_only,raw,16.102325975631732,0.0,16.102325975631732,16.102325975631732,20
cpx,ElasticNet,T_C,cpx_liq,alr,89.66595115175612,0.0,89.66595115175612,89.66595115175612,20
cpx,ElasticNet,T_C,cpx_liq,pwlr,91.8709006268369,0.0,91.8709006268369,91.8709006268369,20
cpx,ElasticNet,T_C,cpx_liq,raw,93.99018437258832,0.0,93.99018437258832,93.99018437258832,20
cpx,ElasticNet,T_C,cpx_only,alr,151.5589753504157,0.0,151.5589753504157,151.5589753504157,20
cpx,ElasticNet,T_C,cpx_only,pwlr,151.32654929532444,0.0,151.32654929532444,151.32654929532444,20
cpx,ElasticNet,T_C,cpx_only,raw,151.75057974977986,0.0,151.75057974977986,151.75057974977986,20
cpx,GB,P_kbar,cpx_liq,alr,7.262548958803217,0.0,7.262548958803217,7.262548958803217,20
cpx,GB,P_kbar,cpx_liq,pwlr,7.052132163652134,0.0,7.052132163652133,7.052132163652133,20
cpx,GB,P_kbar,cpx_liq,raw,7.259173965437225,0.0,7.259173965437224,7.259173965437224,20
cpx,GB,P_kbar,cpx_only,alr,20.248269063830325,0.0,20.248269063830325,20.248269063830325,20
cpx,GB,P_kbar,cpx_only,pwlr,15.6581509712797,0.0,15.6581509712797,15.6581509712797,20
cpx,GB,P_kbar,cpx_only,raw,14.20756348036959,0.0,14.20756348036959,14.20756348036959,20
cpx,GB,T_C,cpx_liq,alr,75.57558883291043,0.0,75.57558883291043,75.57558883291043,20
cpx,GB,T_C,cpx_liq,pwlr,75.66579252945712,0.0,75.66579252945712,75.66579252945712,20
cpx,GB,T_C,cpx_liq,raw,75.47126631357939,0.0,75.47126631357939,75.47126631357939,20
cpx,GB,T_C,cpx_only,alr,145.95019778247865,0.0,145.95019778247865,145.95019778247865,20
cpx,GB,T_C,cpx_only,pwlr,131.59019236799173,0.0,131.59019236799173,131.59019236799173,20
cpx,GB,T_C,cpx_only,raw,146.36172653028345,0.0,146.36172653028345,146.36172653028345,20
cpx,LightGBM,P_kbar,cpx_liq,alr,7.369695966202608,0.052381151773565233,7.269569609930525,7.49962728487342,20
cpx,LightGBM,P_kbar,cpx_liq,pwlr,6.545968996153412,0.05022447665062234,6.472247864833115,6.647797079429865,20
cpx,LightGBM,P_kbar,cpx_liq,raw,7.389324311278825,0.07503155963696755,7.259524152859359,7.529114340576844,20
cpx,LightGBM,P_kbar,cpx_only,alr,18.964885204334962,0.45633190971307563,18.060771849728045,19.82044389143813,20
cpx,LightGBM,P_kbar,cpx_only,pwlr,15.26628674620726,0.09100373248480748,15.108679838645209,15.450486288749158,20
cpx,LightGBM,P_kbar,cpx_only,raw,14.370365575484703,0.10401129510378775,14.131617187259083,14.559928944765346,20
cpx,LightGBM,T_C,cpx_liq,alr,77.76417226426395,1.531657513064258,75.1069076609456,80.44354833734013,20
cpx,LightGBM,T_C,cpx_liq,pwlr,74.54681215775021,0.5108432571676612,73.67502438832486,75.23331372229559,20
cpx,LightGBM,T_C,cpx_liq,raw,76.17480205972848,1.3044055630667983,73.62791523243364,78.72572830795734,20
cpx,LightGBM,T_C,cpx_only,alr,144.78635792015615,0.6091244975514761,143.6338224958721,146.04306916665945,20
cpx,LightGBM,T_C,cpx_only,pwlr,133.04080225918054,0.47586238682036314,132.2225246642216,133.72551938584792,20
cpx,LightGBM,T_C,cpx_only,raw,144.14289758763417,0.6076108926215278,143.1414835236579,145.21277075902492,20
cpx,MLP,P_kbar,cpx_liq,alr,9.035144410812768,0.48701844712176234,8.27632341913134,9.955562637752342,20
cpx,MLP,P_kbar,cpx_liq,pwlr,7.633185612056804,0.5965605567924145,6.8361871858284,9.145686119793629,20
cpx,MLP,P_kbar,cpx_liq,raw,7.843052448212165,0.360367303209261,7.169816436827321,8.629130917110231,20
