model,target,median_rmse,mean_rmse,q25,q75,n_studies
ERT,P_kbar,3.1285903342528676,4.321757039946239,2.0623003005984093,5.721570927510241,74
ERT,T_C,59.61798111447578,79.04836602278614,41.29411506703038,90.5023682315628,74
GB,P_kbar,2.9722063204373685,3.9217298611282967,1.8887067845525416,4.9800607388329965,74
GB,T_C,60.945889616498505,82.25216224013488,40.813562021304364,101.2796764026883,74
RF,P_kbar,3.052710783239519,4.276306922045876,1.9717818184208475,5.878710189601668,74
RF,T_C,58.426861261429934,79.90556408676319,39.93345643338226,96.82476431772227,74
XGB,P_kbar,3.0212823263203923,4.66098922216824,2.158830665301509,6.4596862350650595,74
XGB,T_C,67.47150403955656,84.18891362149374,38.60492243995398,104.28121164490689,74
