pipeline,track,target,model,feature_set,form,regime,pre_rmse_mean,pre_rmse_std,pre_rmse_min,pre_rmse_max,pre_rmse_count,post_rmse_mean,post_rmse_std,post_rmse_min,post_rmse_max,post_rmse_count,delta_rmse_mean,delta_rmse_std,delta_rmse_min,delta_rmse_max,delta_rmse_count
cpx,cpx_liq,P_kbar,LightGBM,pwlr,A,ALL,6.545968996153412,0.05022447665062234,6.472247864833115,6.647797079429865,20,5.635336742658216,0.11835717119336209,5.408537859624595,5.811217329076401,20,0.9106322534951952,0.11516056252710605,0.7444884099272322,1.1279074041291404,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,A,deep_crustal_MASH,2.7560974899218955,0.02761780646197738,2.715636861655582,2.7932752458015915,20,1.7221486413666145,0.016543967491123288,1.6925690947667227,1.7494428291888116,20,1.0339488485552806,0.024228882448107093,0.9893058156229604,1.0741820715972847,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,A,deeper_mantle,17.583331049009622,0.1984703013245915,17.192914197978567,18.01076455433461,20,18.083895069687543,0.4109273078170797,17.31434576777042,18.71592948494358,20,-0.5005640206779205,0.4227622938082727,-1.0624302665905425,0.28868603899436707,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,A,lithospheric_mantle,4.316931237168116,0.06499743034817129,4.211322698322879,4.492431548286989,20,3.378692957537248,0.07544510461267101,3.2407025191579004,3.5366677161403497,20,0.9382382796308677,0.08445691066700742,0.7755689172207947,1.0965236642900482,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,A,shallow_crustal,4.971135651690245,0.043840277912673274,4.908504931537034,5.056111561672396,20,0.998935413301696,0.0035783028589944157,0.9944594757267302,1.006214799846638,20,3.9722002383885497,0.04381403817024493,3.9029611016591694,4.049896761825758,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,B,ALL,6.545968996153412,0.05022447665062234,6.472247864833115,6.647797079429865,20,6.665619549762482,0.14704444462411967,6.265199269795433,6.84010869870399,20,-0.11965055360906977,0.1355247785223267,-0.3211998984380209,0.23829233399724803,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,B,deep_crustal_MASH,2.7560974899218955,0.02761780646197738,2.715636861655582,2.7932752458015915,20,2.8180266745834137,0.030737930567618327,2.7272992137534264,2.8658986034618383,20,-0.06192918466151813,0.022673335984598354,-0.09098820799142748,0.01019993322842394,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,B,deeper_mantle,17.583331049009622,0.1984703013245915,17.192914197978567,18.01076455433461,20,18.200236073740612,0.6041181156423986,16.592797002181154,18.961742388150682,20,-0.6169050247309891,0.573320262280126,-1.3507646906932322,0.9559403702043561,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,B,lithospheric_mantle,4.316931237168116,0.06499743034817129,4.211322698322879,4.492431548286989,20,4.277351633336059,0.10376746585434175,4.086407219043834,4.490654800287121,20,0.03957960383205661,0.07119011160368914,-0.016255427560815328,0.21798791495339653,20
cpx,cpx_liq,P_kbar,LightGBM,pwlr,B,shallow_crustal,4.971135651690245,0.043840277912673274,4.908504931537034,5.056111561672396,20,4.885975820690686,0.05585733832569289,4.805533946396146,5.026686517484176,20,0.08515983099955889,0.03079559125635577,-0.02938960464017537,0.11675624362017523,20
cpx,cpx_liq,T_C,ERT,pwlr,A,ALL,72.47571867909348,0.20865485165529052,72.14537757307843,72.78829348938739,20,68.73263615788429,0.2321328514195892,68.30481462354656,69.21078843091077,20,3.7430825212091903,0.15753385870556955,3.541090203464634,4.096440338847458,20
cpx,cpx_liq,T_C,ERT,pwlr,A,deep_crustal_MASH,51.16119699222611,0.2410340946275103,50.68565055413838,51.60641864103884,20,50.47799261585306,0.29420122385574604,49.86146022767364,51.0434508503088,20,0.6832043763730479,0.16302514071462795,0.46984249274818524,1.0664762783316064,20
cpx,cpx_liq,T_C,ERT,pwlr,A,deeper_mantle,166.31113723792816,0.8829147409958068,163.83118527310853,168.07347710192488,20,147.75823049793223,0.836930542913256,145.93205080619438,148.67440836806145,20,18.552906739995912,0.6350632575459536,17.473411621277336,19.637246048744657,20
cpx,cpx_liq,T_C,ERT,pwlr,A,lithospheric_mantle,77.72447555903713,0.4930705078843546,76.71106257953095,78.58359353382721,20,78.33645217886581,0.640789254799713,77.41511255164426,79.80454439221376,20,-0.6119766198286868,0.42712284607469986,-1.4144423444887906,0.11689932463664832,20
cpx,cpx_liq,T_C,ERT,pwlr,A,shallow_crustal,44.593712582024324,0.23331623432928345,44.063574299668744,45.012655690148605,20,43.746440080194965,0.2488040291346959,43.26364071162536,44.107101962206656,20,0.8472725018293567,0.30603942976031007,0.45163449694967284,1.4485313676049074,20
cpx,cpx_liq,T_C,ERT,pwlr,B,ALL,72.47571867909348,0.20865485165529052,72.14537757307843,72.78829348938739,20,70.6451653967585,0.32578656595880356,69.97387095628396,71.24534825485244,20,1.8305532823349744,0.20012830137579163,1.368358683199773,2.1978231457859607,20
cpx,cpx_liq,T_C,ERT,pwlr,B,deep_crustal_MASH,51.16119699222611,0.2410340946275103,50.68565055413838,51.60641864103884,20,52.70127672694309,0.2988765363517521,52.11276431187409,53.27879224728931,20,-1.540079734716981,0.21854713748356142,-1.8450816510850672,-0.9844349134504071,20
