target,ml_vs,n_pairs,wilcoxon_stat,p_value,delta_rmse,delta_ci_lo,delta_ci_hi
T,Putirka 28a (true P),124,2222.0,3.755203652038008e-05,-11.239586005329599,-21.35808129839824,-2.928362597630684
T,Putirka 28b_opx_sat (true P),124,3221.0,0.10291893983700066,-6.857551528549038,-16.24907132123764,0.7705388532558458
T,Putirka iterative (28a+29a),124,2742.0,0.004723115055905551,-10.447305064885484,-18.112296528075184,-3.5679891069810528
T,Putirka 28a (ML P),124,3258.0,0.12390238171159199,-8.434991947237691,-15.810710520967435,-2.0876770834878635
P,Putirka 29a (true T),107,2070.0,0.010913340981699465,-0.6764396041396759,-1.309681564970046,-0.0427419989520656
P,"Putirka 29c (opx-only, true T)",107,2565.0,0.3139368200124453,0.45243437067183656,-0.43587430195132476,1.3864536569016777
P,Putirka iterative (28a+29a),107,2083.0,0.012243155342819615,-0.691986789941267,-1.2726553479903446,-0.11645414058121042
P,Putirka 29a (ML T),107,1889.0,0.0018835070578838255,-0.8427139261920065,-1.4332257806026147,-0.243863621081009
