pipeline,track,target,model,feature_set,seed,aug_n_copies,aug_rel_noise,pre_rmse_all,post_rmse_a,post_rmse_b,ship_a,ship_b,winner,form_a_overall_delta,form_a_max_regime_degr,form_b_overall_delta,form_b_max_regime_degr,form_b_alpha_L,form_b_alpha_R,form_b_a_L,form_b_a_R,form_b_s_L,form_b_s_R
opx,opx_liq,P_kbar,MLP,raw,42,15,0.03,6.411964605279195,3.2349248103648423,6.531630143079166,True,False,A,3.1770397949143527,-1.4471388354792687,-0.11966553779997113,1.0998004056952624,0.09,0.55,4.058389584015485,12.460402461816663,0.644563269350615,0.1465225073596236
opx,opx_liq,P_kbar,MLP,raw,43,15,0.03,5.362866674613845,2.954681337658362,5.824131720802888,True,False,A,2.408185336955483,-0.8048776137404623,-0.46126504618904285,4.034269172286571,0.13,0.55,5.645276645000993,13.521147120545345,0.6103972612280196,0.3160235094886715
opx,opx_liq,P_kbar,MLP,raw,44,15,0.03,7.174888416278062,3.5006060862213024,7.152261417238663,True,False,A,3.6742823300567595,-1.8275942866806298,0.022626999039398576,0.6686845323985331,0.09,0.55,3.6494367912516776,12.747170690518825,0.6276383500313231,0.14559153527838295
opx,opx_liq,P_kbar,MLP,raw,45,15,0.03,5.67176933418668,3.089585888387905,5.828129352816398,True,False,A,2.5821834457987753,-1.3356809895356028,-0.1563600186297176,1.8570724031937758,0.13,0.55,4.791040273292952,12.387736927931762,0.5422002029825226,0.16811891851866567
opx,opx_liq,P_kbar,MLP,raw,46,15,0.03,5.945362356085813,2.9266953980765646,5.845148797531827,True,False,A,3.018666958009248,-1.8626617242832566,0.1002135585539854,1.1018901212273704,0.09,0.55,1.962251589561502,12.27522995716068,1.0391322753397363,0.13032033521895464
opx,opx_liq,P_kbar,MLP,raw,47,15,0.03,4.8503663659683856,2.608604307547256,5.0132203194595615,False,False,none,2.2417620584211297,2.2172689601902515,-0.16285395349117593,3.237103239152751,0.09,0.55,2.909529603573882,13.541127551248188,0.8514595913797399,0.2115430933612287
opx,opx_liq,P_kbar,MLP,raw,48,15,0.03,6.064711821384043,3.2355377396343887,6.0320051068058085,True,False,A,2.8291740817496547,-1.695232686780149,0.03270671457823493,0.7341401357161512,0.16999999999999998,0.63,6.647066008165213,13.793279920190827,0.5224436379843844,0.07324352530825863
opx,opx_liq,P_kbar,MLP,raw,49,15,0.03,5.802771808847839,2.8950894681760837,6.084378183717013,True,False,A,2.9076823406717556,-1.0287432747517813,-0.28160637486917395,2.946243974921387,0.09,0.55,3.0521865540868722,12.931733208455881,1.607208282499126,0.21853915106231256
opx,opx_liq,P_kbar,MLP,raw,50,15,0.03,5.782481999064107,2.8369608934032895,6.34154866280134,False,False,none,2.9455211056608173,0.38792121170269844,-0.5590666637372337,1.940767555003256,0.13,0.55,5.2242422983856445,12.926803344566864,1.607557342197455,0.10255583577940298
opx,opx_liq,P_kbar,MLP,raw,51,15,0.03,6.505435043099422,3.5748509611631394,6.578147135861651,True,False,A,2.9305840819362827,-1.2934951868494395,-0.07271209276222912,0.589514510048545,0.13,0.55,5.059752405104412,12.77072042070263,0.640405974537271,0.11663427970173339
opx,opx_liq,P_kbar,MLP,raw,52,15,0.03,5.935681211959221,2.896249319844097,5.615622661225905,True,False,A,3.0394318921151235,-2.1098358479085206,0.32005855073331535,0.3501372947287873,0.13,0.55,5.055961666775751,12.602724015626666,0.4320973594904511,0.16264006769972533
opx,opx_liq,P_kbar,MLP,raw,53,15,0.03,6.323305036364971,2.9110457366022175,6.345835961278521,False,False,none,3.4122592997627534,2.6891084893559096,-0.02253092491354991,4.891916660525633,0.09,0.55,3.588905530926439,13.064596170833553,0.5426942430447408,0.2779741018698736
opx,opx_liq,P_kbar,MLP,raw,54,15,0.03,5.858218152398754,3.093277950919661,5.872793826657437,True,False,A,2.764940201479093,-1.2009840039112318,-0.014575674258683335,1.8696074293223326,0.13,0.5900000000000001,6.039772552361219,13.547938890638267,0.6886152336033602,0.23232865143800735
opx,opx_liq,P_kbar,MLP,raw,55,15,0.03,5.132436067519177,2.6639191984459942,5.375770952373907,True,False,A,2.468516869073183,-1.4440667042448734,-0.24333488485472987,3.4240031728199156,0.09,0.55,3.980300971195074,12.66430580859311,1.207191329379736,0.24823150763478274
opx,opx_liq,P_kbar,MLP,raw,56,15,0.03,6.1362420748148745,3.1500909382050093,6.333265476004777,True,False,A,2.986151136609865,-2.1696827443273645,-0.19702340118990236,2.45155768562182,0.13,0.55,5.061085256619204,13.322259071639417,0.669579828202593,0.21448341405471288
opx,opx_liq,P_kbar,MLP,raw,57,15,0.03,5.62492661591082,3.042686651262352,5.955296078519162,True,False,A,2.5822399646484686,-0.7241782021358802,-0.330369462608342,3.2130088455421024,0.05,0.55,2.434634594761641,12.528304724287285,1.5633142177964834,0.23707417884995782
opx,opx_liq,P_kbar,MLP,raw,58,15,0.03,6.020132764208201,3.2939166217397484,6.281661939517641,True,False,A,2.7262161424684526,-1.0847594364556286,-0.2615291753094402,1.8723280112662692,0.09,0.55,3.184115904705656,12.827824328332232,0.8291130261937779,0.20580525477186523
opx,opx_liq,P_kbar,MLP,raw,59,15,0.03,5.131062487502086,2.984068888323009,5.299806395398962,True,False,A,2.1469935991790767,-0.7592932315114402,-0.168743907896876,1.9301899646226897,0.13,0.55,3.8532709488224723,12.139969843379232,0.6030061853941078,0.2228364653470655
