pipeline,track,target,feature_set,family,feature_name,importance_mean,importance_std,rank
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_SiO2_K2O,0.031062141063028292,0.028876620979901093,23
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_TiO2_Al2O3,0.16380250892305953,0.09835638286121767,13
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_TiO2_FeO,-0.04146925207960663,0.05660998175680268,37
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_TiO2_MgO,-0.06547559645312831,0.06726004219503946,43
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_TiO2_CaO,0.03806982984092784,0.10486077430490041,21
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_TiO2_Na2O,-0.06132866418685197,0.04248758481323249,40
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_TiO2_K2O,-0.006691265984060379,0.06351682040102308,33
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_Al2O3_FeO,2.2930510175928154,0.5142051968201626,4
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_Al2O3_MgO,8.12158003216734,2.326029296235247,2
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_Al2O3_CaO,-0.34037129315435805,0.09608768241469114,70
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_Al2O3_Na2O,-0.18664931680653468,0.05237197701794249,64
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_Al2O3_K2O,-0.21152675957167374,0.1110176246976906,67
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_FeO_MgO,-0.1502806097165262,0.04925588824174321,56
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_FeO_CaO,0.8371710192359828,0.15878751253814063,6
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_FeO_Na2O,-0.12479085916076613,0.08903663384904201,51
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_FeO_K2O,-0.16581457306113806,0.08399453782425348,62
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_MgO_CaO,2.641692519508882,1.1251404178547675,3
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_MgO_Na2O,-0.06265324096499399,0.12024787271998126,42
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_MgO_K2O,0.055915272013982074,0.04782950692501176,20
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_CaO_Na2O,-0.08127173730608916,0.058952541309766404,46
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_CaO_K2O,-0.18308723286173317,0.10874956163899178,63
opx,opx_liq,T_C,pwlr,RF,pwlr_liq_Na2O_K2O,-0.004733205993179013,0.053837092746289346,31
opx,opx_liq,T_C,pwlr,RF,liq_Mg_num,-0.12808193626866782,0.04390569909577647,52
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_TiO2,0.114171845093788,0.03522154727429122,13
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_Al2O3,-0.0918088093569935,0.06796837691622143,46
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_Cr2O3,-0.1599783488169379,0.06884851303300442,56
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_FeO_total,-0.7187798946318658,0.20462341409171397,69
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_MnO,-0.04798156124338746,0.07231901568904277,42
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_MgO,-0.1699265978724469,0.07270591958434278,57
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_CaO,-0.22668195930021967,0.13932795746442111,60
opx,opx_liq,T_C,pwlr,ERT,pwlr_SiO2_Na2O,-0.08740560716440057,0.2214178223507695,45
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_Al2O3,0.11530825422182289,0.14113942465791718,12
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_Cr2O3,-0.22433738837257167,0.10159382631701191,59
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_FeO_total,0.09831818260502985,0.04873551202548324,16
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_MnO,-0.2876694779033045,0.1549351370407994,63
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_MgO,0.03499783834261905,0.03460155918290863,23
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_CaO,-0.0648850456601906,0.04718606941992282,44
opx,opx_liq,T_C,pwlr,ERT,pwlr_TiO2_Na2O,-0.24947581391226664,0.20453575791103462,61
opx,opx_liq,T_C,pwlr,ERT,pwlr_Al2O3_Cr2O3,-0.12605470526940935,0.10238100959463046,53
opx,opx_liq,T_C,pwlr,ERT,pwlr_Al2O3_FeO_total,-0.35892046237342823,0.2013994755798268,65
opx,opx_liq,T_C,pwlr,ERT,pwlr_Al2O3_MnO,-0.11869320585905285,0.05455967730421881,51
opx,opx_liq,T_C,pwlr,ERT,pwlr_Al2O3_MgO,0.026541252437557006,0.0536627384563392,25
opx,opx_liq,T_C,pwlr,ERT,pwlr_Al2O3_CaO,-0.10567054280209547,0.07280361187474978,49
opx,opx_liq,T_C,pwlr,ERT,pwlr_Al2O3_Na2O,0.03837621407929888,0.20212245634711873,21
opx,opx_liq,T_C,pwlr,ERT,pwlr_Cr2O3_FeO_total,-0.13472263280911606,0.06250966077021455,54
opx,opx_liq,T_C,pwlr,ERT,pwlr_Cr2O3_MnO,0.02500830473398139,0.031051837844233425,26
opx,opx_liq,T_C,pwlr,ERT,pwlr_Cr2O3_MgO,-0.09219910004652192,0.0682455675832553,47
opx,opx_liq,T_C,pwlr,ERT,pwlr_Cr2O3_CaO,0.007685093144630173,0.09141307714917106,28
opx,opx_liq,T_C,pwlr,ERT,pwlr_Cr2O3_Na2O,-0.037658649680280834,0.05921733914013258,38
opx,opx_liq,T_C,pwlr,ERT,pwlr_FeO_total_MnO,-0.04358388303356335,0.03629042028152203,40
opx,opx_liq,T_C,pwlr,ERT,pwlr_FeO_total_MgO,-0.805359488526831,0.15920704464403643,70
opx,opx_liq,T_C,pwlr,ERT,pwlr_FeO_total_CaO,-0.655155796968694,0.2235991652129676,68
opx,opx_liq,T_C,pwlr,ERT,pwlr_FeO_total_Na2O,0.06718798999532538,0.30135062074150204,19
opx,opx_liq,T_C,pwlr,ERT,pwlr_MnO_MgO,-0.008141415990237988,0.05806654804507514,32
opx,opx_liq,T_C,pwlr,ERT,pwlr_MnO_CaO,-0.0563343778913449,0.09999403952993785,43
opx,opx_liq,T_C,pwlr,ERT,pwlr_MnO_Na2O,-0.18969053580361148,0.10358902329825498,58
opx,opx_liq,T_C,pwlr,ERT,pwlr_MgO_CaO,-0.12457621349085243,0.13805920117029302,52
opx,opx_liq,T_C,pwlr,ERT,pwlr_MgO_Na2O,-0.0474702249954241,0.19890034385113436,41
opx,opx_liq,T_C,pwlr,ERT,pwlr_CaO_Na2O,0.2493230300951481,0.2626587451256978,7
opx,opx_liq,T_C,pwlr,ERT,Mg_num,-0.9197987164090968,0.17433947301045896,72
opx,opx_liq,T_C,pwlr,ERT,Al_IV,-0.03197906138602065,0.04703692953843733,37
opx,opx_liq,T_C,pwlr,ERT,Al_VI,0.1554081594001559,0.11948901646565596,10
opx,opx_liq,T_C,pwlr,ERT,En_frac,-0.42684881554945947,0.16187831077472375,66
opx,opx_liq,T_C,pwlr,ERT,Fs_frac,-0.896187124493153,0.1613819465754715,71
opx,opx_liq,T_C,pwlr,ERT,Wo_frac,0.09140875830023062,0.14437011145261502,18
opx,opx_liq,T_C,pwlr,ERT,MgTs,-0.0047732815153011645,0.1167991895302571,31
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_TiO2,0.012280550391232482,0.052495441776065216,27
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_Al2O3,0.17191819050517979,0.1651319265530861,9
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_FeO,0.4348264958274818,0.3107017994581557,6
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_MgO,25.545734342718873,3.032902612099504,1
