track,target,model,feature_set,form,seed,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
opx_liq,P_kbar,MLP,raw,A,42,shallow_crustal,47,5.662229779283632,4.838304377077298,6.689015223720542,1.024443994237125,0.9616530231087099,1.100278088968366,4.637785785046507,3.850820210903173,5.629432201741475
opx_liq,P_kbar,MLP,raw,A,42,deep_crustal_MASH,61,3.510254489931553,2.9693361177978406,3.9779005793543054,2.063115654452284,1.693673854173711,2.4158983093310145,1.4471388354792687,0.8595926489518935,1.9919070783061588
opx_liq,P_kbar,MLP,raw,A,42,lithospheric_mantle,58,6.164577124625117,4.957937343337413,7.410215476429683,3.2439046124603963,2.492440117578122,4.065328013638933,2.9206725121647206,1.988244675959487,3.8365184387618383
opx_liq,P_kbar,MLP,raw,A,42,deeper_mantle,8,18.340873019474902,10.783535799835338,23.820038228232274,10.61582706024571,2.043119935744788,14.921362258069886,7.725045959229192,5.544436210558832,9.860172395009254
opx_liq,P_kbar,MLP,raw,A,42,ALL,174,6.411964605279195,5.285800342597119,7.6266429844398465,3.2349248103648423,2.3351856768742194,4.050918151948591,3.1770397949143527,2.6601587640674733,3.704358014354702
opx_liq,P_kbar,MLP,raw,B,42,shallow_crustal,47,5.662229779283632,4.838304377077298,6.689015223720542,5.672591546163254,4.868573844365466,6.684164110079609,-0.010361766879621648,-0.12134337348118057,0.10649699776738725
opx_liq,P_kbar,MLP,raw,B,42,deep_crustal_MASH,61,3.510254489931553,2.9693361177978406,3.9779005793543054,3.347354053483764,2.8489346172470795,3.7950067936200482,0.16290043644778907,0.08451155913689745,0.2453294677212598
opx_liq,P_kbar,MLP,raw,B,42,lithospheric_mantle,58,6.164577124625117,4.957937343337413,7.410215476429683,6.164178794586436,5.057386775476405,7.247822270530014,0.00039833003868050554,-0.17923519675873475,0.1935309027843543
opx_liq,P_kbar,MLP,raw,B,42,deeper_mantle,8,18.340873019474902,10.783535799835338,23.820038228232274,19.440673425170164,11.899986187085602,25.154667967616188,-1.0998004056952624,-1.3864771772225097,-0.8424381644819613
opx_liq,P_kbar,MLP,raw,B,42,ALL,174,6.411964605279195,5.285800342597119,7.6266429844398465,6.531630143079166,5.349639622176035,7.815526525467092,-0.11966553779997113,-0.24233859103357036,0.0010810421717694608
opx_liq,P_kbar,MLP,raw,A,43,shallow_crustal,47,7.025702896744131,6.092483841958024,7.942942985871813,1.0670257145870774,1.01268880517791,1.1188803715052766,5.958677182157054,5.0553799740545085,6.830464131982566
