sample_id,tectonic_setting,KD_FeMg_opx_cpx,equilibrium_flag,delta_ours_vs_putirka_twopx_eq36,delta_ours_vs_putirka_twopx_eq37,delta_ours_vs_putirka_twopx_eq39,delta_ours_vs_putirka_twopx_eq38,delta_ours_T_vs_putirka_cpxonly_eq32d,delta_ours_P_vs_putirka_opxonly_eq29c
[18984] SCOTT J. M. (2014)|samp. FIS-9,INTRAPLATE VOLCANICS,1.217628320471297,True,-17.30128450098823,-28.05008543402778,6.152185544784164,5.01557117319744,-123.85907967882167,11.074440861885241
[18984] SCOTT J. M. (2014)|samp. FOR-1,INTRAPLATE VOLCANICS,0.6848045551530835,False,135.0989815577891,204.38652707137044,1.106532193280735,3.2814867921498863,-169.98382772847697,8.044234747663001
[18984] SCOTT J. M. (2014)|samp. FOR-10,INTRAPLATE VOLCANICS,0.7368612940551552,False,82.63199563900798,146.50161385751028,-0.09412177088830376,5.224474179973515,-176.7672342360604,7.904476556487574
[18984] SCOTT J. M. (2014)|samp. FOR-11,INTRAPLATE VOLCANICS,0.6663413412355533,False,74.65217092262822,134.71844431178863,-0.9485928099138423,4.446618916332896,-196.34883071276477,7.632624294753933
[18984] SCOTT J. M. (2014)|samp. FOR-12,INTRAPLATE VOLCANICS,0.6408741550437269,False,94.23183650008662,171.23462484119466,-5.079220927592024,7.008454743492316,-198.36056698971902,7.126070473097817
[18984] SCOTT J. M. (2014)|samp. FOR-13,INTRAPLATE VOLCANICS,0.6825566436433173,False,69.73468408641759,136.1981275389304,-0.27733333368170143,6.767407527541728,-172.32906082522618,8.849918733483712
[18984] SCOTT J. M. (2014)|samp. FOR-2,INTRAPLATE VOLCANICS,0.629451478957733,False,120.39024211231299,199.9338618389295,2.7635598122332006,4.918905210102174,-142.84356550459358,11.188416111626832
[18984] SCOTT J. M. (2014)|samp. FOR-3,INTRAPLATE VOLCANICS,0.6928147244793806,False,83.09075643421602,161.17003546650176,3.945393612618844,5.909786599071731,-154.96483990388867,12.847930185595299
[18984] SCOTT J. M. (2014)|samp. FOR-6,INTRAPLATE VOLCANICS,0.6460713327969964,False,96.54788673219582,158.56662564132898,1.7128233795630443,2.127264486696495,-206.8199570814678,10.204432435803362
[18984] SCOTT J. M. (2014)|samp. FOR-7,INTRAPLATE VOLCANICS,0.836776085468098,False,-355.6665763057472,53.17195196312446,49.65345340247663,-42.095059703532385,-33.23701916604659,8.447500830852569
[18984] SCOTT J. M. (2014)|samp. FOR-9,INTRAPLATE VOLCANICS,0.7248429810336319,False,86.17626649797,130.62275138640086,2.8324461115446677,0.930170593949164,-182.23064854843778,8.581586874923547
