scope,target,n,rmse,rmse_ci_lo,rmse_ci_hi
ArcPL all,T,204,57.69426284258284,52.907069826550156,62.82120722804323
ArcPL all,P,204,2.7209851952075796,2.4716921314176648,2.9774333668399464
ArcPL measured H2O,T,134,54.96832051267721,49.86123770616671,59.961793554632166
ArcPL measured H2O,P,134,3.0991697571194052,2.7856054438925106,3.398251207916025
ArcPL VBD H2O,T,70,62.582166105470854,52.9526625347993,72.87645253636289
ArcPL VBD H2O,P,70,1.7861243024112505,1.4819839214952029,2.077882004242934
