family,target,n_measured,n_vbd,U_stat,p_value,median_abs_resid_measured,median_abs_resid_vbd
forest,T_C,130,67,3970.0,0.31046316585142664,58.95341028101376,57.51545337506684
forest,P_kbar,130,67,4721.0,0.33497993570143614,2.1279142431391063,1.6646688348310619
boosted,T_C,130,67,4402.0,0.9023765764075269,57.18780517578131,48.6533203125
boosted,P_kbar,130,67,4686.0,0.38331360680341664,1.6315962743759154,1.4428987503051758
