target,unit,rmse_raw,rmse_const,rmse_linear,pct_improve_const,pct_improve_linear,delta_const_lo,delta_const_hi,delta_linear_lo,delta_linear_hi,const_significant,linear_significant
T,C,71.60121297162658,58.885769558488846,58.938209214738045,17.75869833123705,17.685459828601655,-18.755496564857914,-6.401114372094246,-18.08498627997759,-7.02768740651323,True,True
P,kbar,2.793640252090356,2.5922908898514936,2.9462493007246415,7.207419140249062,-5.46273087667945,-0.4020007596878735,0.006038965665657466,-0.06765908499297904,0.3791570587433651,False,False
