strategy,model_name,target,fold,n_test,rmse
LOSO,RF,P_kbar,21,23,4.766875582969485
LOSO,RF,P_kbar,22,12,2.2417131912167956
LOSO,RF,P_kbar,23,9,1.740051084818425
LOSO,RF,P_kbar,24,8,2.157834628553011
LOSO,RF,P_kbar,25,9,3.5504860941342042
LOSO,RF,P_kbar,26,3,5.876311254938443
LOSO,RF,P_kbar,27,2,0.0
LOSO,RF,P_kbar,28,3,4.767766925871345
LOSO,RF,P_kbar,29,3,2.2449512308124118
LOSO,RF,P_kbar,30,1,0.0
LOSO,RF,P_kbar,31,21,2.7898130230364457
LOSO,RF,P_kbar,32,7,0.5292700775501473
LOSO,RF,P_kbar,33,1,2.5999996513129435
LOSO,RF,P_kbar,34,2,1.808567944933186
LOSO,RF,P_kbar,35,7,2.6666536712549864
LOSO,RF,P_kbar,36,2,1.3250004020532415e-05
LOSO,RF,P_kbar,37,5,4.28081161703751
LOSO,RF,P_kbar,38,3,4.167850661533305
LOSO,RF,P_kbar,39,16,3.18841694672305
LOSO,RF,P_kbar,40,1,13.414361680120095
LOSO,RF,P_kbar,41,2,4.326368710911893
LOSO,RF,P_kbar,42,1,9.333333253860499
LOSO,RF,P_kbar,43,6,1.3158577662840536
LOSO,RF,P_kbar,44,17,2.680487325360959
LOSO,RF,P_kbar,45,6,2.9790940692698564
LOSO,RF,P_kbar,46,10,1.612451560749277
LOSO,RF,P_kbar,47,1,9.99
LOSO,RF,P_kbar,48,1,1.506570605268891
LOSO,RF,P_kbar,49,5,9.723296853469005
LOSO,RF,P_kbar,50,5,1.6666663487753668
LOSO,RF,P_kbar,51,10,6.640296722099982
LOSO,RF,P_kbar,52,1,7.705223222187209
LOSO,RF,P_kbar,53,7,2.518564651556781
LOSO,RF,P_kbar,54,2,2.915475939244946
LOSO,RF,P_kbar,55,1,3.0000002097628737
LOSO,RF,P_kbar,56,3,5.231448685720363
LOSO,RF,P_kbar,57,3,6.644766569616796
LOSO,RF,P_kbar,58,6,3.351085821266349
LOSO,RF,P_kbar,59,6,6.968897212439127
LOSO,RF,P_kbar,60,19,4.345343235250044
LOSO,RF,P_kbar,61,2,0.7516648553952029
LOSO,RF,P_kbar,62,17,5.576025648035711
LOSO,RF,P_kbar,63,3,2.1984846076626203
LOSO,RF,P_kbar,64,16,3.3169708212266102
LOSO,RF,P_kbar,65,1,4.749697708280388
LOSO,RF,P_kbar,66,3,5.492584870343099
LOSO,RF,P_kbar,67,11,1.9294959518845967
LOSO,RF,P_kbar,68,14,1.9278165850159048
LOSO,RF,P_kbar,69,1,25.94999999118348
LOSO,RF,P_kbar,70,10,0.31622776601683794
LOSO,RF,P_kbar,71,17,5.791687826124668
LOSO,RF,P_kbar,72,5,7.227208791345367
LOSO,RF,P_kbar,73,10,3.847484147952996
