track,model,repr,target,n_aug,seed,rmse_test,rmse_train,r2_test,overfit_ratio
opx_liq,RF,raw,T_C,1,42,87.79730154457168,0.0,0.5993980587691645,0.0
opx_liq,XGB,raw,T_C,1,42,91.9754158570108,0.05553095289526767,0.5603630020664646,0.0006037586498287611
opx_liq,RF,raw,P_kbar,1,42,5.934200581055031,1.8098272137606804e-08,0.6209462180035346,3.0498248062907814e-09
opx_liq,XGB,raw,P_kbar,1,42,5.614171102357699,0.004079405656860152,0.66072826516439,0.0007266265282059154
opx_liq,RF,raw,T_C,3,42,98.65317682093541,0.0,0.4942069433286609,0.0
opx_liq,XGB,raw,T_C,3,42,97.63388955225813,0.7968364058199001,0.5046046843788794,0.008161473536229414
opx_liq,RF,raw,P_kbar,3,42,6.013641836943839,2.242919510359249e-08,0.6107294865537978,3.729719147190035e-09
opx_liq,XGB,raw,P_kbar,3,42,5.265437939274297,0.047248402763348046,0.7015680014340613,0.008973309211552497
opx_liq,RF,raw,T_C,5,42,101.5026732457738,0.0,0.4645663346487404,0.0
opx_liq,XGB,raw,T_C,5,42,100.058283455527,1.8411104150518642,0.4796964254486308,0.018400379773356637
opx_liq,RF,raw,P_kbar,5,42,6.070390664491117,2.5935616376147934e-08,0.6033479772989498,4.272478957220808e-09
opx_liq,XGB,raw,P_kbar,5,42,5.511850012731783,0.10151550562137883,0.6729823653537576,0.018417682880863755
opx_liq,RF,raw,T_C,10,42,106.46891596475147,0.0,0.41089002307110667,0.0
opx_liq,XGB,raw,T_C,10,42,100.1548676119496,2.7156146208052006,0.47869146445556143,0.027114155163450063
opx_liq,RF,raw,P_kbar,10,42,6.782373723594297,2.2356957760166922e-08,0.5048465333094125,3.2963323271898563e-09
opx_liq,XGB,raw,P_kbar,10,42,5.5211927972836055,0.1672040700804953,0.6718728124152535,0.030284048432932593
opx_liq,RF,raw,T_C,15,42,107.66764008557251,1.4503620482646505e-14,0.39754987127641406,1.3470733147972092e-16
opx_liq,XGB,raw,T_C,15,42,97.88457078851633,3.2814994368351553,0.5020575004274627,0.03352417454968435
opx_liq,RF,raw,P_kbar,15,42,7.034713088670699,2.097465980813872e-08,0.4673165922047763,2.9815942091395454e-09
opx_liq,XGB,raw,P_kbar,15,42,6.10687441651932,0.22015415420893183,0.5985658003030605,0.03605021803189644
opx_liq,RF,alr,T_C,1,42,87.26288485501782,0.0,0.6042600941224232,0.0
opx_liq,XGB,alr,T_C,1,42,92.27107141238743,0.08255732964382934,0.5575320274599991,0.0008947260325487667
opx_liq,RF,alr,P_kbar,1,42,5.563815897326256,1.9919550437044656e-08,0.6667870336732942,3.5801958232689157e-09
opx_liq,XGB,alr,P_kbar,1,42,6.326520159759803,0.007370052281231707,0.5691697556813402,0.0011649456723633557
opx_liq,RF,alr,T_C,3,42,91.49553580787455,0.0,0.5649386302006421,0.0
opx_liq,XGB,alr,T_C,3,42,95.01480622248705,1.100314102864528,0.5308267018793057,0.011580448843815226
