family,target,n,rmse,mae,r2
forest,T_C,197,71.60121297162655,59.490682025216124,0.587438800505059
forest,P_kbar,197,2.793640252090356,2.3111422172608296,0.49959880576157
boosted,T_C,197,63.67970532626178,54.3699780769154,0.6736754768928309
boosted,P_kbar,197,2.7029326831807365,2.041529654907091,0.5315666169003144
