track,target,model_name,rmse_test_mean,rmse_test_std,mae_test_mean,r2_test_mean,n_seeds,feature_set,phase3r_tag
opx_liq,P_kbar,ERT,7.100933709165858,1.5088367861726104,4.848719794333454,0.43356292337891944,20,pwlr,
opx_liq,P_kbar,GB,6.105946973629365,1.4471213305546946,4.422128518422825,0.5779520813490451,20,pwlr,
opx_liq,P_kbar,RF,6.385284742540212,1.4450712520562587,4.315342488567114,0.5496945776492117,20,pwlr,
opx_liq,P_kbar,XGB,5.834638208168759,1.3667320985907427,4.288506837569197,0.621675196099226,20,pwlr,
opx_liq,T_C,ERT,80.40536065804513,10.84035524600646,58.142051949782875,0.7482191319186429,20,pwlr,
opx_liq,T_C,GB,83.3460421850811,11.624894913624637,61.425928705043745,0.7289048714123583,20,pwlr,
opx_liq,T_C,RF,79.58539669986351,11.703445201130501,58.21250300101472,0.7498833120614408,20,pwlr,
opx_liq,T_C,XGB,81.85282067925448,9.22698132113164,61.34651925564604,0.7385561909970536,20,pwlr,
opx_only,P_kbar,ERT,10.74444125472916,3.0523885149638845,6.701361131648381,0.2719394057220465,20,pwlr,
opx_only,P_kbar,GB,10.649943574532742,2.838251358747262,7.066774978162002,0.2756316601685074,20,pwlr,
opx_only,P_kbar,RF,10.70050303536526,2.9821065076935422,6.6597645833926675,0.2677224878009842,20,pwlr,
opx_only,P_kbar,XGB,11.230012791338728,2.7082666325180864,7.458162189289236,0.17973974051506397,20,pwlr,
opx_only,T_C,ERT,142.86923151407007,21.771620331642982,102.66779246052256,0.47692863646800826,20,pwlr,
opx_only,T_C,GB,141.6757527596582,20.017976370826336,103.4332310189507,0.48613692947844267,20,pwlr,
opx_only,T_C,RF,139.50774449210417,18.362979371142256,100.60674023722483,0.5044336375465901,20,pwlr,
opx_only,T_C,XGB,142.97514912734874,19.142798317463228,104.6545313180495,0.47895821340964356,20,pwlr,
