Method,Target,RMSE,MAE,R2,n_test,failure_pct
ML-RF opx-liq (all test),T,84.89279850533423,58.387766223144915,0.6254649950144557,174,0.0
ML-RF opx-liq (all test),P,5.065722658162609,3.6418839031063297,0.7237774000690786,174,0.0
Putirka failure rate,T,,,,50,28.735632183908045
Putirka failure rate,P,,,,67,38.50574712643678
