obs_T_C,obs_P_kbar,putirka_pred_T_C,putirka_pred_P_kbar,ml_pred_T_C,ml_pred_P_kbar
1100.0,5.0199997425079,1124.3712823281562,7.601691361130901,1171.123168543132,9.50430528889459
1100.0,5.0199997425079,1129.6016283178592,7.820186026389791,1166.0072756763277,9.656728645260568
1130.0,5.0169998407364,1154.0001430012126,7.8427168668177485,1197.8770387888967,11.01756174074094
1220.0,10.0,1271.4686773993926,12.040041515593082,1216.511990470251,13.513438493887627
1160.0,15.0,1318.2568338539563,10.663115521552973,1200.384325763052,15.190498236482375
1180.0,17.5,1326.4872118770768,13.12829146523804,1312.6807882947026,16.177567533889487
1750.0,46.9999990463255,1811.8634974794481,30.97339660609126,1602.0430988005057,27.909936636723856
1300.0,10.0,1316.3374288121427,9.87617035125441,1299.826511897081,10.225538525670164
1200.0,17.5,1345.563438869499,9.493326610456002,1202.0772791569573,15.815945008527867
1453.125,27.75024994039535,1605.7487672841921,24.246481709359337,1557.3352374760652,24.692098306082663
1210.0,12.5,1264.1121534812555,13.326067540615536,1300.3121063191209,16.146755994120923
1065.0,15.0,1363.7885901141813,4.054250174622771,1343.3180845492282,9.849385636973741
1775.0,50.0,,32.10081958932489,1623.2082409586956,30.62674725277203
1230.0,12.999999523163,1319.7380414391937,13.750667460060878,1291.2502928707065,15.335775022741512
1325.0,10.0,1330.8044010449735,8.545880343802041,1318.8978841459468,9.972984508310796
1240.0,15.0,1322.4197343336673,14.634020905914374,1301.5671641093365,15.814274348615047
1830.0,50.0,,34.89988137992694,1623.364254734849,31.50432873561649
1260.0,15.0,1328.9346940803866,14.40204198963564,1342.0160314772047,16.45000222135512
1325.0,10.0,1349.5502320289183,9.257029489955478,1364.469247228011,10.15150515284843
1240.0,17.5,1306.4908306394905,15.679328630079235,1293.6828354980294,15.913862691646347
987.5,10.0,1352.4755109839539,3.5173707116145843,1361.4678137292199,9.892962818171972
970.0,10.0,1317.172930875211,4.438597743124044,1310.1161244236087,10.875434917093823
1045.0,10.0,1316.1879534339546,6.187411569237124,1300.6308267797008,10.800573816075344
1260.0,12.000000476837,1260.666343971287,13.222596872605733,1215.802226113853,13.648525676219059
1275.0,22.999999523163,1199.0369938023073,6.380487652944009,1089.7601341754569,8.990059647594029
1085.0,15.0,1323.3976477025317,4.624212014288341,1287.9444780754661,10.333095337021131
1200.0,18.999999761580998,1370.205313081764,14.107700416918904,1326.4089578717007,17.56492148494407
1200.0,0.00099999997473788,1168.4252439510274,,1191.6218287120096,3.6219890167381608
1020.0,2.0000000298022997,1078.5524038685148,,1049.6668433537388,3.9156573461208306
1160.0,0.00099999997473788,1153.6369320584927,,1131.4916201452115,1.6380267846480003
