best_params,model_name,target,rmse_train,rmse_test,mae_test,r2_test,overfit_ratio,split_seed,track,feature_set
"{'n_estimators': 600, 'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8327060098896433}",RF,T_C,23.105260563353063,88.37496574679696,59.621218686903426,0.5941091787833639,0.2614457654167802,42,opx_liq,raw
"{'n_estimators': 700, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.6340065654844887}",RF,P_kbar,1.5562066395297857e-08,5.932569292890592,3.854815872042787,0.6211545901168091,2.623157965292872e-09,42,opx_liq,raw
"{'n_estimators': 800, 'max_depth': 28, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.9762799285983367}",ERT,T_C,14.358616071578606,90.14581767489969,61.28169579662036,0.5776797771669604,0.1592821102733936,42,opx_liq,raw
"{'n_estimators': 800, 'max_depth': 38, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.9667280361382236}",ERT,P_kbar,0.009930402751814662,6.003537936647204,3.708952279777257,0.6120364637218156,0.0016540917799814044,42,opx_liq,raw
"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.011006700027444857, 'subsample': 0.7610866841567874, 'colsample_bytree': 0.8940662480571784, 'reg_alpha': 0.0012475769766455479, 'reg_lambda': 0.04330019631637472, 'min_child_weight': 3}",XGB,T_C,15.349211340143809,86.99277665438247,59.849752141141344,0.6067062007271351,0.17644236602684132,42,opx_liq,raw
"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.01863482860663478, 'subsample': 0.656715645474182, 'colsample_bytree': 0.9409679707458907, 'reg_alpha': 0.0006782290125591015, 'reg_lambda': 2.520106803290839, 'min_child_weight': 3}",XGB,P_kbar,1.3284573718786117,4.8110978585162325,3.471437175829862,0.7508477738657007,0.2761235399789425,42,opx_liq,raw
"{'max_iter': 400, 'max_depth': 4, 'learning_rate': 0.01001391429235529, 'min_samples_leaf': 10, 'l2_regularization': 0.0004305608289370158, 'max_leaf_nodes': 81}",GB,T_C,35.66471626408528,88.76625391413523,60.40018600033953,0.5905069851121678,0.4017823743985437,42,opx_liq,raw
"{'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.05466586286870985, 'min_samples_leaf': 22, 'l2_regularization': 0.0008290237734273495, 'max_leaf_nodes': 39}",GB,P_kbar,2.2182386968072576,4.740004653654516,3.498553361953828,0.758156774331683,0.467982387970233,42,opx_liq,raw
"{'n_estimators': 700, 'max_depth': 16, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.9617027856430507}",RF,T_C,7.381965192783597,87.11548511017278,59.21261846490834,0.6055958898768599,0.08473769254051458,42,opx_liq,alr
"{'n_estimators': 400, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.9913821292378133}",RF,P_kbar,2.006015420714412e-08,5.415638491954227,3.2785193184373873,0.6842991702431045,3.7041161881367447e-09,42,opx_liq,alr
"{'n_estimators': 200, 'max_depth': 39, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.925937244061412}",ERT,T_C,15.854314463240458,91.87643389412347,63.58201605925205,0.5613087486454879,0.17256127378115968,42,opx_liq,alr
"{'n_estimators': 800, 'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.9207149490479796}",ERT,P_kbar,0.3928399795110572,7.27208187529626,4.570263927760698,0.4307619654714444,0.0540202910593678,42,opx_liq,alr
"{'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.044370239327904265, 'subsample': 0.6186102537284777, 'colsample_bytree': 0.8347988374863223, 'reg_alpha': 0.4266519616462753, 'reg_lambda': 0.013001812345396529, 'min_child_weight': 8}",XGB,T_C,8.934916627566173,90.61115892183972,63.883963398549746,0.5733084095450354,0.09860724367595103,42,opx_liq,alr
"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.05520376279413778, 'subsample': 0.8965368530363559, 'colsample_bytree': 0.9369811632028784, 'reg_alpha': 0.13218554366329102, 'reg_lambda': 1.4140951144310965, 'min_child_weight': 2}",XGB,P_kbar,0.1338091604648548,4.854288542825131,3.552415286091214,0.7463542640310579,0.027565143539444333,42,opx_liq,alr
