target,n,pearson_r_after,pearson_p_after,rmse_after,passes_threshold
T_C,394,0.39162069188979715,6.832023913934582e-16,63.488192077939196,False
P_kbar,394,-0.24712634531582073,6.800325466641208e-07,2.771128335658409,False
