index,T_mean,T_sigma,P_mean,P_sigma
0,1150.5761070564402,7.4922299469081235,10.149609162121036,0.4807152779937374
1,1149.3417236534299,7.108091157716733,10.0,0.0
2,1193.923861796541,5.485391335073132,11.980595579074262,0.13602955761352312
4,1211.5622283154216,8.416155096458864,14.024944434407953,1.3665964560127073
11,1189.9128653054054,6.075755124698971,15.068127813543077,0.5540768345045869
26,1323.1639132742257,10.881002279276219,15.573750623360871,1.2257132190061575
27,1602.7489331709958,5.908824289761853,25.0,0.0
28,1298.295043206793,6.084685719755949,10.0,0.0
30,1195.515549973939,13.048620468765018,15.293754379072986,0.8585734298794377
31,1555.6355255994006,15.35022096196034,25.0,0.0
34,1315.672502435065,9.667385707871507,15.071250622913833,0.49820180817616977
37,1345.077124064593,14.309935904632257,10.0,0.0
39,1641.2855179473304,2.6736369156008637,28.679999826347608,1.0851729061155637
40,1300.8012037788599,21.28368441047932,15.039999998807906,0.3440929969624605
41,1317.9346240530303,15.065122536493602,10.0,0.0
42,1316.4064162157288,15.580294623994149,15.082499998907247,0.4790028541519404
43,1641.5233817640692,3.958669326021528,27.737499574422984,0.8275527398908886
45,1351.5265234210235,3.6136485867298207,16.255625284485767,1.8421408936135972
46,1369.7716075937951,5.006934386076229,10.03250000476837,0.26494106658564315
47,1308.3432761960262,9.672205305225686,15.0,0.0
48,1370.2769525613276,2.746493443728636,10.0,0.0
50,1308.0056014610389,8.307321851750565,10.0,0.0
51,1298.333123015873,7.031930454465513,10.113740732683073,0.5372000100689219
61,1212.2609714799503,14.423873482548025,14.812500029802312,0.7183965380890158
64,1086.6280732169837,6.0250670219006475,10.0,0.0
65,1285.886117146742,5.255865222818907,10.0,0.0
81,1333.6461625180375,13.634737807000148,17.490000052908087,2.068187543641492
83,1190.7890738856258,8.965480400938835,2.2937324821949097,1.5574393888055906
84,1052.3919915510626,4.068355715554669,2.484963316346235,0.4531387113640346
85,1141.3156664310447,3.638044714659663,0.7719550190493453,0.10051279392192497
86,1023.9279090909091,6.221761854619347,1.7338469708234927,0.32424321088992747
87,996.8416602433061,10.660563270913633,1.5413048701236687,0.0837304904779004
88,1110.5387592945249,6.9505593496110425,1.2323475054465136,0.40588894008611925
89,1069.8437478275994,10.033727519044335,1.2684575030580068,0.38071324619746894
90,1057.7421909271286,6.11970049651731,1.261952502420154,0.3336637324706248
91,1056.6499987026864,6.6159374912012225,1.0839749877806597,0.1307354032493026
102,1235.6670163850906,2.672845630621826,10.0,0.0
103,1264.6580296115924,2.425480146561203,0.028747256272920678,0.12441746190799244
104,1233.4023455615566,1.7801338301930971,10.0,0.0
105,1258.5141140873016,3.5233307188513936,10.0,0.0
106,1232.9678816396276,1.9738223459051174,1.1320174885913763,0.6300924904629296
107,1238.8609894220363,2.789332005294031,0.44585582973569715,0.6126695624967301
108,1274.6955894660894,5.87309671569016,0.02286699139028443,0.10668083238238786
109,1262.1260525493024,2.8765128690567305,0.03693659396708832,0.13670289975594732
110,1241.3856528679653,2.780631569572781,0.838006424626546,0.7178761941364092
111,1274.829808802309,6.475949222742349,0.09882260361594693,0.2213179578610817
112,1235.4320117365276,2.1414584142275883,10.023126079461669,0.16519802274273274
113,1355.4483677248677,27.29843008194542,0.0010132500028702997,2.168404344971009e-19
114,1255.1899412878788,2.2522892871737814,0.09537763441276935,0.24096830481024756
115,1229.482921331273,1.2453053092488597,0.05704985598500694,0.25929751550570695
116,1362.9185749250748,9.21378484210659,5.2483702268184835,3.934102568570322
117,1272.4095566378066,5.642789754662939,10.0,0.0
118,1269.6859143418792,2.1848135081727365,0.0010132500028702997,2.168404344971009e-19
119,1270.5551488095239,8.25818220152792,2.4136384204222354,1.6044188604803262
120,1269.0415778318902,1.9953709295438133,0.08144656076161452,0.44803221589344855
121,1264.5235876623376,3.2242704399010824,0.5818675024658454,0.22029651224119198
122,1309.0924638347763,16.76254720247546,0.0010132168778631242,4.672857305528181e-07
