index,iso_anomaly,mahal_pc5,qrf_sigma_T,qrf_sigma_P,abs_resid_T,abs_resid_P
0,0.47792957282757376,2.0248774210270493,56.5625,4.5960001826285435,5.371428571428623,6.3000000715256
1,0.4826513193999095,2.1078770139812466,69.13166666666666,5.650562559127813,54.761904761904816,5.086285725460572
2,0.47705723460299293,2.012363926760342,56.5625,5.379700265955839,2.467120181406017,4.043142862730285
3,0.4775752461090598,2.0772897916897186,60.0,5.650562559127813,8.20535714285711,6.0
4,0.4796582616251077,2.0952920101452386,60.0,5.601062540769563,18.39453125,6.0
5,0.47677913585277415,2.085114233006506,62.5,3.9839200139045694,40.208333333333485,5.3000000715256
6,0.48202057591036557,2.113080612995928,60.0,5.601062540769563,48.14285714285711,6.0
7,0.473387255604813,2.185946606993755,70.0,3.8650003075599,59.072916666666515,6.0
8,0.4808617439601767,2.1033948985307016,50.0,3.8650003075599,51.09999999999991,4.0
9,0.47955603679759545,2.0986906364560745,70.24074074074076,4.02550014853475,66.33556547619037,2.9999998807907007
10,0.4819432971827856,2.1344170593520793,62.5,5.1000002026557,9.333333333333485,2.3000000715256004
11,0.4949748789646318,2.636734258612857,76.52499999999998,6.50000005960465,7.75,3.0
12,0.4802125114900202,2.3419617982510785,65.0,6.0,20.0546875,3.0
13,0.47971638029425584,2.107680430687957,59.0625,3.5000002384185,49.522971819847044,3.0
14,0.48031870236790003,2.204288578481511,60.0,3.501200008392336,46.318528693528606,2.3000000715256004
15,0.4786191688041521,2.270117209966291,64.11538461538464,4.844858462183282,50.27060786435777,3.0
16,0.480857677842468,2.3534250691508842,59.0625,5.0,105.0,3.0
17,0.4771426870797634,1.972466148301124,60.0,4.0255001676082305,73.07043650793662,1.0
18,0.48453921230274544,2.3994521157693964,75.79999999999984,5.0,65.9375,3.0
19,0.4759339083435635,2.0625323590738427,65.0,2.5203000545501797,108.11845238095248,3.0
20,0.484919291061416,2.3539028364775367,80.0,3.0012001276015865,80.0,0.5114545359708469
21,0.4497096479865308,1.7468341483805345,64.0,4.5492399945855135,60.5,3.0150001049041997
22,0.4478138650803043,1.5633251761233915,70.88461538461536,5.5100002512335005,86.1018939393939,0.08628572546057178
23,0.45581184579604855,1.69705899645061,76.5,4.49599999934435,102.5,0.09499989509580065
24,0.4355601050325453,1.321362348723143,56.0,4.94708026647558,103.52777777777783,4.4000000715256
25,0.4410392805361111,1.5081180279494195,74.61111111111109,5.9950002384185,117.26790123456794,3.1862857254605714
26,0.4425418899388167,1.5788420874520708,43.89272727272726,5.154599997401233,142.71837606837607,2.295500025760334
27,0.431212675277302,1.4169503190612291,43.89272727272726,5.4222402304410195,124.3125,4.540000071525601
28,0.4575992841944401,1.4712289217155337,76.5,4.4375002384185,103.64029180695843,3.086285725460572
29,0.4354610188403979,1.3797625054240952,70.0,5.49600023776285,119.21843434343441,1.9999998807907007
30,0.43290793434514874,1.215928215495976,70.88461538461536,2.7655002272442037,104.74305555555566,5.0
31,0.44046477424218217,1.5491770826085856,42.5,4.737999998033045,144.17333333333318,0.015000104904199674
32,0.47134193908894534,2.22526075195784,63.0,4.70499999821186,105.71428571428578,0.037000073194499716
33,0.5197758652983399,2.238640351732656,86.91999999999996,2.9839200139045694,87.49999999999989,2.768027781629389
34,0.5474379260518663,3.17460631236042,62.5,0.7569999992847499,3.194444444444457,1.1259999275208
35,0.5501186060111086,3.2072939314140863,56.19999999999976,1.7499999701976998,6.249999999999886,1.1259999275208
36,0.48882850729733773,2.5739828543500898,66.5,3.0255000293255,34.92207792207796,0.899999763816675
37,0.49498741575799116,2.575499132329078,69.0,4.025500267744,85.35185185185173,2.6931111297077557
38,0.47203233152422897,1.7418992940630027,90.0,5.0,73.95134615384609,3.000000476837
39,0.4559611053295637,1.5969743145521538,80.0,5.0,56.71795634920636,3.000000476837
40,0.45834525846773766,1.5692033792068523,75.0,2.5200100047683662,52.264568764568594,3.000000476837
41,0.43584912649920304,1.2943007153702915,65.0,2.5,43.0625,3.0000004768369983
42,0.4452897244201291,1.4543575980049965,57.22000000000003,2.5,47.5,3.0000001192092505
43,0.4578412768237454,1.69536018105578,60.0,2.500166666662456,56.0,1.0862857254605718
44,0.46383121033844504,1.7933790520667732,51.5,3.8827602982520357,51.54761904761904,2.3000000715256004
45,0.4588712341137358,1.5745245345061656,55.5,3.5875003039836,38.77777777777783,3.0
46,0.45538247551169125,1.510020297515104,75.0,3.5000002384185,58.33333333333326,3.0
47,0.4545758559096842,1.4399569698280352,80.0,3.5000002384185,84.80681318681332,3.0
48,0.4486841411586777,1.7073558980926484,48.0,4.4810000061989,54.14285714285711,2.4690000223485926
49,0.49033993422002925,2.4916909638121005,112.5,3.8650003075599,68.47499999999991,5.2758846101374886
50,0.48789793814596266,2.003144460465865,62.0,3.97600024938575,3.625,3.6596111061781587
51,0.49130847192224175,1.9550102816053847,75.0,2.8650267358073926,68.22857142857151,2.6931111297077557
52,0.50675914471196,2.241028668615564,62.5,2.631900066137307,25.200000000000045,0.6596111061781587
53,0.5005550426179156,2.1239605073445125,75.0,3.8650003075599,7.236111111111086,0.28794234083154535
54,0.48176725638685614,1.9728778185613256,81.31818181818187,4.025500267744,69.08333333333314,0.6596111061781587
55,0.44451993366107545,1.6090614673062489,62.5,3.5000002384185,1.3809523809522943,6.0
56,0.4532616801759205,1.8745842360268818,60.0,5.4810002446174,22.291666666666742,0.9929999113083001
57,0.4685116477900487,2.0360677566941687,62.5,4.4810000061989,5.727272727272748,0.9999998807906998
58,0.474502545551888,2.0276740878915427,61.31818181818187,0.9909999743104201,12.5,2.4479999542236
59,0.4465647099955121,1.642318830428255,69.5,3.5000002384185,9.206709956709801,3.0
60,0.4549788444408376,1.6823325211420264,67.83333333333337,3.5000002384185,18.61136363636365,1.0
61,0.4596433282156595,1.5505378555107874,67.0,2.7655002272442037,27.8125,1.0
62,0.4593268116953749,1.675788779525306,75.0,3.5000002384185,92.50974025974028,6.0
63,0.44650991790644834,1.2843730918606353,62.5,5.97364443874011,3.480476190476111,2.0000004493874997
64,0.4476415682047297,1.198487393366425,45.0,3.5000002384185,32.80357142857156,0.0
65,0.4301205852417757,1.0680282442429698,56.5625,4.499999880790499,112.125,2.000000476837
66,0.43265009884450595,1.108127088257169,50.0,4.00000005960465,119.84523809523807,0.0
