family,subset,target,n,rmse,mae,r2,rmse_ci_lo,rmse_ci_hi
forest,measured,T_C,130,66.59710293508087,56.18390285163241,0.6716090656946957,60.963210793364865,72.18010219995472
forest,measured,P_kbar,130,2.876558090815962,2.3930115257527613,0.5682805846597407,2.5843145800841874,3.162548699219098
forest,vbd,T_C,67,80.42739408465766,65.90682072022928,0.35121068195060223,66.81021673239495,94.12680522284172
forest,vbd,P_kbar,67,2.6252950241220367,2.1522913201869307,0.14691119590917645,2.22526718556583,2.9785479798150756
boosted,measured,T_C,130,60.677703749301365,53.12943396935092,0.7273918977651159,55.966694127425995,65.0548116403127
boosted,measured,P_kbar,130,2.9234524423843995,2.1814074676953825,0.5540898591411259,2.4719621678380466,3.3297046150083967
boosted,vbd,T_C,67,69.13363376533351,56.7770039572644,0.5206260110981513,57.07155080438581,81.54699002037246
boosted,vbd,P_kbar,67,2.2132465480249532,1.7701249435268231,0.39368599136166227,1.861494144930505,2.5582055295168855
