method,target,spearman_r,spearman_p,pearson_r,pearson_p,n
isoforest,T_C,0.05227237767884955,0.3006744384519557,0.025580070714963706,0.6127025598836459,394
isoforest,P_kbar,-0.3274049478448572,2.688961293341042e-11,-0.3256655796482779,3.467613479930742e-11,394
mahalanobis,T_C,0.0746359204384258,0.13918388927567935,0.030763873203281444,0.542624257965512,394
mahalanobis,P_kbar,-0.35334636357714877,4.979921239123283e-13,-0.3413916608950113,3.2780249334569373e-12,394
qrf_sigma,T_C,0.04254371151113035,0.3996945688019449,0.17113769704188428,0.0006463168577754266,394
qrf_sigma,P_kbar,0.2291361925110223,4.326449529057818e-06,0.27861820660481884,1.8593572694831506e-08,394
