p_cell,t_cell,current,target,action
0,0,135,90,subsample
0,1,154,99,subsample
0,2,286,165,subsample
0,3,23,34,oversample
1,0,5,25,oversample
1,1,33,39,oversample
1,2,61,53,subsample
1,3,88,66,subsample
1,4,8,26,oversample
2,0,2,23,oversample
2,1,9,27,oversample
2,2,8,26,oversample
2,3,6,25,oversample
2,4,3,24,oversample
3,1,1,23,oversample
3,2,12,28,oversample
3,3,6,25,oversample
3,4,3,24,oversample
4,3,2,23,oversample
