track,feature_set,model_name,target,best_rmse_cv,best_trial,n_trials_completed,n_trials_pruned,n_trials_failed,pruner_kill_rate,failure_rate,plateau_frac_25_to_50,best_params,elapsed_s
opx_liq,pwlr,ERT,P_kbar,5.718183175486146,41,50,0,0,0.0,0.0,0.008612256289323487,"{'n_estimators': 200, 'max_depth': 19, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.9765770522028188}",98.8
opx_liq,pwlr,XGB,T_C,74.63089070094638,43,50,0,0,0.0,0.0,0.0024529199793950317,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.055660389092322814, 'subsample': 0.8352306366245513, 'colsample_bytree': 0.6092767764644771, 'reg_alpha': 0.00020031093636758556, 'reg_lambda': 0.021918881030042102, 'min_child_weight': 9}",212.4
opx_liq,pwlr,XGB,P_kbar,4.7766335921890715,46,50,0,0,0.0,0.0,0.013279599803429559,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.015441107302807584, 'subsample': 0.7540912918616595, 'colsample_bytree': 0.8998866913681112, 'reg_alpha': 0.9635564343883989, 'reg_lambda': 7.971774745976854, 'min_child_weight': 2}",351.1
opx_liq,pwlr,GB,T_C,75.6349745115635,46,50,0,0,0.0,0.0,0.0028964540449557766,"{'max_iter': 400, 'max_depth': 9, 'learning_rate': 0.01126423210556121, 'min_samples_leaf': 20, 'l2_regularization': 0.006953511542018146, 'max_leaf_nodes': 22}",505.0
opx_liq,pwlr,GB,P_kbar,5.064986762781964,25,50,0,0,0.0,0.0,0.011945821828653693,"{'max_iter': 800, 'max_depth': 3, 'learning_rate': 0.030143189993220822, 'min_samples_leaf': 14, 'l2_regularization': 0.1305105585202014, 'max_leaf_nodes': 29}",406.5
opx_only,raw,RF,T_C,141.2125721592385,43,50,0,0,0.0,0.0,0.0038959211519563,"{'n_estimators': 600, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.43863039467209686}",215.7
opx_only,raw,RF,P_kbar,10.977881238335906,11,50,0,0,0.0,0.0,0.0,"{'n_estimators': 500, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.9328204779927532}",276.0
opx_only,raw,ERT,T_C,139.51210135826113,42,50,0,0,0.0,0.0,0.0010285910583154028,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.7598116105731882}",132.1
opx_only,raw,ERT,P_kbar,10.792964040339138,15,50,0,0,0.0,0.0,0.0,"{'n_estimators': 800, 'max_depth': 19, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.7903240753137547}",125.4
opx_only,raw,XGB,T_C,136.7624878232359,33,50,0,0,0.0,0.0,0.002933688813223179,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.04590417330988274, 'subsample': 0.8706421499699768, 'colsample_bytree': 0.7548360285746123, 'reg_alpha': 0.16867181293084388, 'reg_lambda': 1.6756177344558252, 'min_child_weight': 1}",72.9
opx_only,raw,XGB,P_kbar,10.659466131880059,33,50,0,0,0.0,0.0,0.007527192131987226,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.014748120873910569, 'subsample': 0.881548631898809, 'colsample_bytree': 0.9411390870933829, 'reg_alpha': 6.409731057654383, 'reg_lambda': 3.050408192597233, 'min_child_weight': 3}",66.9
opx_only,raw,GB,T_C,141.2237733077726,19,50,0,0,0.0,0.0,0.0,"{'max_iter': 400, 'max_depth': 10, 'learning_rate': 0.07809496264049752, 'min_samples_leaf': 38, 'l2_regularization': 0.03901185653266186, 'max_leaf_nodes': 50}",237.8
opx_only,raw,GB,P_kbar,10.560995314806634,24,50,0,0,0.0,0.0,0.0,"{'max_iter': 200, 'max_depth': 10, 'learning_rate': 0.015704299630186942, 'min_samples_leaf': 48, 'l2_regularization': 0.002951691457783485, 'max_leaf_nodes': 64}",132.9
opx_only,alr,RF,T_C,140.4652024363302,26,50,0,0,0.0,0.0,0.0005407821161661126,"{'n_estimators': 700, 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.3614347829642153}",200.7
opx_only,alr,RF,P_kbar,10.83792751090555,30,50,0,0,0.0,0.0,0.0016699814141901304,"{'n_estimators': 800, 'max_depth': 13, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 0.9531974346883314}",192.6
opx_only,alr,ERT,T_C,139.90926107849512,43,50,0,0,0.0,0.0,0.006965824295640841,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.9696035446516708}",130.5
opx_only,alr,ERT,P_kbar,10.864037799284835,28,50,0,0,0.0,0.0,3.407932265622727e-05,"{'n_estimators': 200, 'max_depth': 38, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.9081876172303992}",112.1
opx_only,alr,XGB,T_C,134.6905574599168,34,50,0,0,0.0,0.0,0.011623328655779632,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.014068172374557167, 'subsample': 0.60085424293986, 'colsample_bytree': 0.7751528046837222, 'reg_alpha': 0.124089851608055, 'reg_lambda': 0.8092405952349006, 'min_child_weight': 1}",193.8
opx_only,alr,XGB,P_kbar,10.701900981469237,42,50,0,0,0.0,0.0,0.0036952679719278307,"{'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.018044582132088503, 'subsample': 0.9896459462540093, 'colsample_bytree': 0.7719290906775634, 'reg_alpha': 1.3430417787943512, 'reg_lambda': 8.449558888950277, 'min_child_weight': 8}",100.3
opx_only,alr,GB,T_C,140.56986133718843,24,50,0,0,0.0,0.0,0.0,"{'max_iter': 300, 'max_depth': 9, 'learning_rate': 0.010415644606274546, 'min_samples_leaf': 37, 'l2_regularization': 0.0001119158165983473, 'max_leaf_nodes': 34}",172.5
opx_only,alr,GB,P_kbar,10.524974218408063,7,50,0,0,0.0,0.0,0.0,"{'max_iter': 200, 'max_depth': 10, 'learning_rate': 0.02171103454376615, 'min_samples_leaf': 37, 'l2_regularization': 0.003618723330959626, 'max_leaf_nodes': 45}",138.4
opx_only,pwlr,RF,T_C,133.08240161348078,15,50,0,0,0.0,0.0,0.0,"{'n_estimators': 200, 'max_depth': 32, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.3367597600898754}",198.6
opx_only,pwlr,RF,P_kbar,10.266859183189608,44,50,0,0,0.0,0.0,0.000496780788525185,"{'n_estimators': 700, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.645274662952607}",291.4
opx_only,pwlr,ERT,T_C,132.53203165557292,46,50,0,0,0.0,0.0,0.0009929353457882612,"{'n_estimators': 400, 'max_depth': 16, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.959649015243725}",110.2
opx_only,pwlr,ERT,P_kbar,10.393403890374367,41,50,0,0,0.0,0.0,0.0006791980309365623,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.5254895450437925}",79.6
opx_only,pwlr,XGB,T_C,132.0550905310099,37,50,0,0,0.0,0.0,0.0023328275129005562,"{'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.025798402314638237, 'subsample': 0.6706511760066806, 'colsample_bytree': 0.6683583148337462, 'reg_alpha': 0.0078319848508762, 'reg_lambda': 0.48631194668700506, 'min_child_weight': 2}",484.1
opx_only,pwlr,XGB,P_kbar,10.03759637586832,32,50,0,0,0.0,0.0,0.000753771935482291,"{'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.11774471603456654, 'subsample': 0.7739066866913367, 'colsample_bytree': 0.6488150583612358, 'reg_alpha': 0.0007156271299969353, 'reg_lambda': 1.0168608244569377, 'min_child_weight': 4}",292.4
opx_only,pwlr,GB,T_C,137.73624359169128,12,50,0,0,0.0,0.0,0.0,"{'max_iter': 800, 'max_depth': 10, 'learning_rate': 0.01689596899223567, 'min_samples_leaf': 14, 'l2_regularization': 0.002313031028423451, 'max_leaf_nodes': 77}",328.6
opx_only,pwlr,GB,P_kbar,10.370482295798444,39,50,0,0,0.0,0.0,0.0002773732819446256,"{'max_iter': 200, 'max_depth': 6, 'learning_rate': 0.014184294158192657, 'min_samples_leaf': 40, 'l2_regularization': 0.000143407330654096, 'max_leaf_nodes': 31}",155.2
