target,alpha,nominal_coverage,q_hat,empirical_coverage
P_kbar,0.32,0.6799999999999999,3.0,0.6494252873563219
T_C,0.32,0.6799999999999999,35.35714285714289,0.4885057471264368
P_kbar,0.2,0.8,5.0,0.7988505747126436
T_C,0.2,0.8,46.18055555555566,0.5632183908045977
P_kbar,0.1,0.9,10.0,0.9597701149425287
T_C,0.1,0.9,92.58333333333348,0.7931034482758621
P_kbar,0.05,0.95,17.999999523162998,0.9770114942528736
T_C,0.05,0.95,151.77083333333348,0.9425287356321839
