track,target,feature_set,model_name,rmse_test_mean,rmse_test_std,r2_test_mean,r2_test_std,overfit_ratio_mean
opx_liq,P_kbar,alr,ERT,6.73905661273474,1.3468858080801889,0.48357170485189077,0.21809028592648172,0.045420437377904806
opx_liq,P_kbar,alr,GB,5.788507480735541,0.9707625702222139,0.6236009375137429,0.1157535404161447,0.6005719006526786
opx_liq,P_kbar,alr,RF,5.93851144676416,1.1972251252519346,0.6132258444680124,0.08924325572058105,3.933919814562071e-09
opx_liq,P_kbar,alr,XGB,5.307009089642676,1.0175338201293638,0.6801773907523921,0.12051676322222916,0.029732555617709305
opx_liq,P_kbar,pwlr,ERT,7.100933709165858,1.5088367861726106,0.43356292337891944,0.2028967691485236,0.0755567349297962
opx_liq,P_kbar,pwlr,GB,6.105946973629365,1.4471213305546946,0.5779520813490451,0.1789920851719418,0.36435740785684706
opx_liq,P_kbar,pwlr,RF,6.385284742540212,1.4450712520562587,0.5496945776492117,0.14580026208733815,0.1429798629708383
opx_liq,P_kbar,pwlr,XGB,5.834638208168759,1.3667320985907427,0.621675196099226,0.13273587260828915,0.2861395318978258
opx_liq,P_kbar,raw,ERT,5.960695859362997,1.1772083298294538,0.5966163682072311,0.1688869980737394,0.007457466825659625
opx_liq,P_kbar,raw,GB,5.020149033458775,0.9116159830877781,0.7149116472089061,0.10156428076427416,0.5052777821565552
opx_liq,P_kbar,raw,RF,5.953646763998692,1.2375423577950282,0.6016233607323961,0.1433910200820443,3.744138937483509e-09
opx_liq,P_kbar,raw,XGB,4.8109014835058,0.8364457941033597,0.7409074743114675,0.07862967628904233,0.2933172696982471
opx_liq,T_C,alr,ERT,80.3922024550202,12.223462714806338,0.7476813797771079,0.11454950327490597,0.20619734610390356
opx_liq,T_C,alr,GB,81.9420287456154,10.366359875504967,0.7396280124695942,0.10167886774242134,0.4256373195993685
opx_liq,T_C,alr,RF,80.97717750624626,11.582609199772094,0.7442079732169599,0.10939615536301588,0.10492100503935449
opx_liq,T_C,alr,XGB,77.77313997978864,9.548861860565209,0.7622887680403714,0.10365116680540963,0.12573513272197628
opx_liq,T_C,pwlr,ERT,80.40536065804513,10.840355246006459,0.7482191319186429,0.10910325601367672,0.3231147728072965
opx_liq,T_C,pwlr,GB,83.3460421850811,11.624894913624637,0.7289048714123583,0.12040261104712471,0.4222635070060649
opx_liq,T_C,pwlr,RF,79.58539669986351,11.703445201130501,0.7498833120614408,0.1172086233699209,0.28244626920928817
opx_liq,T_C,pwlr,XGB,81.85282067925448,9.226981321131642,0.7385561909970536,0.10914374814287912,0.20160000798471533
opx_liq,T_C,raw,ERT,81.0414246080634,11.227815880321389,0.741602389396939,0.11489179624571219,0.1976814831440194
opx_liq,T_C,raw,GB,83.45351848083955,10.530130254727851,0.7273666065651353,0.11731372759650564,0.4784534239008581
opx_liq,T_C,raw,RF,82.44286729780848,11.548564264602893,0.7316772899050563,0.12107802034270776,0.35493031933207553
opx_liq,T_C,raw,XGB,80.38846162336984,8.978091086658118,0.7495615417349016,0.09823774952343022,0.22014711595347863
opx_only,P_kbar,alr,ERT,11.481490710480974,3.2651502926806355,0.1563317561388215,0.33632735453834445,0.3655975151825396
opx_only,P_kbar,alr,GB,11.088396879685611,2.8667743427375294,0.22261843158523228,0.22616516529220168,0.6618325727388763
opx_only,P_kbar,alr,RF,11.439252206211108,3.1553004693689055,0.1738877949073808,0.260830327267073,0.45830792359898276
