target,subset,rmse,mae,r2,bias,n
T_C,all,64.45128361224864,51.29137264608531,0.6657197146264735,39.99769227118666,394
T_C,in_distribution,64.61220034532654,51.158172536299,0.6553966493742526,39.131929110055566,370
T_C,out_of_distribution,61.91758486390657,53.34487433862424,-2.2451765217801496,53.34487433862424,24
P_kbar,all,2.7359591680547317,2.1804369192156248,0.5200493308280023,0.8575193405171543,394
P_kbar,in_distribution,2.7769211248742107,2.227567362259446,0.4998261539018312,0.8987740493064169,370
P_kbar,out_of_distribution,2.001026265795017,1.4538425889567046,0.5948787199840784,0.2215092466826879,24
