target,bin,mean_resid,median_resid,sem,ci_lo,ci_hi,n
T,"(905.765, 931.423]",45.78301393740099,57.962048792415374,5.865795879014865,34.28605401453186,57.27997386027012,40.0
T,"(931.423, 984.163]",46.29910235147174,61.43808840522968,8.21650513361144,30.194752289593318,62.40345241335016,39.0
T,"(984.163, 1048.788]",32.441299554540635,9.575857136095578,11.23911670546641,10.412630811826471,54.469968297254795,39.0
T,"(1048.788, 1153.728]",65.4673286709283,74.19755446623708,9.425800982990596,46.99275874426672,83.94189859758987,39.0
T,"(1153.728, 1289.03]",52.50979986166767,51.34858012211703,5.742000365665218,41.25547914496384,63.764120578371504,40.0
P,"(2.692, 4.589]",1.1689255638501146,1.2157672129684112,0.17080257568001728,0.8341525155172808,1.5036986121829483,40.0
P,"(4.589, 7.638]",1.6695346650142386,1.662220683568977,0.36748626217449,0.9492615911522383,2.389807738876239,39.0
P,"(7.638, 8.631]",0.8412224052352685,1.3922817595965604,0.4162957545963202,0.025282726226480978,1.657162084244056,39.0
P,"(8.631, 10.232]",0.680068809551722,1.6811360336466414,0.5979977189301835,-0.4920067195514377,1.8521443386548817,39.0
P,"(10.232, 14.626]",1.821229135594039,2.4382532496647285,0.3235927421432229,1.1869873609933221,2.455470910194756,40.0
