index,iso_score,iso_inlier,T_pred,P_pred
0,-0.47792957282757376,1,1195.3714285714286,9.3000000715256
1,-0.4826513193999095,1,1184.7619047619048,8.086285725460572
2,-0.47705723460299293,1,1202.467120181406,8.043142862730285
3,-0.4775752461090598,1,1198.205357142857,10.0
4,-0.4796582616251077,1,1198.39453125,10.0
5,-0.47677913585277415,1,1200.2083333333335,9.3000000715256
6,-0.48202057591036557,1,1188.142857142857,10.0
7,-0.473387255604813,1,1179.0729166666665,10.0
8,-0.4808617439601767,1,1181.1,8.0
9,-0.47955603679759545,1,1166.3355654761904,6.999999880790701
10,-0.4819432971827856,1,1200.6666666666665,9.3000000715256
11,-0.4949748789646318,1,1182.25,10.0
12,-0.4802125114900202,1,1180.0546875,10.0
13,-0.47971638029425584,1,1199.522971819847,10.0
14,-0.48031870236790003,1,1186.3185286935286,9.3000000715256
15,-0.4786191688041521,1,1180.2706078643578,10.0
16,-0.480857677842468,1,1225.0,10.0
17,-0.4771426870797634,1,1183.0704365079366,8.0
18,-0.48453921230274544,1,1145.9375,10.0
19,-0.4759339083435635,1,1178.1184523809525,10.0
20,-0.484919291061416,1,1140.0,7.511454535970847
21,-0.4497096479865308,1,1060.5,4.9849998950958
22,-0.4478138650803043,1,1086.101893939394,8.086285725460572
23,-0.45581184579604855,1,1047.5,4.9849998950958
24,-0.4355601050325453,1,1078.5277777777778,9.3000000715256
25,-0.4410392805361111,1,1092.267901234568,8.086285725460572
26,-0.4425418899388167,1,1117.718376068376,7.195500025760334
27,-0.431212675277302,1,1124.3125,9.3000000715256
28,-0.4575992841944401,1,1053.6402918069584,8.086285725460572
29,-0.4354610188403979,1,1094.2184343434344,6.999999880790701
30,-0.43290793434514874,1,1079.7430555555557,10.0
31,-0.44046477424218217,1,1119.1733333333332,4.9849998950958
32,-0.47134193908894534,1,1035.7142857142858,2.1170000731945
33,-0.5197758652983399,1,987.5,7.768027781629389
34,-0.5474379260518663,0,923.1944444444445,2.1259999275208
35,-0.5501186060111086,0,906.25,2.1259999275208
36,-0.48882850729733773,1,1044.922077922078,6.100000236183325
37,-0.49498741575799116,1,1035.3518518518517,9.693111129707756
38,-0.47203233152422897,1,1128.951346153846,12.000000476837
39,-0.4559611053295637,1,1131.7179563492064,12.000000476837
40,-0.45834525846773766,1,1147.2645687645686,12.000000476837
41,-0.43584912649920304,1,1158.0625,12.000000476836998
42,-0.4452897244201291,1,1182.5,12.00000011920925
43,-0.4578412768237454,1,1006.0,8.086285725460572
44,-0.46383121033844504,1,1026.547619047619,9.3000000715256
45,-0.4588712341137358,1,1038.7777777777778,10.0
46,-0.45538247551169125,1,1083.3333333333333,10.0
47,-0.4545758559096842,1,1134.8068131868133,10.0
48,-0.4486841411586777,1,1029.142857142857,6.469000022348593
49,-0.49033993422002925,1,1068.475,9.275884610137489
50,-0.48789793814596266,1,953.625,7.659611106178159
51,-0.49130847192224175,1,931.7714285714285,9.693111129707756
52,-0.50675914471196,1,924.8,7.659611106178159
53,-0.5005550426179156,1,942.7638888888889,9.287942340831545
54,-0.48176725638685614,1,969.0833333333333,7.659611106178159
55,-0.44451993366107545,1,1048.6190476190477,10.0
56,-0.4532616801759205,1,1002.7083333333333,3.0070000886917
57,-0.4685116477900487,1,994.2727272727273,3.0000001192093
58,-0.474502545551888,1,987.5,1.5520000457764
59,-0.4465647099955121,1,1040.7932900432902,10.0
60,-0.4549788444408376,1,1031.3886363636364,10.0
61,-0.4596433282156595,1,1027.8125,10.0
62,-0.4593268116953749,1,1017.5097402597403,10.0
63,-0.44650991790644834,1,1133.480476190476,12.0000004493875
64,-0.4476415682047297,1,1112.8035714285716,10.0
65,-0.4301205852417757,1,1192.125,12.000000476837
66,-0.43265009884450595,1,1184.845238095238,10.0
67,-0.436379758919718,1,1180.0,10.0
68,-0.49153361065820217,1,1060.2727272727275,11.000000238418501
69,-0.5001843739317049,1,1126.9020833333334,10.0
70,-0.4346294661747347,1,1190.1666666666665,10.000333333324912
71,-0.49092199756552335,1,1185.5857142857144,12.000000476837
72,-0.4388409289010278,1,1142.9875,12.000000476836998
73,-0.45748175001117486,1,1114.8025,12.000000476837
