target,ml_vs,n_pairs,wilcoxon_stat,p_value,delta_rmse,delta_ci_lo,delta_ci_hi
T,Putirka 28a (true P),124,2499.0,0.0006006986575000488,-8.397446947449737,-18.041539043607685,-0.6451145757172938
T,Putirka 28b_opx_sat (true P),124,3559.0,0.4306956834606557,-4.015412470669176,-13.157407175822934,3.85121958138142
T,Putirka iterative (28a+29a),124,3165.0,0.07664217733122165,-7.6051660070056215,-14.562320598120664,-1.4455152188729015
T,Putirka 28a (ML P),124,3501.0,0.3510084661108406,-6.338352996758275,-14.12433001223626,0.4892183776721382
P,Putirka 29a (true T),107,2604.0,0.37573431472689434,-0.04913704692746235,-0.7453297625311175,0.6030381352938601
P,"Putirka 29c (opx-only, true T)",107,2354.0,0.09635524394043173,1.07973692788405,0.27187109458132935,1.892322290118497
P,Putirka iterative (28a+29a),107,2569.0,0.3199485114378642,-0.06468423272905355,-0.7246150988733473,0.5944362746059225
P,Putirka 29a (ML T),107,2402.0,0.13012690855918188,-0.12245034227427931,-0.7844547092203139,0.5477728918664017
