target,track,family,model_name,feature_set,rmse_canonical,rmse_resampled,delta
T_C,opx_liq,forest,RF,pwlr,83.8951644860151,88.49925218716756,4.6040877011524515
P_kbar,opx_liq,forest,RF,alr,5.415638491954227,7.6506440403314,2.235005548377173
T_C,opx_only,forest,RF,pwlr,149.53261676106735,149.70599273155884,0.17337597049149167
P_kbar,opx_only,forest,RF,pwlr,10.370953028084564,12.170470692162896,1.7995176640783317
T_C,opx_liq,boosted,XGB,alr,90.61115892183972,90.3237872481786,-0.28737167366111294
P_kbar,opx_liq,boosted,XGB,raw,4.8110978585162325,5.263741909722168,0.45264405120593576
T_C,opx_only,boosted,XGB,pwlr,157.27997668374312,161.2506005510963,3.970623867353197
P_kbar,opx_only,boosted,XGB,alr,10.452021120971576,10.052041373862423,-0.3999797471091533
