family,target,rmse,rmse_ci_lo,rmse_ci_hi,n
forest,T_C,71.60121297162655,65.38691245916172,77.8946907332831,197
forest,P_kbar,2.793640252090356,2.5528316691908626,3.0302028060121375,197
boosted,T_C,63.67970532626178,58.75458778429246,69.32062313582283,197
boosted,P_kbar,2.7029326831807365,2.3857003002623576,3.0449568207981343,197
