track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,Agreda_rmse,Jorgenson_rmse,Wang_rmse,v10 best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi,winner
cpx_liq,T_C,T,T<800,7,129.35402161391423,114.10816786122348,63.074963495109806,126.37264955169924,473.6464012648042,31.583949283678173,28.177691605954426,17.23868831390147,96.04543043765644,361.0966543765741,195.1478182338844,189.37789281616023,100.8892440433454,158.63557450660363,603.3774942095041,Agreda
cpx_liq,T_C,T,800<=T<1000,52,59.21162328010579,108.0628000254459,31.83104295644937,35.87859426133094,329.83357596700665,45.32017049233594,94.67815418378548,25.800395131945532,27.97295135634096,287.4486271119532,71.22186433984497,119.8817332564498,37.3434804695069,44.57891902837155,373.9585420330029,Agreda
cpx_liq,T_C,T,1000<=T<1200,267,39.28131385666087,51.80918036999893,27.53644511452719,30.438536538033254,85.31564132373828,33.4501304382304,43.549387501094174,22.680481476069385,25.99047112331644,75.08482194400129,44.743134567822416,62.11969579831248,32.756644818162826,35.01857514095479,94.19886775992867,Agreda
cpx_liq,T_C,T,1200<=T<1400,242,51.61008290836888,48.52849558810661,46.86021787642652,55.768768016806085,115.59414120210182,42.935750946958095,39.76125933142578,37.80596309969124,47.741133411155225,91.77573440623966,63.28832818797216,58.04147870820428,57.67709980408864,66.27497884352285,145.46481814720337,Agreda
cpx_liq,T_C,T,T>=1400,86,109.5505387810513,65.9111808182821,199.8503712143378,202.3801436341437,166.65121313114923,65.34072012488876,59.18761781213433,115.12306049713392,118.46172710378858,148.38179516205764,160.91330535937013,72.55116582419397,284.1177678788546,288.80033374821204,188.8582569371076,Putirka
cpx_liq,T_C,T,ALL,654,71.57088937329678,63.42823974860093,80.60596491815518,84.78365179774528,150.49117917167194,59.34856430894059,57.57579389236727,49.84194622530415,56.931757156420105,135.75539761054534,85.83921407742562,69.45016968514587,109.046876294744,112.51737491418696,165.08738482837722,Putirka
cpx_only,T_C,T,T<800,14,353.7493754689488,520.3926079550938,356.8937364279468,380.6334709128858,,305.652936722545,430.7319050937823,299.1314277303667,330.9598387956756,,392.6924417970864,585.7110426619681,399.0677890888024,417.6040537414879,,v10 best
cpx_only,T_C,T,800<=T<1000,93,157.65952333286558,338.2419923635635,110.6598573314196,116.64184731049794,,143.63726435966473,304.5957987440789,97.21383067774585,101.3289128539181,,173.35243035274422,374.8536506070778,122.5667119483866,132.2012598523884,,Agreda
cpx_only,T_C,T,1000<=T<1200,229,77.96523822408965,164.13816756356232,62.0325001580779,45.46686375117775,,67.3196038314909,131.66335356508807,53.16084048300732,38.808046596633176,,89.05677779694928,199.0452911546969,72.37912141587162,53.00107393468946,,Jorgenson
cpx_only,T_C,T,1200<=T<1400,301,68.10914644513359,103.4973941830555,49.06283889346621,41.48271565612484,,58.94468802282963,77.21353403631173,42.29960552033975,34.95999793255957,,78.1938468672198,131.17384172352183,57.0095670991502,49.62934868800605,,Jorgenson
cpx_only,T_C,T,T>=1400,147,144.9316671487153,92.83240058227044,190.3750690809172,187.82459280974444,,122.55642589285432,74.57266482524699,152.22412399314095,152.77866305081977,,166.05544664462568,110.91694863379296,229.95918241851209,222.10478821012785,,Putirka
cpx_only,T_C,T,ALL,784,127.34987708248194,177.91548550553242,112.11949305453702,109.9099844820048,,114.36633830048802,161.00690604712065,98.6822956035653,96.41508092830222,,140.5058753923805,192.9344449789779,127.49529745410204,123.5010339389059,,Jorgenson
